序号,信号时间,方向,6K极值,入场基准,基准类型,回调偏移%,ATR,ATR%,是否成交,是否确认,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,MFE%,MAE%,是否歧义,年份
1,2019-09-10 20:00,做空,10183.31,10183.31,回调基准,0.0,276.37,2.714,成交,弱突破,,,2019-09-10 20:00,10179.1,0,0.015,弱突破平仓,否,,0.0,0.0,否,2019
2,2019-09-11 00:00,做空,10167.91,10183.31,回调基准,0.151,267.69,2.629,成交,确认,10451.0,8961.31,2019-09-12 00:00,10120.92,6,0.233,KAMA跟踪止损,否,,2.94,-1.08,否,2019
3,2019-09-12 20:00,做多,10205.46,10205.46,回调基准,0.0,219.29,2.149,成交,确认,9986.17,12450.66,2019-09-14 00:00,10218.17,7,0.058,KAMA跟踪止损,否,,2.4,-0.19,否,2019
4,2019-09-14 20:00,做多,10355.85,10355.85,回调基准,0.0,169.99,1.642,成交,弱突破,,,2019-09-14 20:00,10358.0,0,0.013,弱突破平仓,否,,0.0,0.0,否,2019
5,2019-09-16 20:00,做空,10252.28,10252.28,回调基准,0.0,130.52,1.273,成交,确认,10382.8,9022.01,2019-09-17 12:00,10225.02,4,0.209,KAMA跟踪止损,否,,1.67,-0.75,否,2019
6,2019-09-19 08:00,做空,10097.92,10097.92,回调基准,0.0,106.74,1.057,成交,确认,10204.66,8886.17,2019-09-20 00:00,10008.77,4,-0.443,KAMA跟踪止损,是,9872.38,3.14,-0.11,否,2019
7,2019-09-20 04:00,做多,10211.9,10211.9,回调基准,0.0,132.5,1.298,成交,弱突破,,,2019-09-20 04:00,10245.3,0,0.252,弱突破平仓,否,,0.0,0.0,否,2019
8,2019-09-22 08:00,做空,9912.63,9912.63,回调基准,0.0,122.64,1.237,成交,弱突破,,,2019-09-22 08:00,9872.07,0,0.331,弱突破平仓,否,,0.0,0.0,否,2019
9,2019-09-23 20:00,做空,9878.51,9932.01,回调基准,0.542,117.27,1.181,成交,确认,10049.28,8740.17,2019-09-25 00:00,8740.17,7,18.364,止盈,是,9701.96,12.95,0.48,否,2019
10,2019-09-26 20:00,做空,8223.71,8223.71,回调基准,0.0,200.85,2.442,成交,确认,8424.56,7236.86,2019-09-28 04:00,8202.83,8,0.104,KAMA跟踪止损,否,,6.36,-0.44,否,2019
