序号,信号时间,方向,6K极值,入场基准,成交价,基准类型,回调偏移%,ATR,ATR%,是否成交,是否确认,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,MFE%,MAE%,是否歧义,可能错过MFE%,可能错过R值,可能错过出场,可能错过持仓K数,是否错过大行情,年份
1,2026-08-23 12:00,做空,76772.0,76772.0,76772.0,回退6K极值,,981.19,1.278,成交,确认,77753.19,67559.36,2026-08-23 16:00,76261.9,1,0.52,未平仓,否,,1.05,0.59,否,,,,,,2026
2,2026-08-19 20:00,做多,65057.9,65057.9,65057.9,回调基准,0.0,396.31,0.609,成交,确认,64661.59,79370.64,2026-08-21 16:00,79370.64,11,63.786,止盈,是,68404.1,22.28,4.22,否,,,,,,2026
3,2026-08-17 08:00,做多,63370.0,63132.2,63132.2,回调基准,0.375,330.47,0.523,成交,确认,62801.73,77021.28,2026-08-19 08:00,64315.38,12,4.021,KAMA跟踪止损,是,64169.9,3.05,0.19,否,,,,,,2026
4,2026-08-17 04:00,做空,62928.5,62928.5,62928.5,回调基准,0.0,324.91,0.516,成交,弱突破,,,2026-08-17 04:00,62876.0,0,0.162,弱突破平仓,否,,0.0,0.0,否,0.33,-1.0,止损,1,,2026
5,2026-08-10 20:00,做空,64794.4,64794.4,64794.4,回调基准,0.0,417.42,0.644,成交,确认,65211.82,57019.07,2026-08-12 16:00,64089.11,11,1.517,KAMA跟踪止损,是,64017.2,2.44,0.5,否,,,,,,2026
6,2026-08-09 20:00,做多,65163.0,65163.0,65163.0,回调基准,0.0,411.39,0.631,成交,弱突破,,,2026-08-09 20:00,65207.7,0,0.109,弱突破平仓,否,,0.0,0.0,否,0.49,-0.527,止损,4,,2026
7,2026-08-09 08:00,做空,64784.3,64784.3,64784.3,回调基准,0.0,447.35,0.691,成交,弱突破,,,2026-08-09 08:00,64759.0,0,0.057,弱突破平仓,否,,0.0,0.0,否,0.06,-1.0,止损,3,,2026
8,2026-08-07 16:00,做多,64971.0,64971.0,64971.0,回调基准,0.0,539.87,0.831,成交,弱突破,,,2026-08-07 16:00,64996.1,0,0.046,弱突破平仓,否,,0.0,0.0,否,0.6,-0.158,止损,4,,2026
9,2026-08-06 00:00,做多,64728.5,64512.9,64512.9,回调基准,0.333,593.51,0.92,成交,弱突破,,,2026-08-06 00:00,64805.7,0,0.493,弱突破平仓,否,,0.0,0.0,否,0.79,0.0,止损,4,,2026
10,2026-08-03 12:00,做空,62745.0,62961.1,62961.1,回调基准,0.344,555.27,0.882,成交,确认,63516.37,55405.77,2026-08-03 20:00,63516.37,2,-1.0,前3K止损,否,,1.1,-1.59,否,,,,,,2026
11,2026-08-02 08:00,做多,63126.6,63126.6,63126.6,回调基准,0.0,567.76,0.899,成交,确认,62558.84,77014.45,2026-08-03 00:00,63192.85,4,0.117,KAMA跟踪止损,否,,0.78,-0.26,否,,,,,,2026
12,2026-08-02 00:00,做空,62680.1,62680.1,62680.1,回调基准,0.0,566.67,0.904,成交,弱突破,,,2026-08-02 00:00,62502.1,0,0.314,弱突破平仓,否,,0.0,0.0,否,0.36,-1.0,止损,2,,2026
13,2026-07-31 20:00,做空,63577.0,64571.4,,回调基准,-1.564,647.9,1.003,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
14,2026-07-31 16:00,做空,63835.6,63950.0,63950.0,回调基准,0.179,660.67,1.033,成交,弱突破,,,2026-07-31 16:00,63779.4,0,0.258,弱突破平仓,否,,0.0,0.0,否,2.69,1.187,止损,10,,2026
15,2026-07-30 16:00,做多,64715.9,64715.9,64715.9,回调基准,0.0,649.62,1.004,成交,弱突破,,,2026-07-30 16:00,64766.8,0,0.078,弱突破平仓,否,,0.0,0.0,否,1.04,0.0,止损,4,,2026
16,2026-07-28 04:00,做空,64374.4,64606.3,64606.3,回调基准,0.36,529.13,0.819,成交,确认,65135.43,56853.54,2026-07-29 12:00,64390.63,8,-1.635,KAMA跟踪止损,是,63310.1,3.01,0.1,否,,,,,,2026
17,2026-07-27 04:00,做多,64909.0,64909.0,64909.0,回退6K极值,,462.9,0.713,成交,确认,64446.1,79188.98,2026-07-27 20:00,64938.45,4,0.064,KAMA跟踪止损,否,,1.25,-0.82,否,,,,,,2026
18,2026-07-24 20:00,做空,64636.0,64636.0,64636.0,回调基准,0.0,597.19,0.924,成交,确认,65233.19,56879.68,2026-07-26 20:00,64558.3,12,0.13,KAMA跟踪止损,否,,1.35,-0.28,否,,,,,,2026
19,2026-07-23 20:00,做空,65313.7,65505.0,65505.0,回调基准,0.293,603.4,0.921,成交,确认,66108.4,57644.4,2026-07-24 12:00,65350.14,4,0.257,KAMA跟踪止损,否,,1.33,-0.42,否,,,,,,2026
20,2026-07-23 12:00,做空,65505.0,65505.0,65505.0,回调基准,0.0,622.66,0.951,成交,弱突破,,,2026-07-23 12:00,65405.3,0,0.16,弱突破平仓,否,,0.0,0.0,否,1.33,0.254,止损,5,,2026
21,2026-07-20 20:00,做多,65084.6,65084.6,65084.6,回调基准,0.0,615.13,0.945,成交,确认,64469.47,79403.21,2026-07-22 20:00,65611.39,12,-0.047,KAMA跟踪止损,是,66166.9,2.83,-0.11,否,,,,,,2026
22,2026-07-20 12:00,做空,64259.5,64259.5,64259.5,回调基准,0.0,557.36,0.867,成交,弱突破,,,2026-07-20 12:00,64250.0,0,0.017,弱突破平仓,否,,0.0,0.0,否,0.62,-1.0,止损,1,,2026
23,2026-07-19 04:00,做多,64666.0,64188.2,,回调基准,0.739,619.86,0.966,限价未成交,确认,,,,,,,限价未成交,,,,,,,,,,,2026
24,2026-07-19 00:00,做多,64356.7,64356.7,64356.7,回调基准,0.0,620.3,0.964,成交,弱突破,,,2026-07-19 00:00,64526.3,0,0.273,弱突破平仓,否,,0.0,0.0,否,0.92,0.032,止损,5,,2026
25,2026-07-17 12:00,做空,63358.0,63358.0,63358.0,回退6K极值,,695.71,1.098,成交,确认,64053.71,55755.04,2026-07-18 00:00,64053.71,3,-1.0,前3K止损,否,,1.35,-1.58,否,,,,,,2026
26,2026-07-17 08:00,做空,63712.6,63712.6,63712.6,回退6K极值,,696.35,1.093,成交,弱突破,,,2026-07-17 08:00,63538.1,0,0.251,弱突破平仓,否,,0.0,0.0,否,1.9,0.0,止损,4,,2026
27,2026-07-17 04:00,做空,63833.0,63833.0,63833.0,回退6K极值,,704.72,1.104,成交,弱突破,,,2026-07-17 04:00,63801.0,0,0.045,弱突破平仓,否,,0.0,0.0,否,2.08,0.013,止损,5,,2026
28,2026-07-16 12:00,做空,64362.2,64450.9,64450.9,回调基准,0.138,681.15,1.057,成交,弱突破,,,2026-07-16 12:00,64200.0,0,0.368,弱突破平仓,否,,0.0,0.0,否,3.02,0.92,止损,9,,2026
