序号,信号时间,方向,成交价,ATR,ATR%,EMA70偏离度%,是否确认,出场时间,出场价,持仓K数,R值,出场原因,年份
1,2026-08-19 20:00,做多,64705.7,396.31,0.612,-1.04,确认,2026-08-21 16:00,78940.95,11,62.507,止盈,2026
2,2026-08-17 20:00,做多,63753.0,356.63,0.559,-2.23,确认,2026-08-19 08:00,64315.38,9,1.048,KAMA跟踪止损,2026
3,2026-08-17 08:00,做多,63370.0,330.47,0.521,-3.36,弱突破,2026-08-17 08:00,63409.8,0,0.12,弱突破平仓,2026
4,2026-08-17 04:00,做空,62928.5,324.91,0.516,-3.05,弱突破,2026-08-17 04:00,62876.0,0,0.162,弱突破平仓,2026
5,2026-08-14 16:00,做空,62888.0,463.88,0.738,-3.53,弱突破,2026-08-14 16:00,62837.4,0,0.109,弱突破平仓,2026
6,2026-08-13 12:00,做多,63694.9,450.95,0.708,-2.49,弱突破,2026-08-13 12:00,63833.0,0,0.306,弱突破平仓,2026
7,2026-08-12 16:00,做多,63886.0,436.32,0.683,-2.29,确认,2026-08-12 20:00,63449.68,1,-1.0,前3K止损,2026
8,2026-08-11 20:00,做空,63820.0,428.46,0.671,-1.53,确认,2026-08-12 12:00,63820.0,4,0.0,KAMA跟踪止损,2026
9,2026-08-11 16:00,做多,64189.3,431.56,0.672,-2.03,弱突破,2026-08-11 16:00,64358.3,0,0.392,弱突破平仓,2026
10,2026-08-11 00:00,做空,64171.8,449.02,0.7,-1.74,弱突破,2026-08-11 00:00,64017.2,0,0.344,弱突破平仓,2026
11,2026-08-07 16:00,做多,64524.8,539.87,0.837,-1.82,确认,2026-08-10 20:00,64730.54,19,0.381,KAMA跟踪止损,2026
12,2026-08-06 00:00,做多,64728.5,593.51,0.917,-1.8,弱突破,2026-08-06 00:00,64805.7,0,0.13,弱突破平仓,2026
13,2026-08-03 20:00,做多,63575.6,551.74,0.868,-4.68,弱突破,2026-08-03 20:00,63659.5,0,0.152,弱突破平仓,2026
14,2026-08-03 12:00,做空,62745.0,555.27,0.885,-4.22,弱突破,2026-08-03 12:00,62591.0,0,0.277,弱突破平仓,2026
15,2026-08-03 08:00,做空,62974.4,540.78,0.859,-3.22,弱突破,2026-08-03 08:00,62839.7,0,0.249,弱突破平仓,2026
16,2026-07-31 20:00,做空,63577.0,647.9,1.019,-3.09,确认,2026-08-02 08:00,63165.51,9,-0.389,KAMA跟踪止损,2026
17,2026-07-31 16:00,做空,63835.6,660.67,1.035,-2.89,弱突破,2026-07-31 16:00,63779.4,0,0.085,弱突破平仓,2026
18,2026-07-31 12:00,做空,64138.0,661.7,1.032,-2.23,弱突破,2026-07-31 12:00,63909.1,0,0.346,弱突破平仓,2026
19,2026-07-30 16:00,做多,64393.0,649.62,1.009,-2.91,确认,2026-07-31 08:00,64412.84,4,0.031,KAMA跟踪止损,2026
20,2026-07-30 00:00,做空,63569.5,620.39,0.976,-3.02,弱突破,2026-07-30 00:00,63564.1,0,0.009,弱突破平仓,2026
21,2026-07-28 04:00,做空,64374.4,529.13,0.822,-1.65,确认,2026-07-29 12:00,64374.4,8,-2.011,KAMA跟踪止损,2026
22,2026-07-27 04:00,做多,64909.0,462.9,0.713,-2.19,确认,2026-07-27 20:00,64938.45,4,0.064,KAMA跟踪止损,2026
23,2026-07-24 20:00,做空,64733.2,597.19,0.923,-1.73,确认,2026-07-26 20:00,64558.3,12,0.293,KAMA跟踪止损,2026
24,2026-07-23 20:00,做空,65313.7,603.4,0.924,-1.09,确认,2026-07-24 12:00,65313.7,4,0.0,KAMA跟踪止损,2026
25,2026-07-23 12:00,做空,65548.0,622.66,0.95,-0.94,弱突破,2026-07-23 12:00,65405.3,0,0.229,弱突破平仓,2026
26,2026-07-20 20:00,做多,65084.6,615.13,0.945,-1.98,确认,2026-07-22 20:00,65611.39,12,-0.047,KAMA跟踪止损,2026
27,2026-07-20 12:00,做空,64262.9,557.36,0.867,-2.18,弱突破,2026-07-20 12:00,64250.0,0,0.023,弱突破平仓,2026
28,2026-07-19 16:00,做空,64467.2,575.45,0.893,-2.45,弱突破,2026-07-19 16:00,64445.7,0,0.037,弱突破平仓,2026
29,2026-07-19 04:00,做多,64666.0,619.86,0.959,-2.77,弱突破,2026-07-19 04:00,64806.7,0,0.227,弱突破平仓,2026
30,2026-07-19 00:00,做多,64237.7,620.3,0.966,-3.42,弱突破,2026-07-19 00:00,64526.3,0,0.465,弱突破平仓,2026
31,2026-07-18 20:00,做多,64073.2,636.5,0.993,-3.51,弱突破,2026-07-18 20:00,64090.0,0,0.026,弱突破平仓,2026
32,2026-07-17 12:00,做空,63358.0,695.71,1.098,-4.32,确认,2026-07-18 00:00,64053.71,3,-1.0,前3K止损,2026
33,2026-07-17 08:00,做空,63712.6,696.35,1.093,-4.03,弱突破,2026-07-17 08:00,63538.1,0,0.251,弱突破平仓,2026
34,2026-07-17 04:00,做空,63833.0,704.72,1.104,-3.37,弱突破,2026-07-17 04:00,63801.0,0,0.045,弱突破平仓,2026
35,2026-07-16 12:00,做空,64362.2,681.15,1.058,-2.84,弱突破,2026-07-16 12:00,64200.0,0,0.238,弱突破平仓,2026
36,2026-07-15 20:00,做多,65260.0,692.72,1.061,-2.78,弱突破,2026-07-15 20:00,65391.6,0,0.19,弱突破平仓,2026
37,2026-07-15 04:00,做多,64950.0,709.04,1.092,-3.1,弱突破,2026-07-15 04:00,65014.7,0,0.091,弱突破平仓,2026
38,2026-07-13 08:00,做空,63634.1,625.17,0.982,-4.54,确认,2026-07-14 20:00,62900.63,9,0.687,KAMA跟踪止损,2026
39,2026-06-01 12:00,做空,73171.0,673.03,0.92,-2.83,确认,2026-06-03 12:00,67343.88,12,14.238,KAMA跟踪止损,2026
40,2026-05-31 20:00,做空,73701.0,677.52,0.919,-2.76,弱突破,2026-05-31 20:00,73613.5,0,0.129,弱突破平仓,2026
41,2026-05-30 20:00,做多,73757.9,786.82,1.067,-3.3,弱突破,2026-05-30 20:00,73888.0,0,0.165,弱突破平仓,2026
42,2026-05-28 08:00,做空,74210.0,803.41,1.083,-2.46,确认,2026-05-29 04:00,73833.6,5,-0.695,KAMA跟踪止损,2026
43,2026-05-28 04:00,做空,74632.0,783.54,1.05,-1.65,弱突破,2026-05-28 04:00,74418.1,0,0.273,弱突破平仓,2026
44,2026-05-27 08:00,做空,75641.2,790.74,1.045,-0.58,弱突破,2026-05-27 08:00,75635.6,0,0.007,弱突破平仓,2026
45,2026-05-27 00:00,做空,76234.7,796.61,1.045,0.17,弱突破,2026-05-27 00:00,76028.3,0,0.259,弱突破平仓,2026
46,2026-05-24 04:00,做多,76000.2,770.65,1.014,-0.48,确认,2026-05-26 08:00,76624.03,13,-0.054,KAMA跟踪止损,2026
47,2026-05-22 20:00,做空,77138.3,704.19,0.913,1.43,确认,2026-05-24 00:00,75808.08,7,1.916,KAMA跟踪止损,2026
48,2026-05-21 16:00,做空,77183.7,732.56,0.949,1.99,弱突破,2026-05-21 16:00,77157.4,0,0.036,弱突破平仓,2026
49,2026-05-21 08:00,做多,77825.8,739.59,0.95,1.6,弱突破,2026-05-21 08:00,78039.1,0,0.288,弱突破平仓,2026
50,2026-05-18 04:00,做空,77800.0,720.81,0.926,2.82,确认,2026-05-20 12:00,77415.81,14,-0.885,KAMA跟踪止损,2026
51,2026-05-17 16:00,做多,78300.0,734.76,0.938,2.52,弱突破,2026-05-17 16:00,78371.5,0,0.097,弱突破平仓,2026
52,2026-05-15 20:00,做空,80266.8,842.53,1.05,5.85,确认,2026-05-17 12:00,78229.76,10,2.542,KAMA跟踪止损,2026
53,2026-05-15 00:00,做多,81270.2,874.52,1.076,6.84,弱突破,2026-05-15 00:00,81373.7,0,0.118,弱突破平仓,2026
54,2026-05-13 20:00,做空,80364.5,755.04,0.94,6.01,确认,2026-05-14 20:00,80364.5,6,-1.8,KAMA跟踪止损,2026
55,2026-05-13 08:00,做多,80968.6,762.39,0.942,6.15,弱突破,2026-05-13 08:00,81217.1,0,0.326,弱突破平仓,2026
56,2026-05-12 20:00,做空,80444.0,761.87,0.947,6.52,弱突破,2026-05-12 20:00,80301.6,0,0.187,弱突破平仓,2026
57,2026-05-12 00:00,做多,81434.8,786.15,0.965,7.58,确认,2026-05-12 16:00,81434.8,4,0.0,KAMA跟踪止损,2026
58,2026-05-10 20:00,做多,80939.5,674.51,0.833,7.01,确认,2026-05-11 04:00,80264.99,2,-3.836,前3K止损,2026
59,2026-05-10 00:00,做多,80641.8,771.69,0.957,6.9,弱突破,2026-05-10 00:00,80896.9,0,0.331,弱突破平仓,2026
60,2026-05-07 20:00,做空,80521.8,902.12,1.12,7.78,确认,2026-05-08 16:00,80284.83,5,0.263,KAMA跟踪止损,2026
61,2026-05-06 16:00,做多,81745.4,857.25,1.049,8.66,确认,2026-05-07 08:00,81745.4,4,0.0,KAMA跟踪止损,2026
62,2026-05-05 20:00,做多,81278.2,868.01,1.068,8.45,弱突破,2026-05-05 20:00,81488.7,0,0.243,弱突破平仓,2026
63,2026-05-05 08:00,做多,80771.7,876.52,1.085,7.17,弱突破,2026-05-05 08:00,80836.9,0,0.074,弱突破平仓,2026
64,2026-05-04 08:00,做多,79428.9,660.24,0.831,5.65,确认,2026-05-04 16:00,78768.66,2,-1.0,前3K止损,2026
65,2026-05-03 04:00,做多,78565.9,699.65,0.891,5.71,弱突破,2026-05-03 04:00,78652.9,0,0.124,弱突破平仓,2026
66,2026-05-01 08:00,做多,76630.3,797.56,1.041,3.17,确认,2026-05-02 04:00,77743.03,5,0.577,KAMA跟踪止损,2026
