序号,信号时间,方向,3K极值,入场基准,成交价,基准类型,ATR,ATR%,是否成交,是否确认,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,MFE%,MAE%,年份
1,2026-08-23 12:00,做空,76772.0,76772.0,76772.0,回退3K极值,981.19,1.278,成交,确认,77753.19,67559.36,2026-08-23 20:00,77038.9,2,-0.272,未平仓,否,,1.05,-0.69,2026
2,2026-08-23 00:00,做空,77081.7,77081.7,77081.7,回退3K极值,1069.96,1.388,成交,弱突破,,,2026-08-23 00:00,77068.2,0,0.013,弱突破平仓,否,,0.0,0.0,2026
3,2026-08-19 20:00,做多,64705.7,64705.7,64705.7,回调基准,396.31,0.612,成交,确认,64309.39,78940.95,2026-08-21 16:00,78940.95,11,62.507,止盈,是,68404.1,22.95,4.79,2026
4,2026-08-17 20:00,做多,63753.0,63753.0,63753.0,回退3K极值,356.63,0.559,成交,确认,63396.37,77778.66,2026-08-19 08:00,64315.38,9,1.048,KAMA跟踪止损,是,64504.1,2.05,0.3,2026
5,2026-08-17 08:00,做多,63370.0,63370.0,63370.0,回退3K极值,330.47,0.521,成交,弱突破,,,2026-08-17 08:00,63409.8,0,0.12,弱突破平仓,否,,0.0,0.0,2026
6,2026-08-17 04:00,做空,62928.5,62928.5,62928.5,回调基准,324.91,0.516,成交,弱突破,,,2026-08-17 04:00,62876.0,0,0.162,弱突破平仓,否,,0.0,0.0,2026
7,2026-08-14 16:00,做空,62888.0,62888.0,62888.0,回退3K极值,463.88,0.738,成交,弱突破,,,2026-08-14 16:00,62837.4,0,0.109,弱突破平仓,否,,0.0,0.0,2026
8,2026-08-13 12:00,做多,63694.9,63694.9,63694.9,回退3K极值,450.95,0.708,成交,弱突破,,,2026-08-13 12:00,63833.0,0,0.306,弱突破平仓,否,,0.0,0.0,2026
9,2026-08-12 16:00,做多,63886.0,63886.0,63886.0,回退3K极值,436.32,0.683,成交,确认,63449.68,77940.92,2026-08-12 20:00,63449.68,1,-1.0,前3K止损,否,,0.88,-0.93,2026
10,2026-08-11 20:00,做空,63820.0,63820.0,63820.0,回退3K极值,428.46,0.671,成交,确认,64248.46,56161.6,2026-08-12 12:00,63820.0,4,0.0,KAMA跟踪止损,否,,0.95,-0.1,2026
