突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
1361,2020-04-22 12:00:00+00:00,6942.91,124.75,7067.66,9306.03,1406,1408,31.67,47,48
1361,2020-04-22 12:00:00+00:00,6969.76,121.27,7091.02,9306.03,1406,1408,31.24,47,47
1363,2020-04-22 20:00:00+00:00,6982.34,125.53,7107.87,9306.03,1406,1408,30.93,45,46
1366,2020-04-23 08:00:00+00:00,6999.53,123.73,7123.26,9306.03,1406,1408,30.64,42,45
1367,2020-04-23 12:00:00+00:00,7026.31,120.44,7146.75,9306.03,1406,1408,30.21,41,44
1367,2020-04-23 12:00:00+00:00,7030.3,118.61,7148.91,9306.03,1406,1408,30.17,41,43
1367,2020-04-23 12:00:00+00:00,7045.19,118.06,7163.25,9306.03,1406,1408,29.91,41,42
4090,2021-07-21 08:00:00+00:00,30278.1,584.16,30862.27,39358.4,4122,4123,27.53,33,34
1367,2020-04-23 12:00:00+00:00,7186.77,117.16,7303.93,9306.03,1406,1408,27.41,41,41
11312,2024-11-06 00:00:00+00:00,68998.66,985.24,69983.9,89095.4,11349,11351,27.31,39,40
4090,2021-07-21 08:00:00+00:00,30321.67,611.22,30932.88,39358.4,4122,4123,27.24,33,33
4091,2021-07-21 12:00:00+00:00,30402.75,627.96,31030.71,39358.4,4122,4123,26.84,32,32
7686,2023-03-12 16:00:00+00:00,20095.62,374.09,20469.71,25911.3,7697,7703,26.58,17,23
7686,2023-03-12 16:00:00+00:00,20111.92,374.38,20486.3,25911.3,7697,7703,26.48,17,22
7686,2023-03-12 16:00:00+00:00,20136.33,362.87,20499.2,25911.3,7697,7703,26.4,17,20
7686,2023-03-12 16:00:00+00:00,20129.19,371.88,20501.07,25911.3,7697,7703,26.39,17,21
4092,2021-07-21 16:00:00+00:00,30664.69,623.48,31288.17,39358.4,4122,4123,25.79,31,31
7307,2023-01-08 12:00:00+00:00,16868.32,84.11,16952.43,21314.4,7356,7356,25.73,49,64
7307,2023-01-08 12:00:00+00:00,16884.19,79.01,16963.21,21314.4,7356,7356,25.65,49,62
7307,2023-01-08 12:00:00+00:00,16883.46,82.12,16965.58,21314.4,7356,7356,25.63,49,63
7307,2023-01-08 12:00:00+00:00,16890.08,77.17,16967.26,21314.4,7356,7356,25.62,49,61
7309,2023-01-08 20:00:00+00:00,16890.56,78.46,16969.02,21314.4,7356,7358,25.61,49,60
1925,2020-07-25 12:00:00+00:00,9512.32,73.54,9585.85,12026.41,1970,1971,25.46,46,50
1925,2020-07-25 12:00:00+00:00,9511.68,73.79,9585.47,12026.41,1970,1971,25.46,46,51
11312,2024-11-06 00:00:00+00:00,70036.52,990.41,71026.93,89095.4,11349,11351,25.44,39,39
7309,2023-01-08 20:00:00+00:00,16914.46,79.78,16994.24,21314.4,7356,7358,25.42,49,59
1925,2020-07-25 12:00:00+00:00,9515.18,76.61,9591.79,12026.41,1970,1971,25.38,46,49
1925,2020-07-25 12:00:00+00:00,9517.8,75.11,9592.91,12026.41,1970,1971,25.37,46,46
1925,2020-07-25 12:00:00+00:00,9516.5,77.47,9593.97,12026.41,1970,1971,25.35,46,48
1925,2020-07-25 12:00:00+00:00,9517.24,76.66,9593.9,12026.41,1970,1971,25.35,46,47
1368,2020-04-23 16:00:00+00:00,7280.55,146.33,7426.88,9306.03,1406,1408,25.3,40,40
1926,2020-07-25 16:00:00+00:00,9529.48,74.31,9603.79,12026.41,1970,1971,25.23,45,45
2766,2020-12-12 16:00:00+00:00,18330.03,342.4,18672.44,23348.36,2795,2801,25.04,35,36
7310,2023-01-09 00:00:00+00:00,16961.8,89.02,17050.82,21314.4,7356,7359,25.01,49,58
2766,2020-12-12 16:00:00+00:00,18329.28,350.66,18679.94,23348.36,2795,2801,24.99,35,37
2766,2020-12-12 16:00:00+00:00,18327.67,361.33,18688.99,23348.36,2795,2801,24.93,35,38
2766,2020-12-12 16:00:00+00:00,18375.9,335.78,18711.68,23348.36,2795,2801,24.78,35,35
1927,2020-07-25 20:00:00+00:00,9563.71,77.3,9641.0,12026.41,1970,1971,24.74,44,44
2870,2020-12-30 00:00:00+00:00,26908.64,729.64,27638.28,34472.24,2895,2901,24.73,31,33
7311,2023-01-09 04:00:00+00:00,16999.08,91.92,17091.0,21314.4,7356,7360,24.71,49,57
2870,2020-12-30 00:00:00+00:00,26920.59,728.19,27648.78,34472.24,2895,2901,24.68,31,32
1369,2020-04-23 20:00:00+00:00,7324.9,145.49,7470.39,9306.03,1406,1408,24.57,39,39
1928,2020-07-26 00:00:00+00:00,9579.24,76.69,9655.93,12026.41,1970,1971,24.55,43,43
7303,2023-01-07 20:00:00+00:00,16841.88,87.33,16929.21,21084.3,7352,7352,24.54,49,65
7296,2023-01-06 16:00:00+00:00,16773.73,91.62,16865.35,20996.3,7340,7345,24.49,49,73
7312,2023-01-09 08:00:00+00:00,17041.32,91.14,17132.46,21314.4,7356,7361,24.41,49,56
7296,2023-01-06 16:00:00+00:00,16783.53,95.95,16879.48,20996.3,7340,7345,24.39,49,72
4093,2021-07-21 20:00:00+00:00,31002.08,658.5,31660.59,39358.4,4122,4123,24.31,30,30
1929,2020-07-26 04:00:00+00:00,9599.79,75.41,9675.19,12026.41,1970,1971,24.3,42,42
7297,2023-01-06 20:00:00+00:00,16794.94,99.07,16894.0,20996.3,7340,7346,24.28,49,71
2767,2020-12-12 20:00:00+00:00,18443.57,343.59,18787.16,23348.36,2795,2801,24.28,34,34
7313,2023-01-09 12:00:00+00:00,17083.78,91.46,17175.24,21337.2,7362,7362,24.23,49,55
2870,2020-12-30 00:00:00+00:00,27031.16,723.62,27754.77,34472.24,2895,2901,24.2,31,31
11313,2024-11-06 04:00:00+00:00,70483.52,1260.06,71743.58,89095.4,11349,11351,24.19,38,38
7298,2023-01-07 00:00:00+00:00,16804.7,101.57,16906.26,20996.3,7340,7347,24.19,49,70
7300,2023-01-07 08:00:00+00:00,16814.55,95.44,16909.99,20996.3,7340,7349,24.17,49,68
7299,2023-01-07 04:00:00+00:00,16812.14,98.93,16911.07,20996.3,7340,7348,24.16,49,69
