突破K索引,突破K时间,起点KAMA值,ATR值,突破线价格,峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
173,2019-10-07 20:00,7993.04,144.49,8137.53,8611.27,189,195,5.82,22,22
174,2019-10-08 00:00,8003.43,155.01,8158.44,8611.27,189,195,5.55,21,21
175,2019-10-08 04:00,8019.3,155.94,8175.24,8611.27,189,195,5.33,20,20
467,2019-11-25 20:00,6976.98,192.24,7169.22,7803.96,491,500,8.85,33,33
468,2019-11-26 00:00,6977.99,203.52,7181.51,7803.96,491,500,8.67,32,32
470,2019-11-26 08:00,6980.73,203.2,7183.93,7803.96,491,500,8.63,30,30
479,2019-11-27 20:00,6984.9,201.89,7186.79,7803.96,491,500,8.59,21,29
480,2019-11-28 00:00,7085.97,200.4,7286.37,7803.96,491,500,7.1,20,20
605,2019-12-18 20:00,6709.09,100.59,6809.67,7590.4,632,636,11.46,31,31
606,2019-12-19 00:00,6712.18,117.62,6829.8,7590.4,632,636,11.14,30,30
607,2019-12-19 04:00,6753.65,121.68,6875.33,7590.4,632,636,10.4,29,29
608,2019-12-19 08:00,6766.3,142.73,6909.03,7590.4,632,636,9.86,28,28
609,2019-12-19 12:00,6793.82,147.99,6941.81,7590.4,632,636,9.34,27,27
610,2019-12-19 16:00,6842.41,144.85,6987.26,7590.4,632,636,8.63,26,26
611,2019-12-19 20:00,6882.44,145.2,7027.64,7590.4,632,636,8.01,25,25
612,2019-12-20 00:00,6919.03,146.54,7065.57,7590.4,632,636,7.43,24,24
613,2019-12-20 04:00,6953.97,142.96,7096.93,7590.4,632,636,6.95,23,23
614,2019-12-20 08:00,6979.26,138.43,7117.69,7590.4,632,636,6.64,22,22
615,2019-12-20 12:00,6994.82,135.38,7130.2,7590.4,632,636,6.45,21,21
616,2019-12-20 16:00,7003.56,132.63,7136.18,7590.4,632,636,6.36,20,20
699,2020-01-03 12:00,7087.83,80.83,7168.67,8335.28,730,732,16.27,33,33
700,2020-01-03 16:00,7094.01,94.5,7188.51,8335.28,730,732,15.95,32,32
701,2020-01-03 20:00,7099.94,98.29,7198.23,8335.28,730,732,15.8,31,31
702,2020-01-04 00:00,7115.34,100.88,7216.22,8335.28,730,732,15.51,30,30
703,2020-01-04 04:00,7133.01,102.38,7235.39,8335.28,730,732,15.2,29,29
704,2020-01-04 08:00,7144.91,102.42,7247.33,8335.28,730,732,15.01,28,28
705,2020-01-04 12:00,7159.22,100.7,7259.92,8335.28,730,732,14.81,27,27
706,2020-01-04 16:00,7199.75,98.59,7298.34,8335.28,730,732,14.21,26,26
708,2020-01-05 00:00,7226.68,97.2,7323.88,8335.28,730,732,13.81,24,25
709,2020-01-05 04:00,7254.72,94.71,7349.42,8335.28,730,732,13.41,23,24
710,2020-01-05 08:00,7269.61,96.51,7366.12,8335.28,730,732,13.16,22,23
711,2020-01-05 12:00,7327.0,96.63,7423.62,8335.28,730,732,12.28,21,21
713,2020-01-05 20:00,7332.97,94.55,7427.52,8335.28,730,732,12.22,19,20
