掉头K索引,掉头K时间,起点KAMA值,ATR值,起点价格(突破线),峰值价格,峰值K索引,终点K索引,涨跌幅%,持续K数,KAMA同向运行根数
173,2019-10-07 20:00,7993.04,144.49,8137.53,8611.27,189,195,5.82,22,22
467,2019-11-25 20:00,6976.98,192.24,7169.22,7803.96,491,500,8.85,33,33
605,2019-12-18 20:00,6709.09,100.59,6809.67,7590.4,632,636,11.46,31,31
699,2020-01-03 12:00,7087.83,80.83,7168.67,8335.28,730,732,16.27,33,33
743,2020-01-10 20:00,7934.5,152.6,8087.1,8825.0,769,771,9.12,28,28
838,2020-01-26 16:00,8430.99,112.42,8543.41,9525.67,865,878,11.5,40,40
1323,2020-04-16 12:00,6850.82,136.67,6987.49,7242.42,1339,1348,3.65,25,25
1360,2020-04-22 16:00,6942.91,124.75,7067.66,9306.03,1406,1408,31.67,48,48
1440,2020-05-06 00:00,8883.19,203.84,9087.03,9995.0,1453,1461,9.99,21,21
1809,2020-07-06 12:00,9110.39,80.08,9190.47,9436.08,1825,1829,2.67,20,20
1898,2020-07-21 08:00,9163.22,50.44,9213.66,12026.41,1970,1971,30.53,73,73
2135,2020-08-29 20:00,11461.56,133.94,11595.5,12049.13,2153,2158,3.91,23,23
2375,2020-10-08 20:00,10703.65,86.66,10790.31,11413.28,2384,2398,5.77,23,23
2432,2020-10-18 08:00,11362.53,118.33,11480.86,13072.17,2460,2463,13.86,31,31
2576,2020-11-11 08:00,15374.21,352.64,15726.85,16432.35,2588,2596,4.49,20,20
2763,2020-12-12 12:00,18327.67,361.33,18688.99,23348.36,2795,2801,24.93,38,38
2868,2020-12-30 00:00,26908.64,729.64,27638.28,34472.24,2895,2901,24.73,33,33
2910,2021-01-06 00:00,32365.03,1341.25,33706.27,41399.98,2926,2938,22.83,28,28
3130,2021-02-11 16:00,45611.5,1571.48,47182.98,49144.99,3148,3152,4.16,22,22
3153,2021-02-15 12:00,47265.61,1473.28,48738.88,58181.35,3192,3194,19.37,41,41
3270,2021-03-07 00:00,47992.06,1564.61,49556.68,61432.39,3314,3319,23.96,49,49
3403,2021-03-29 04:00,55362.07,1259.94,56622.02,59979.99,3428,3439,5.93,36,36
3467,2021-04-08 20:00,56841.02,1043.22,57884.23,64623.03,3502,3503,11.64,36,36
3944,2021-06-27 08:00,32519.83,1307.4,33827.24,36375.62,3960,3965,7.53,21,21
4089,2021-07-21 12:00,30278.1,584.16,30862.27,39358.4,4122,4123,27.53,34,34
4181,2021-08-05 20:00,38536.47,921.12,39457.59,46448.42,4218,4222,17.72,41,41
4344,2021-09-02 00:00,48140.02,805.86,48945.88,52683.97,4375,4378,7.64,34,34
4514,2021-09-30 08:00,42311.67,984.47,43296.14,48774.37,4536,4538,12.65,24,24
4568,2021-10-09 08:00,54274.33,1112.71,55387.05,57501.9,4584,4590,3.82,22,22
4595,2021-10-13 20:00,55742.31,1222.7,56965.01,61782.64,4611,4617,8.46,22,22
4621,2021-10-18 04:00,60770.75,1164.75,61935.49,66914.74,4637,4643,8.04,22,22
5275,2022-02-04 04:00,37245.89,746.77,37992.66,44842.26,5301,5303,18.03,28,28
5552,2022-03-22 08:00,41291.05,650.72,41941.77,47923.0,5592,5593,14.26,41,41
6110,2022-06-23 08:00,20147.71,794.42,20942.13,21699.5,6130,6137,3.62,27,27
6186,2022-07-06 00:00,19805.94,443.49,20249.43,22119.7,6200,6208,9.24,22,22
6235,2022-07-14 04:00,19691.82,481.34,20173.16,24153.4,6275,6280,19.73,45,45
6315,2022-07-27 12:00,21137.56,474.51,21612.08,24522.8,6335,6337,13.47,22,22
6571,2022-09-08 04:00,19103.36,315.02,19418.37,22516.3,6604,6605,15.95,34,34
7025,2022-11-22 20:00,15932.29,267.78,16200.06,16703.2,7034,7051,3.11,26,26
7207,2022-12-23 04:00,16753.33,158.06,16911.38,16912.9,7231,7235,0.01,28,28
7295,2023-01-06 20:00,16773.73,91.62,16865.35,21337.2,7362,7368,26.52,73,73
7680,2023-03-12 00:00,20095.62,374.09,20469.71,25911.3,7697,7703,26.58,23,23
7726,2023-03-19 16:00,27037.42,662.79,27700.21,28586.2,7745,7746,3.2,20,20
7958,2023-04-27 08:00,28591.36,580.81,29172.17,29659.9,7962,7982,1.67,24,24
8053,2023-05-13 04:00,26648.17,451.99,27100.15,27410.1,8070,8074,1.14,21,21
8130,2023-05-26 00:00,26373.3,286.25,26659.54,28055.7,8149,8153,5.24,23,23
8201,2023-06-06 20:00,25877.98,284.03,26162.01,27221.5,8203,8223,4.05,22,22
8349,2023-07-01 12:00,30446.06,453.23,30899.29,31254.1,8364,8370,1.15,21,21
8786,2023-09-12 08:00,25429.77,235.11,25664.88,26679.9,8801,8807,3.95,21,21
8881,2023-09-28 04:00,26319.26,237.97,26557.23,28299.1,8907,8911,6.56,30,30
9010,2023-10-19 16:00,28354.78,344.72,28699.5,34841.4,9047,9053,21.4,43,43
9126,2023-11-08 00:00,34949.91,402.48,35352.4,37330.4,9145,9163,5.6,37,37
9187,2023-11-18 04:00,36374.07,625.5,36999.58,37584.5,9204,9209,1.58,22,22
9216,2023-11-23 00:00,36712.78,545.72,37258.49,38217.3,9227,9240,2.57,24,24
9264,2023-12-01 00:00,37651.35,429.58,38080.93,44081.7,9295,9304,15.76,40,40
9373,2023-12-19 04:00,41789.1,622.44,42411.54,44079.0,9383,9409,3.93,36,36
9591,2024-01-24 12:00,39629.5,660.19,40289.7,42456.6,9616,9618,5.38,27,27
9675,2024-02-07 12:00,42875.76,462.63,43338.39,50019.9,9711,9713,15.42,38,38
9714,2024-02-14 00:00,48842.17,717.82,49559.99,52379.9,9722,9737,5.69,23,23
9854,2024-03-08 08:00,67020.77,1659.0,68679.77,73399.9,9888,9893,6.87,39,39
10027,2024-04-06 04:00,67503.63,1290.03,68793.66,72472.6,10042,10047,5.35,20,20
10115,2024-04-20 20:00,63887.42,1645.1,65532.51,66778.0,10129,10139,1.9,24,24
10190,2024-05-03 08:00,59152.17,1251.17,60403.34,64509.6,10209,10212,6.8,22,22
10376,2024-06-03 08:00,68197.25,697.9,68895.15,71625.1,10391,10398,3.96,22,22
10654,2024-07-19 16:00,64055.53,1018.47,65074.0,68193.5,10674,10677,4.79,23,23
10772,2024-08-08 08:00,55783.75,1713.09,57496.84,61659.8,10777,10794,7.24,22,22
10850,2024-08-21 08:00,59224.63,1004.98,60229.61,64269.3,10869,10883,6.71,33,33
10963,2024-09-09 04:00,54793.75,878.62,55672.37,60456.2,10993,11005,8.59,42,42
11013,2024-09-17 12:00,58585.14,763.99,59349.13,63723.3,11030,11044,7.37,31,31
11066,2024-09-26 08:00,63247.07,778.97,64026.04,66041.0,11078,11090,3.15,24,24
11172,2024-10-14 00:00,62545.27,705.7,63250.97,67872.3,11188,11194,7.31,22,22
11197,2024-10-18 04:00,67083.44,891.18,67974.63,69020.1,11215,11219,1.54,22,22
11311,2024-11-06 04:00,68998.66,985.24,69983.9,89095.4,11349,11351,27.31,40,40
11368,2024-11-15 16:00,88158.11,2108.47,90266.58,99252.6,11409,11418,9.95,50,50
11441,2024-11-27 20:00,94178.34,1592.48,95770.82,98076.2,11453,11470,2.41,29,29
11538,2024-12-14 00:00,100151.65,1595.26,101746.9,106824.4,11558,11564,4.99,26,26
11651,2025-01-01 20:00,94182.11,1364.49,95546.59,102180.4,11683,11687,6.94,36,36
11725,2025-01-14 04:00,93476.49,1471.23,94947.71,106247.9,11760,11761,11.9,36,36
11783,2025-01-23 20:00,103337.97,2088.36,105426.33,105821.8,11789,11803,0.38,20,20
11809,2025-01-28 04:00,100897.13,1822.38,102719.51,105659.8,11826,11832,2.86,23,23
12246,2025-04-11 00:00,79055.99,2002.28,81058.27,85691.3,12273,12276,5.72,30,30
12306,2025-04-21 00:00,84507.32,802.81,85310.13,94102.5,12321,12326,10.31,20,20
12329,2025-04-24 20:00,92821.56,1198.55,94020.11,95229.2,12336,12349,1.29,20,20
12402,2025-05-07 00:00,94703.83,902.87,95606.7,104788.8,12427,12437,9.6,35,35
12479,2025-05-19 20:00,103752.89,1276.96,105029.85,111755.9,12494,12502,6.4,23,23
12586,2025-06-06 16:00,103523.95,1172.33,104696.29,110235.4,12613,12618,5.29,32,32
12783,2025-07-09 12:00,108566.01,772.01,109338.02,118072.7,12798,12803,7.99,20,20
12953,2025-08-06 20:00,114352.05,1038.01,115390.06,121700.1,12980,12984,5.47,31,31
13161,2025-09-10 12:00,111828.69,948.88,112777.57,116561.1,13176,13187,3.35,26,26
13300,2025-10-03 16:00,119900.5,1004.07,120904.58,125357.3,13320,13325,3.68,25,25
13761,2025-12-19 12:00,87227.46,1499.84,88727.31,89905.2,13780,13782,1.33,21,21
13852,2026-01-03 16:00,89705.92,852.76,90558.69,94248.6,13866,13872,4.07,20,20
14056,2026-02-06 16:00,65504.82,2304.11,67808.93,71381.0,14070,14084,5.27,28,28
14190,2026-03-01 00:00,65224.36,1226.08,66450.44,73580.2,14214,14224,10.73,34,34
14259,2026-03-12 12:00,69456.98,1252.44,70709.43,74846.4,14287,14296,5.85,37,37
14418,2026-04-08 00:00,68864.65,853.8,69718.45,73635.9,14442,14444,5.62,26,26
14503,2026-04-22 04:00,75303.85,993.38,76297.23,79234.3,14507,14535,3.85,32,32
14571,2026-05-03 12:00,78277.05,701.54,78978.59,82485.4,14590,14597,4.44,26,26
14804,2026-06-11 08:00,62111.92,1175.42,63287.34,64515.0,14822,14825,1.94,21,21
14927,2026-07-01 20:00,59777.87,862.07,60639.93,63268.1,14946,14950,4.33,23,23
15125,2026-08-03 20:00,63213.64,551.74,63765.37,65207.7,15161,15167,2.26,42,42
