序号,信号时间,方向,入场线类型,成交价,ATR,ATR%,EMA70偏离度%,突破K数,前3K方向涨幅%,量比,状态,不做原因,是否确认,是否加仓,加仓价,出场时间,出场价,持仓K数,底仓R值,加仓R值,R值,基础档位,出场原因,年份
1,2026-08-23 12:00,做空,6K极值,76777.4,1102.2,1.433,15.89,11,0.07,0.9,做上,,确认,,,2026-08-24 00:00,77305.48,3,-0.479,,-0.479,1.5x,3K收盘认赔,2026
2,2026-08-21 12:00,做多,6K极值,75747.71,949.31,1.275,13.29,518,2.82,1.76,未做,持仓中跳过,确认,是,77215.26,2026-08-22 12:00,77678.15,6,2.034,0.192,2.225,,KAMA跟踪止损,2026
3,2026-08-21 08:00,做多,6K极值,73369.1,854.36,1.17,11.65,509,1.53,2.2,未做,持仓中跳过,确认,是,76322.1,2026-08-22 12:00,77678.15,7,5.044,0.356,5.4,,KAMA跟踪止损,2026
4,2026-08-21 04:00,做多,6K极值,72933.9,851.41,1.173,11.05,482,4.0,0.69,未做,持仓中跳过,弱突破,,,2026-08-21 04:00,72999.95,0,0.078,,0.078,,弱突破平仓,2026
5,2026-08-20 16:00,做多,基准值,70015.34,716.46,1.026,6.78,478,2.08,3.25,未做,持仓中跳过,确认,是,72439.9,2026-08-22 12:00,77678.15,11,10.695,1.668,12.363,,KAMA跟踪止损,2026
6,2026-08-19 20:00,做多,基准值,64705.7,388.77,0.603,-1.05,467,-0.33,11.32,做上,,确认,是,68394.9,2026-08-21 16:00,78940.95,11,36.616,2.586,39.202,2.0x,止盈,2026
7,2026-08-18 20:00,做多,基准值,64541.5,386.62,0.601,-1.1,47,-0.28,3.44,未做,持仓中跳过,确认,,,2026-08-19 08:00,64298.25,3,-0.629,,-0.629,,3K收盘认赔,2026
8,2026-08-18 00:00,做多,6K极值,64199.9,373.84,0.583,-1.35,30,1.2,2.84,未做,持仓中跳过,弱突破,,,2026-08-18 00:00,64281.87,0,0.219,,0.219,,弱突破平仓,2026
9,2026-08-17 20:00,做多,6K极值,63757.41,352.07,0.554,-2.22,29,1.16,3.48,做上,,确认,是,64504.95,2026-08-19 08:00,64319.85,9,1.598,-0.168,1.429,2.0x,KAMA跟踪止损,2026
10,2026-08-17 08:00,做多,6K极值,63370.0,325.41,0.518,-3.37,16,-0.17,1.93,做上,,弱突破,,,2026-08-17 08:00,63409.8,0,0.122,,0.122,2.0x,弱突破平仓,2026
11,2026-08-17 04:00,做空,基准值,62933.08,319.61,0.507,-3.04,11,-0.08,1.16,做上,,弱突破,,,2026-08-17 04:00,62876.0,0,0.179,,0.179,1.5x,弱突破平仓,2026
12,2026-08-14 16:00,做空,6K极值,62889.44,457.5,0.727,-3.53,3,0.78,1.17,做上,,弱突破,,,2026-08-14 16:00,62837.4,0,0.114,,0.114,1.5x,弱突破平仓,2026
13,2026-08-13 12:00,做多,6K极值,63682.3,442.88,0.696,-2.5,3,0.32,0.83,做上,,弱突破,,,2026-08-13 12:00,63833.26,0,0.341,,0.341,2.0x,弱突破平仓,2026
14,2026-08-12 20:00,做空,基准值,63518.3,432.19,0.673,-1.68,4,-1.0,3.26,未做,持仓中跳过,弱突破,,,2026-08-12 20:00,63422.46,0,0.222,,0.222,,弱突破平仓,2026
15,2026-08-12 16:00,做多,6K极值,63886.0,429.27,0.673,-2.28,4,0.47,1.21,做上,,确认,,,2026-08-12 20:00,63456.73,1,-1.0,,-1.0,2.0x,前3K止损,2026
16,2026-08-11 20:00,做空,6K极值,63828.0,421.38,0.655,-1.53,42,-0.66,3.29,做上,,确认,,,2026-08-12 12:00,63828.0,4,0.0,,0.0,1.5x,KAMA跟踪止损,2026
17,2026-08-11 16:00,做多,基准值,64185.6,424.24,0.663,-2.03,4,0.02,1.2,做上,,弱突破,,,2026-08-11 16:00,64358.3,0,0.407,,0.407,2.0x,弱突破平仓,2026
18,2026-08-11 00:00,做空,6K极值,64180.7,441.27,0.687,-1.74,30,1.04,2.76,做上,,弱突破,,,2026-08-11 00:00,64017.73,0,0.369,,0.369,1.5x,弱突破平仓,2026
19,2026-08-10 20:00,做空,基准值,64796.18,410.06,0.63,-0.48,19,-0.35,3.79,未做,持仓中跳过,确认,是,64017.73,2026-08-12 16:00,64090.56,11,1.721,-0.061,1.659,,KAMA跟踪止损,2026
20,2026-08-09 20:00,做多,基准值,64982.56,404.01,0.622,-0.81,11,-0.01,0.92,未做,持仓中跳过,确认,,,2026-08-10 08:00,64950.64,3,-0.079,,-0.079,,3K收盘认赔,2026
21,2026-08-09 08:00,做空,基准值,64890.83,438.73,0.676,-0.82,7,0.02,0.41,未做,持仓中跳过,弱突破,,,2026-08-09 08:00,64759.0,0,0.3,,0.3,,弱突破平仓,2026
22,2026-08-08 20:00,做多,基准值,65046.69,480.47,0.74,-0.8,3,0.09,0.39,未做,持仓中跳过,弱突破,,,2026-08-08 20:00,65049.74,0,0.006,,0.006,,弱突破平仓,2026
23,2026-08-07 16:00,做多,6K极值,64518.2,525.6,0.818,-1.82,43,-0.19,1.35,做上,,确认,,,2026-08-10 20:00,64733.06,19,0.409,,0.409,2.0x,KAMA跟踪止损,2026
24,2026-08-06 00:00,做多,6K极值,64714.4,580.19,0.902,-1.81,33,0.32,0.96,做上,,弱突破,,,2026-08-06 00:00,64801.15,0,0.15,,0.15,2.0x,弱突破平仓,2026
25,2026-08-03 20:00,做多,基准值,63575.6,539.6,0.863,-4.68,3,-1.6,3.6,做上,,弱突破,,,2026-08-03 20:00,63664.89,0,0.165,,0.165,2.0x,弱突破平仓,2026
26,2026-08-03 12:00,做空,6K极值,62778.9,542.34,0.863,-4.21,7,0.38,1.05,做上,,弱突破,,,2026-08-03 12:00,62591.0,0,0.346,,0.346,1.5x,弱突破平仓,2026
27,2026-08-03 08:00,做空,基准值,62981.56,528.95,0.832,-3.22,5,-0.86,0.89,做上,,弱突破,,,2026-08-03 08:00,62844.14,0,0.26,,0.26,1.5x,弱突破平仓,2026
28,2026-08-02 08:00,做多,基准值,63099.72,554.75,0.883,-4.47,8,-0.4,1.03,未做,持仓中跳过,确认,,,2026-08-02 20:00,63081.5,3,-0.033,,-0.033,,3K收盘认赔,2026
29,2026-08-02 00:00,做空,6K极值,62957.21,553.47,0.879,-4.19,6,-0.0,1.17,未做,持仓中跳过,确认,,,2026-08-02 08:00,63510.67,2,-1.0,,-1.0,,前3K止损,2026
30,2026-07-31 20:00,做空,6K极值,63579.3,632.77,0.992,-3.09,83,1.5,2.78,做上,,确认,是,62502.14,2026-08-02 08:00,63154.78,9,0.671,-0.725,-0.054,1.5x,KAMA跟踪止损,2026
31,2026-07-31 16:00,做空,6K极值,63852.4,644.98,1.009,-2.89,7,1.33,0.83,做上,,弱突破,,,2026-07-31 16:00,63779.38,0,0.113,,0.113,1.5x,弱突破平仓,2026
32,2026-07-31 12:00,做空,6K极值,64153.26,646.07,1.004,-2.23,5,0.55,0.84,做上,,弱突破,,,2026-07-31 12:00,63912.92,0,0.372,,0.372,1.5x,弱突破平仓,2026
33,2026-07-31 08:00,做空,基准值,64572.5,615.73,0.951,-1.74,3,0.02,1.44,未做,持仓中跳过,弱突破,,,2026-07-31 08:00,64344.68,0,0.37,,0.37,,弱突破平仓,2026
34,2026-07-30 16:00,做多,6K极值,64393.0,633.71,0.99,-2.91,14,0.62,0.88,做上,,确认,,,2026-07-31 08:00,64411.58,4,0.029,,0.029,2.0x,KAMA跟踪止损,2026
35,2026-07-29 12:00,做多,6K极值,64168.02,584.7,0.918,-3.35,7,-0.28,1.18,未做,持仓中跳过,确认,,,2026-07-30 00:00,63583.32,3,-1.0,,-1.0,,前3K止损,2026
36,2026-07-28 20:00,做多,基准值,63794.3,555.45,0.876,-3.88,3,-0.46,2.93,未做,持仓中跳过,弱突破,,,2026-07-28 20:00,63903.53,0,0.197,,0.197,,弱突破平仓,2026
37,2026-07-28 08:00,做空,6K极值,63568.6,566.16,0.888,-3.52,61,2.07,2.16,未做,持仓中跳过,弱突破,,,2026-07-28 08:00,63312.44,0,0.452,,0.452,,弱突破平仓,2026
38,2026-07-28 04:00,做空,6K极值,64397.77,519.01,0.799,-1.66,19,0.37,2.12,做上,,确认,是,63312.44,2026-07-29 12:00,64387.76,8,0.019,-0.67,-0.651,1.5x,KAMA跟踪止损,2026
39,2026-07-27 20:00,做空,基准值,64876.08,474.59,0.729,-1.48,5,0.46,3.69,未做,持仓中跳过,确认,是,63724.1,2026-07-29 12:00,64387.76,10,1.029,-0.408,0.621,,KAMA跟踪止损,2026
40,2026-07-27 04:00,做多,6K极值,64905.7,452.72,0.7,-2.19,14,0.51,1.45,做上,,确认,,,2026-07-27 20:00,64939.76,4,0.075,,0.075,2.0x,KAMA跟踪止损,2026
41,2026-07-26 20:00,做多,6K极值,64567.05,464.78,0.721,-2.47,11,0.22,0.91,做上,,弱突破,,,2026-07-26 20:00,64733.5,0,0.358,,0.358,2.0x,弱突破平仓,2026
42,2026-07-26 08:00,做多,6K极值,64418.19,499.14,0.776,-2.72,8,0.49,0.36,未做,持仓中跳过,弱突破,,,2026-07-26 08:00,64518.9,0,0.202,,0.202,,弱突破平仓,2026
43,2026-07-26 00:00,做多,6K极值,64244.4,526.92,0.821,-3.01,6,0.14,0.43,未做,持仓中跳过,弱突破,,,2026-07-26 00:00,64359.6,0,0.219,,0.219,,弱突破平仓,2026
44,2026-07-24 20:00,做空,基准值,64733.3,584.43,0.898,-1.73,23,0.03,3.19,做上,,确认,,,2026-07-26 12:00,64562.36,10,0.292,,0.292,1.5x,KAMA跟踪止损,2026
45,2026-07-24 12:00,做多,6K极值,65437.58,581.52,0.889,-1.16,3,0.76,1.08,做上,,弱突破,,,2026-07-24 12:00,65469.3,0,0.055,,0.055,2.0x,弱突破平仓,2026
46,2026-07-23 20:00,做空,6K极值,65314.18,587.09,0.896,-1.1,17,0.84,2.26,做上,,确认,,,2026-07-24 08:00,65425.73,3,-0.19,,-0.19,1.5x,3K收盘认赔,2026
47,2026-07-23 12:00,做空,6K极值,65552.03,604.58,0.921,-0.94,12,0.59,0.67,做上,,弱突破,,,2026-07-23 12:00,65405.89,0,0.242,,0.242,1.5x,弱突破平仓,2026
48,2026-07-22 12:00,做空,基准值,66071.2,613.61,0.927,-0.16,5,0.7,1.09,未做,持仓中跳过,弱突破,,,2026-07-22 12:00,65813.42,0,0.42,,0.42,,弱突破平仓,2026
49,2026-07-21 20:00,做多,6K极值,66389.9,625.34,0.943,0.04,209,1.67,2.25,未做,持仓中跳过,弱突破,,,2026-07-21 20:00,66648.5,0,0.414,,0.414,,弱突破平仓,2026
50,2026-07-21 16:00,做多,6K极值,66224.07,643.44,0.972,-0.18,201,1.62,1.38,未做,持仓中跳过,弱突破,,,2026-07-21 16:00,66317.9,0,0.146,,0.146,,弱突破平仓,2026
