序号,信号时间,方向,入场线类型,成交价,ATR,ATR%,EMA70偏离度%,突破K数,前3K方向涨幅%,量比,是否确认,是否加仓,加仓价,出场时间,出场价,持仓K数,底仓R值,加仓R值,R值,基础档位,是否降档,实际档位,底仓加权R,加仓加权R,加权R值,出场原因,年份
1,2026-08-23 12:00,做空,6K极值,76777.4,1102.2,1.433,15.89,11,0.07,0.9,确认,,,2026-08-24 00:00,77305.48,3,-0.479,,-0.479,1.5x,,1.5x,-0.719,,-0.719,3K收盘认赔,2026
2,2026-08-19 20:00,做多,基准值,64705.7,388.77,0.603,-1.05,467,-0.33,11.32,确认,是,68394.9,2026-08-21 16:00,78940.95,11,36.616,2.586,39.202,2.0x,,2.0x,73.232,5.172,78.404,止盈,2026
3,2026-08-17 20:00,做多,6K极值,63757.41,352.07,0.554,-2.22,29,1.16,3.48,确认,,,2026-08-19 08:00,64319.85,9,1.598,,1.598,2.0x,,2.0x,3.195,,3.195,KAMA跟踪止损,2026
4,2026-08-17 08:00,做多,6K极值,63370.0,325.41,0.518,-3.37,16,-0.17,1.93,弱突破,,,2026-08-17 08:00,63409.8,0,0.122,,0.122,2.0x,,2.0x,0.245,,0.245,弱突破平仓,2026
5,2026-08-17 04:00,做空,基准值,62933.08,319.61,0.507,-3.04,11,-0.08,1.16,弱突破,,,2026-08-17 04:00,62876.0,0,0.179,,0.179,1.5x,,1.5x,0.268,,0.268,弱突破平仓,2026
6,2026-08-14 16:00,做空,6K极值,62889.44,457.5,0.727,-3.53,3,0.78,1.17,弱突破,,,2026-08-14 16:00,62837.4,0,0.114,,0.114,1.5x,,1.5x,0.171,,0.171,弱突破平仓,2026
7,2026-08-13 12:00,做多,6K极值,63682.3,442.88,0.696,-2.5,3,0.32,0.83,弱突破,,,2026-08-13 12:00,63833.26,0,0.341,,0.341,2.0x,,2.0x,0.682,,0.682,弱突破平仓,2026
8,2026-08-12 16:00,做多,6K极值,63886.0,429.27,0.673,-2.28,4,0.47,1.21,确认,,,2026-08-12 20:00,63456.73,1,-1.0,,-1.0,2.0x,,2.0x,-2.0,,-2.0,前3K止损,2026
9,2026-08-11 20:00,做空,6K极值,63828.0,421.38,0.655,-1.53,42,-0.66,3.29,确认,,,2026-08-12 12:00,63828.0,4,0.0,,0.0,1.5x,,1.5x,0.0,,0.0,KAMA跟踪止损,2026
10,2026-08-11 16:00,做多,基准值,64185.6,424.24,0.663,-2.03,4,0.02,1.2,弱突破,,,2026-08-11 16:00,64358.3,0,0.407,,0.407,2.0x,,2.0x,0.814,,0.814,弱突破平仓,2026
11,2026-08-11 00:00,做空,6K极值,64180.7,441.27,0.687,-1.74,30,1.04,2.76,弱突破,,,2026-08-11 00:00,64017.73,0,0.369,,0.369,1.5x,,1.5x,0.554,,0.554,弱突破平仓,2026
12,2026-08-07 16:00,做多,6K极值,64518.2,525.6,0.818,-1.82,43,-0.19,1.35,确认,,,2026-08-10 20:00,64733.06,19,0.409,,0.409,2.0x,,2.0x,0.818,,0.818,KAMA跟踪止损,2026
13,2026-08-06 00:00,做多,6K极值,64714.4,580.19,0.902,-1.81,33,0.32,0.96,弱突破,,,2026-08-06 00:00,64801.15,0,0.15,,0.15,2.0x,,2.0x,0.299,,0.299,弱突破平仓,2026
14,2026-08-03 20:00,做多,基准值,63575.6,539.6,0.863,-4.68,3,-1.6,3.6,弱突破,,,2026-08-03 20:00,63664.89,0,0.165,,0.165,2.0x,,2.0x,0.331,,0.331,弱突破平仓,2026
15,2026-08-03 12:00,做空,6K极值,62778.9,542.34,0.863,-4.21,7,0.38,1.05,弱突破,,,2026-08-03 12:00,62591.0,0,0.346,,0.346,1.5x,,1.5x,0.52,,0.52,弱突破平仓,2026
16,2026-08-03 08:00,做空,基准值,62981.56,528.95,0.832,-3.22,5,-0.86,0.89,弱突破,,,2026-08-03 08:00,62844.14,0,0.26,,0.26,1.5x,,1.5x,0.39,,0.39,弱突破平仓,2026
17,2026-07-31 20:00,做空,6K极值,63579.3,632.77,0.992,-3.09,83,1.5,2.78,确认,,,2026-08-02 08:00,63154.78,9,0.671,,0.671,1.5x,,1.5x,1.006,,1.006,KAMA跟踪止损,2026
18,2026-07-31 16:00,做空,6K极值,63852.4,644.98,1.009,-2.89,7,1.33,0.83,弱突破,,,2026-07-31 16:00,63779.38,0,0.113,,0.113,1.5x,,1.5x,0.17,,0.17,弱突破平仓,2026
19,2026-07-31 12:00,做空,6K极值,64153.26,646.07,1.004,-2.23,5,0.55,0.84,弱突破,,,2026-07-31 12:00,63912.92,0,0.372,,0.372,1.5x,,1.5x,0.558,,0.558,弱突破平仓,2026
20,2026-07-30 16:00,做多,6K极值,64393.0,633.71,0.99,-2.91,14,0.62,0.88,确认,,,2026-07-31 08:00,64411.58,4,0.029,,0.029,2.0x,,2.0x,0.059,,0.059,KAMA跟踪止损,2026
21,2026-07-28 04:00,做空,6K极值,64397.77,519.01,0.799,-1.66,19,0.37,2.12,确认,,,2026-07-29 12:00,64387.76,8,0.019,,0.019,1.5x,,1.5x,0.029,,0.029,KAMA跟踪止损,2026
22,2026-07-27 04:00,做多,6K极值,64905.7,452.72,0.7,-2.19,14,0.51,1.45,确认,,,2026-07-27 20:00,64939.76,4,0.075,,0.075,2.0x,,2.0x,0.15,,0.15,KAMA跟踪止损,2026
23,2026-07-26 20:00,做多,6K极值,64567.05,464.78,0.721,-2.47,11,0.22,0.91,弱突破,,,2026-07-26 20:00,64733.5,0,0.358,,0.358,2.0x,,2.0x,0.716,,0.716,弱突破平仓,2026
24,2026-07-24 20:00,做空,基准值,64733.3,584.43,0.898,-1.73,23,0.03,3.19,确认,,,2026-07-26 12:00,64562.36,10,0.292,,0.292,1.5x,,1.5x,0.439,,0.439,KAMA跟踪止损,2026
25,2026-07-24 12:00,做多,6K极值,65437.58,581.52,0.889,-1.16,3,0.76,1.08,弱突破,,,2026-07-24 12:00,65469.3,0,0.055,,0.055,2.0x,,2.0x,0.109,,0.109,弱突破平仓,2026
