序号,信号时间,方向,入场线类型,成交价,ATR,ATR%,EMA70偏离度%,突破K数,前3K方向涨幅%,量比,是否确认,是否加仓,加仓价,出场时间,出场价,持仓K数,底仓R值,加仓R值,R值,基础档位,是否降档,实际档位,底仓加权R,加仓加权R,加权R值,出场原因,年份
1,2026-08-19 20:00,做多,基准值,64705.7,388.77,0.603,-1.05,467,-0.33,11.32,确认,是,68394.9,2026-08-21 16:00,78940.95,11,36.616,2.586,39.202,2.0x,,2.0x,73.232,5.172,78.404,止盈,2026
2,2026-08-17 04:00,做空,基准值,62933.08,319.61,0.507,-3.04,11,-0.08,1.16,弱突破,,,2026-08-17 04:00,62876.0,0,0.179,,0.179,1.5x,,1.5x,0.268,,0.268,弱突破平仓,2026
3,2026-08-11 16:00,做多,基准值,64185.6,424.24,0.663,-2.03,4,0.02,1.2,弱突破,,,2026-08-11 16:00,64358.3,0,0.407,,0.407,2.0x,,2.0x,0.814,,0.814,弱突破平仓,2026
4,2026-08-03 20:00,做多,基准值,63575.6,539.6,0.863,-4.68,3,-1.6,3.6,弱突破,,,2026-08-03 20:00,63664.89,0,0.165,,0.165,2.0x,,2.0x,0.331,,0.331,弱突破平仓,2026
5,2026-08-03 08:00,做空,基准值,62981.56,528.95,0.832,-3.22,5,-0.86,0.89,弱突破,,,2026-08-03 08:00,62844.14,0,0.26,,0.26,1.5x,,1.5x,0.39,,0.39,弱突破平仓,2026
6,2026-07-24 20:00,做空,基准值,64733.3,584.43,0.898,-1.73,23,0.03,3.19,确认,,,2026-07-26 12:00,64562.36,10,0.292,,0.292,1.5x,,1.5x,0.439,,0.439,KAMA跟踪止损,2026
7,2026-07-20 20:00,做多,基准值,65084.6,601.23,0.925,-1.97,167,0.44,3.26,确认,是,66171.0,2026-07-22 20:00,65612.95,12,0.879,-0.514,0.365,2.0x,,2.0x,1.758,-1.027,0.73,KAMA跟踪止损,2026
8,2026-07-20 12:00,做空,基准值,64288.3,542.23,0.836,-2.18,8,-0.45,1.78,弱突破,,,2026-07-20 12:00,64249.9,0,0.071,,0.071,1.5x,,1.5x,0.106,,0.106,弱突破平仓,2026
9,2026-07-19 16:00,做空,基准值,64484.96,558.99,0.864,-2.45,3,-0.25,0.59,弱突破,,,2026-07-19 16:00,64445.6,0,0.07,,0.07,1.5x,,1.5x,0.106,,0.106,弱突破平仓,2026
10,2026-07-06 04:00,做多,基准值,63084.3,679.18,1.082,-7.05,75,-0.4,1.92,确认,,,2026-07-06 16:00,62497.9,3,-0.863,,-0.863,2.0x,,2.0x,-1.727,,-1.727,3K收盘认赔,2026
11,2026-06-30 12:00,做空,基准值,59562.6,885.73,1.486,-12.77,3,0.34,1.02,弱突破,,,2026-06-30 12:00,59498.44,0,0.072,,0.072,1.5x,,1.5x,0.109,,0.109,弱突破平仓,2026
12,2026-06-29 00:00,做空,基准值,59749.6,864.27,1.444,-13.06,12,0.53,0.74,弱突破,,,2026-06-29 00:00,59453.94,0,0.342,,0.342,1.5x,,1.5x,0.513,,0.513,弱突破平仓,2026
13,2026-06-25 20:00,做空,基准值,60675.62,903.47,1.475,-12.05,4,-0.34,5.14,确认,是,59283.3,2026-06-26 12:00,60675.62,4,0.0,-0.606,-0.606,1.5x,,1.5x,0.0,-0.91,-0.91,KAMA跟踪止损,2026
14,2026-06-23 04:00,做空,基准值,64014.9,739.33,1.147,-8.44,3,-0.44,0.92,弱突破,,,2026-06-23 04:00,63990.41,0,0.033,,0.033,1.5x,,1.5x,0.05,,0.05,弱突破平仓,2026
15,2026-06-22 20:00,做多,基准值,64787.71,731.88,1.133,-8.22,28,2.12,3.0,弱突破,,,2026-06-22 20:00,64807.9,0,0.028,,0.028,2.0x,,2.0x,0.055,,0.055,弱突破平仓,2026
16,2026-06-22 04:00,做空,基准值,63874.87,686.57,1.07,-9.09,7,-0.0,1.28,确认,,,2026-06-22 08:00,64561.44,1,-1.0,,-1.0,1.5x,,1.5x,-1.5,,-1.5,前3K止损,2026
17,2026-06-21 08:00,做多,基准值,64365.7,770.29,1.198,-9.22,14,0.98,0.42,弱突破,,,2026-06-21 08:00,64399.9,0,0.044,,0.044,2.0x,,2.0x,0.089,,0.089,弱突破平仓,2026
18,2026-06-15 04:00,做多,基准值,64640.6,745.89,1.17,-11.41,65,-0.96,2.74,确认,是,65894.6,2026-06-16 20:00,65620.02,10,1.313,-0.137,1.176,2.0x,,2.0x,2.626,-0.275,2.352,KAMA跟踪止损,2026
19,2026-06-09 20:00,做空,基准值,62386.69,1173.59,1.872,-14.43,14,0.6,2.26,确认,,,2026-06-10 20:00,62136.01,6,0.214,,0.214,1.5x,,1.5x,0.32,,0.32,KAMA跟踪止损,2026
20,2026-06-08 04:00,做多,基准值,62932.29,1244.43,2.03,-17.03,15,-1.71,1.04,弱突破,,,2026-06-08 04:00,63304.37,0,0.299,,0.299,1.0x,,1.0x,0.299,,0.299,弱突破平仓,2026
21,2026-06-08 00:00,做空,基准值,61454.32,1249.76,2.013,-15.99,3,-0.64,0.52,弱突破,,,2026-06-08 00:00,61303.8,0,0.12,,0.12,1.0x,,1.0x,0.12,,0.12,弱突破平仓,2026
22,2026-06-04 00:00,做空,基准值,65802.22,1038.58,1.573,-12.29,3,-0.34,1.32,弱突破,,,2026-06-04 00:00,65432.4,0,0.356,,0.356,1.5x,,1.5x,0.534,,0.534,弱突破平仓,2026
23,2026-05-30 20:00,做多,基准值,73763.3,765.78,1.041,-3.3,4,0.19,0.56,弱突破,,,2026-05-30 20:00,73892.8,0,0.169,,0.169,2.0x,,2.0x,0.338,,0.338,弱突破平仓,2026
24,2026-05-21 16:00,做空,基准值,77191.4,720.05,0.925,1.99,3,-0.28,1.12,弱突破,,,2026-05-21 16:00,77157.3,0,0.047,,0.047,1.5x,是,1.0x,0.047,,0.047,弱突破平仓,2026
25,2026-05-21 08:00,做多,基准值,77820.24,727.17,0.938,1.6,18,0.2,0.8,弱突破,,,2026-05-21 08:00,78039.67,0,0.302,,0.302,2.0x,是,1.5x,0.453,,0.453,弱突破平仓,2026
26,2026-05-13 20:00,做空,基准值,80377.5,739.03,0.918,6.01,53,-0.0,3.09,确认,是,79011.11,2026-05-14 20:00,80377.5,6,0.0,-0.649,-0.649,1.5x,是,1.0x,0.0,-0.649,-0.649,KAMA跟踪止损,2026
27,2026-05-13 08:00,做多,基准值,80968.6,744.19,0.925,6.15,4,-0.35,0.79,弱突破,,,2026-05-13 08:00,81217.1,0,0.334,,0.334,2.0x,是,1.5x,0.501,,0.501,弱突破平仓,2026
28,2026-05-10 00:00,做多,基准值,80623.4,749.11,0.931,6.89,12,0.18,0.79,弱突破,,,2026-05-10 00:00,80896.0,0,0.364,,0.364,2.0x,,2.0x,0.728,,0.728,弱突破平仓,2026
29,2026-05-06 16:00,做多,基准值,81745.51,835.22,1.027,8.66,568,-0.28,1.9,确认,,,2026-05-07 04:00,81396.63,3,-0.418,,-0.418,2.0x,是,1.5x,-0.627,,-0.627,3K收盘认赔,2026
30,2026-05-01 08:00,做多,基准值,76623.1,773.25,1.013,3.16,8,0.35,1.02,确认,是,78430.48,2026-05-02 04:00,77734.89,5,1.438,-0.27,1.168,2.0x,,2.0x,2.876,-0.539,2.337,KAMA跟踪止损,2026
31,2026-04-30 20:00,做多,基准值,76417.07,825.6,1.086,2.8,5,0.37,1.11,弱突破,,,2026-04-30 20:00,76429.2,0,0.015,,0.015,2.0x,是,1.5x,0.022,,0.022,弱突破平仓,2026
32,2026-04-29 20:00,做空,基准值,76142.69,772.9,0.997,4.96,4,-1.65,2.29,弱突破,,,2026-04-29 20:00,75875.02,0,0.346,,0.346,1.5x,是,1.0x,0.346,,0.346,弱突破平仓,2026
33,2026-04-17 16:00,做多,基准值,75496.4,928.1,1.237,3.2,15,-0.36,2.15,弱突破,,,2026-04-17 16:00,75542.1,0,0.049,,0.049,2.0x,,2.0x,0.098,,0.098,弱突破平仓,2026
