方向,起始时间,结束时间,持续K数,涨跌幅%,同向连续K,净向10K,F10通过,确认可入场,确认时间,确认入场价,确认后空间%,确认后MAE%,峰值在确认前
做空,2019-09-10 12:00:00+00:00,2019-09-11 00:00:00+00:00,4,-0.41058676120006776,7.0,True,False,False,,,,,
做空,2019-09-11 00:00:00+00:00,2019-09-11 16:00:00+00:00,5,-0.9677904163484553,4.0,True,False,False,,,,,
做空,2019-09-11 16:00:00+00:00,2019-09-11 20:00:00+00:00,2,-2.5219671722463772,2.0,False,False,False,,,,,
做多,2019-09-11 20:00:00+00:00,2019-09-12 00:00:00+00:00,2,-2.085620537262122,8.0,True,False,False,,,,,
做空,2019-09-12 00:00:00+00:00,2019-09-12 04:00:00+00:00,2,-1.912908051303451,1.0,False,False,False,,,,,
做空,2019-09-12 04:00:00+00:00,2019-09-12 08:00:00+00:00,2,-2.2918293184178093,1.0,False,False,False,,,,,
做多,2019-09-12 08:00:00+00:00,2019-09-13 16:00:00+00:00,9,0.41260196448262615,7.0,True,False,False,,,,,
做空,2019-09-13 16:00:00+00:00,2019-09-13 20:00:00+00:00,2,-1.525667354141723,0.0,False,False,False,,,,,
做多,2019-09-13 20:00:00+00:00,2019-09-14 12:00:00+00:00,5,-1.3821464692093468,10.0,True,True,False,,,,,
做多,2019-09-14 12:00:00+00:00,2019-09-15 00:00:00+00:00,4,-1.3874253672693413,10.0,True,True,False,,,,,
做多,2019-09-15 00:00:00+00:00,2019-09-16 12:00:00+00:00,10,-1.6217522222562921,8.0,False,False,False,,,,,
做空,2019-09-16 12:00:00+00:00,2019-09-16 20:00:00+00:00,3,-0.9825179145330728,1.0,True,False,False,,,,,
做多,2019-09-16 20:00:00+00:00,2019-09-17 00:00:00+00:00,2,-1.2784269233117282,2.0,True,False,False,,,,,
做多,2019-09-17 00:00:00+00:00,2019-09-17 04:00:00+00:00,2,-1.2641846071183962,2.0,False,False,False,,,,,
做多,2019-09-17 04:00:00+00:00,2019-09-17 08:00:00+00:00,2,-1.2366551154938403,2.0,False,False,False,,,,,
做空,2019-09-17 08:00:00+00:00,2019-09-17 12:00:00+00:00,2,-1.2500535175141891,5.0,True,False,False,,,,,
做多,2019-09-17 12:00:00+00:00,2019-09-17 20:00:00+00:00,3,-0.9371864036156116,2.0,False,False,False,,,,,
做空,2019-09-17 20:00:00+00:00,2019-09-18 00:00:00+00:00,2,-1.1877722766163634,8.0,True,False,False,,,,,
做多,2019-09-18 00:00:00+00:00,2019-09-18 04:00:00+00:00,2,-1.1284661420858793,1.0,False,False,False,,,,,
做多,2019-09-18 04:00:00+00:00,2019-09-18 08:00:00+00:00,2,-1.0960527353480565,2.0,False,False,False,,,,,
做空,2019-09-18 08:00:00+00:00,2019-09-18 12:00:00+00:00,2,-0.5784662051031989,7.0,True,False,False,,,,,
