方向,起始K,结束K,起始时间,结束时间,持续K数,截断,KAMA参考,突破KATR,起点价,极值价,极值K,极值时间,极值年龄K,涨跌幅%,终结K收盘,峰前回撤%,全程回撤%,峰值回吐%,突破K实体%,突破K顺向涨跌%,突破K振幅ATR,收盘距KAMA_ATR,ATR%,量比,EMA70偏离%,距20K高_ATR,距20K低_ATR,前波涨幅%,前波同向,前休整K,3K后剩余%,5K后剩余%,8K后剩余%,10K后剩余%,15K后剩余%,20K后剩余%
做空,11,14,2019-09-10 12:00:00+00:00,2019-09-11 00:00:00+00:00,4,False,10254.56,267.68899676881426,9900.221003231185,9940.87,12,2019-09-10 16:00:00+00:00,2,-0.41058676120006776,10093.88,3.7409164567936313,3.5433518394265264,1.5392012972707458,71.68598422129182,0.7358677505421851,0.3835421001210204,0.28189429117689535,2.6297904212436682,,,,,,,,0.0,,,,,
做空,14,18,2019-09-11 00:00:00+00:00,2019-09-11 16:00:00+00:00,5,False,10232.813158073068,261.43249610466205,9789.567503895338,9884.31,15,2019-09-11 04:00:00+00:00,2,-0.9677904163484553,10077.6,5.143664374389367,2.566694083856139,1.9555234508023414,0.1610838048825889,0.08057794381718386,0.9260899222837016,0.531430331512606,2.5900099476580074,,,,,-0.41058676120006776,True,-1.0,0.0,0.0,,,,
做空,18,19,2019-09-11 16:00:00+00:00,2019-09-11 20:00:00+00:00,2,False,10120.923934511899,244.37201115534785,9689.737988844652,9934.11,18,2019-09-11 16:00:00+00:00,1,-2.5219671722463772,10159.55,4.474341944585882,2.5221182370640074,2.2693527653710164,45.152764562850166,-0.8583003731044592,0.7741475756801712,0.1772868108220342,2.424902865318606,,,,,-0.9677904163484553,True,-1.0,,,,,,
做多,19,20,2019-09-11 20:00:00+00:00,2019-09-12 00:00:00+00:00,2,False,10116.70026537526,238.1809105975804,10422.84091059758,10205.46,20,2019-09-12 00:00:00+00:00,2,-2.085620537262122,10113.43,3.4417767063184757,1.1836428511113701,0.9017721886127509,71.26503525508119,0.8131896483289491,0.5061278827826595,0.17990415150077071,2.3444041379547365,,,,,-2.5219671722463772,False,-1.0,,,,,,
做空,20,21,2019-09-12 00:00:00+00:00,2019-09-12 04:00:00+00:00,2,False,10118.040005169914,232.25086506770137,9853.629134932298,10042.12,21,2019-09-12 04:00:00+00:00,2,-1.912908051303451,10078.96,3.570571413332558,1.1856179133600633,0.3668548075505802,41.50359591904936,0.4539571142422538,0.5148742932136862,0.01984924865003303,2.2964599059636677,1.4275537174608404,,-1.559133051644157,0.986519468649609,-2.085620537262122,False,-1.0,,,,,,
做空,21,22,2019-09-12 04:00:00+00:00,2019-09-12 08:00:00+00:00,2,False,10117.8581063619,224.9918218143163,9817.128178185685,10042.12,21,2019-09-12 04:00:00+00:00,1,-2.2918293184178093,10170.93,3.1787485723955164,1.4516855006711613,1.2826972790605917,43.654530837257774,0.3408339208359701,0.3869918439607009,0.17288675671955525,2.232292040193793,1.2475499564371617,,-1.762641845388032,0.8651425568732116,-1.912908051303451,True,-1.0,,,,,,
做多,22,30,2019-09-12 08:00:00+00:00,2019-09-13 16:00:00+00:00,9,False,10116.782784662466,219.28973072360043,10407.1897307236,10450.13,25,2019-09-12 20:00:00+00:00,4,0.41260196448262615,10210.25,3.173188336796447,2.5242748176338385,2.295473836210643,82.17214961694545,0.9124949399541338,0.5059516450400667,0.24692088935885095,2.1560440463517145,1.265813816046048,,-1.3890755348864943,1.3070379495393039,-2.2918293184178093,False,-1.0,0.8165508864427228,0.0,0.0,,,
做空,30,31,2019-09-13 16:00:00+00:00,2019-09-13 20:00:00+00:00,2,False,10218.165615685904,185.41091023343077,10000.929089766569,10153.51,31,2019-09-13 20:00:00+00:00,2,-1.525667354141723,10341.34,3.548879379582881,1.9928083982780354,1.8499021520636698,68.33683529982191,0.8383374269295474,0.667382517265096,0.04269228642445431,1.8159291910916067,1.4475201980399377,,-1.2937749979113544,1.7579332283609677,0.41260196448262615,False,-1.0,,,,,,
做多,31,35,2019-09-13 20:00:00+00:00,2019-09-14 12:00:00+00:00,5,False,10217.979396786983,186.25736472175925,10542.10736472176,10396.4,35,2019-09-14 12:00:00+00:00,5,-1.3821464692093468,10358.0,3.686145011406038,1.9538714832679125,0.3693586241391216,64.78699219136111,1.2839058788962188,1.0863463052978655,0.662312619945524,1.8010950681609854,1.2723438734632322,,-0.5840842866133916,2.4537553222807342,-1.525667354141723,False,-1.0,0.38464795127866275,0.0,,,,
做多,35,38,2019-09-14 12:00:00+00:00,2019-09-15 00:00:00+00:00,4,False,10229.477698384386,170.1733186744023,10566.573318674402,10419.97,37,2019-09-14 20:00:00+00:00,3,-1.3874253672693413,10303.39,3.2536879109786208,3.792333375240043,1.1188132019573946,37.93699245522151,0.6419592826612641,1.0203127103151268,0.755243551790394,1.6429167665032083,1.5332132905838007,,-0.5413892184607052,2.78357385100026,-1.3821464692093468,True,-1.0,0.0,,,,,
