信号时间,方向,突破基准价,入场KAMA,出场时间,出场价,实际涨跌幅,盘中最大涨跌幅,持仓K线数,持仓小时,最大回撤1,最大回撤1时间,最大回撤2,最大回撤2时间,最大回撤3,最大回撤3时间,KAMA止损出场,峰值到平仓回撤
2019-09-23 20:00,short,9878.51,9972.14340991178,2019-09-26 04:00,8435.32660184876,0.14609322642293635,0.17628367031060352,14,56.0,0.01193240600362527,2019-09-26 04:00,0.006196503211472373,2019-09-25 08:00,0.005341589209810876,2019-09-24 12:00,True,0.016839490461178646
2019-10-23 04:00,short,8160.0,8185.8721262139115,2019-10-25 12:00,7458.955888254504,0.08591226859626172,0.12098529411764704,14,56.0,0.006607996247726405,2019-10-25 00:00,0.0065377177319581,2019-10-24 00:00,0.0013744800879667242,2019-10-23 16:00,True,0.0068221194784961504
2019-10-25 16:00,long,7495.81,7458.954742951922,2019-10-26 16:00,9046.348312358745,0.20685400408478127,0.3885730828289403,6,24.0,0.03482459084791795,2019-10-26 16:00,0.00784998959539139,2019-10-26 12:00,0.0,2019-10-25 20:00,True,0.054033034124110244
2019-11-21 16:00,short,8037.5,8121.547052779846,2019-11-22 16:00,7668.966019804903,0.0458518171315828,0.1390357698289269,6,24.0,1.53856714425492e-05,2019-11-22 00:00,0.0,2019-11-21 20:00,0.0,,True,0.0
2019-12-19 00:00,long,6868.29,6709.0860678905065,2019-12-24 00:00,7461.2379598165335,0.08633123525892668,0.11978381809737214,30,120.0,0.025756309911177503,2019-12-19 12:00,0.016033110544367162,2019-12-19 08:00,0.0,2019-12-19 04:00,True,0.0
2020-01-06 08:00,long,7495.0,7352.317706151377,2020-01-09 00:00,8141.706797650372,0.0862850964176614,0.12987591727818545,16,64.0,0.04441722413644178,2020-01-09 00:00,0.01655092621894565,2020-01-07 20:00,0.003193633952254632,2020-01-06 20:00,True,0.02322335930522171
2020-02-25 20:00,short,9487.38,9740.64661426037,2020-02-27 20:00,8873.346079474564,0.06472112643590064,0.10049982186862966,12,48.0,0.010327237747402978,2020-02-27 20:00,0.007192113603525536,2020-02-27 12:00,0.0012630957049652532,2020-02-26 16:00,True,0.014407877065709429
2020-03-08 00:00,short,9016.0,9034.31800550849,2020-03-10 04:00,7883.891550540815,0.12556659820975877,0.15314884649511978,13,52.0,0.015677277693259016,2020-03-10 04:00,0.007419564533058656,2020-03-10 00:00,0.0031430303976368555,2020-03-09 08:00,True,0.014282483443483034
2020-03-12 12:00,short,7575.0,7880.554426161416,2020-03-13 20:00,5681.101780749078,0.25001956689781146,0.5218732673267327,8,32.0,0.06127381359318658,2020-03-13 16:00,0.05866147987309049,2020-03-13 12:00,0.03758563746046113,2020-03-13 08:00,True,0.09260734995663254
2020-03-16 12:00,short,5169.6,5469.0271493017835,2020-03-17 08:00,5251.359191714065,-0.015815380631782807,0.1462356855462706,5,20.0,0.13136795020921868,2020-03-17 08:00,0.10205831162793105,2020-03-16 20:00,0.0,2020-03-16 16:00,True,0.13291210260676237
2020-03-19 16:00,long,5448.07,5277.7977263541825,2020-03-21 00:00,6270.536033162732,0.15096465962491892,0.2685226144304314,8,32.0,0.07074526416993396,2020-03-21 00:00,0.00898902469082093,2020-03-20 08:00,0.007727661548721872,2020-03-20 04:00,True,0.05801132195190833
