信号时间,方向,突破线,ATR,ATR%,MFE%,基准R,基准出场价,基准出场原因,基准持仓K,trailingR,trailing出场价,trailing出场原因,trailing持仓K,R差异,持仓K差异
2019-09-10 20:00:00+00:00,做空,10183.3,276.4,2.71,64.4,0.23,10120.9,stop,7,0.38,10079.1,trailing_stop,4,0.15,-3
2019-09-12 20:00:00+00:00,做多,10205.5,219.3,2.15,1136.7,0.06,10218.2,stop,7,0.62,10340.5,trailing_stop,4,0.56,-3
2019-09-14 20:00:00+00:00,做多,10355.8,170.0,1.64,1118.7,-1.0,10185.9,stop,3,-1.0,10185.9,trailing_stop,3,0.0,0
2019-09-16 20:00:00+00:00,做空,10252.3,130.5,1.27,64.7,0.46,10192.2,stop,4,0.81,10146.0,trailing_stop,4,0.35,0
2019-09-19 08:00:00+00:00,做空,10097.9,106.7,1.06,64.1,0.84,10008.8,stop,4,2.47,9834.1,trailing_stop,4,1.64,0
2019-09-20 04:00:00+00:00,做多,10211.9,132.5,1.3,1135.9,0.0,10211.9,stop,4,0.01,10213.0,trailing_stop,4,0.01,0
2019-09-22 08:00:00+00:00,做空,9912.6,122.6,1.24,63.5,-1.0,10035.3,stop,1,-1.0,10035.3,trailing_stop,1,0.0,0
2019-09-23 20:00:00+00:00,做空,9878.5,117.3,1.19,63.3,10.11,8693.1,tp,7,1.85,9662.1,trailing_stop,4,-8.26,-3
2019-09-25 04:00:00+00:00,做空,8645.6,174.0,2.01,58.1,1.21,8435.3,stop,6,2.06,8287.0,trailing_stop,4,0.85,-2
2019-09-26 20:00:00+00:00,做空,8223.7,200.8,2.44,56.0,0.1,8202.8,stop,8,2.1,7801.1,trailing_stop,4,2.0,-4
2019-09-29 20:00:00+00:00,做空,8001.1,183.4,2.29,54.7,0.0,8001.1,stop,5,1.09,7800.7,trailing_stop,5,1.09,0
2019-09-30 20:00:00+00:00,做多,8127.1,188.8,2.32,1452.9,0.5,8220.9,stop,9,1.47,8404.6,trailing_stop,4,0.97,-5
2019-10-02 12:00:00+00:00,做空,8201.0,185.7,2.26,55.8,0.0,8201.0,stop,4,0.0,8201.0,trailing_stop,4,0.0,0
2019-10-03 20:00:00+00:00,做空,8177.3,158.9,1.94,55.7,0.0,8177.3,stop,6,0.3,8129.5,trailing_stop,4,0.3,-2
2019-10-05 16:00:00+00:00,做空,8080.8,136.4,1.69,55.2,0.0,8080.8,stop,4,0.02,8078.2,trailing_stop,4,0.02,0
2019-10-06 12:00:00+00:00,做空,8009.0,126.2,1.58,54.8,0.14,7991.2,stop,7,1.47,7823.1,trailing_stop,4,1.33,-3
2019-10-09 20:00:00+00:00,做多,8242.5,128.3,1.56,1431.2,1.42,8425.0,stop,6,2.79,8600.9,trailing_stop,4,1.37,-2
2019-10-11 12:00:00+00:00,做空,8419.3,134.5,1.6,57.0,0.38,8368.6,stop,8,0.62,8335.7,trailing_stop,4,0.24,-4
2019-10-13 20:00:00+00:00,做多,8397.4,116.3,1.39,1402.9,-1.0,8281.1,stop,2,-1.0,8281.1,trailing_stop,2,0.0,0
2019-10-16 00:00:00+00:00,做空,8205.0,107.7,1.31,55.9,1.61,8031.1,stop,10,2.33,7954.1,trailing_stop,6,0.71,-4
2019-10-18 12:00:00+00:00,做空,7930.0,97.7,1.23,54.3,0.0,7930.0,stop,4,0.71,7860.9,trailing_stop,4,0.71,0
2019-10-21 00:00:00+00:00,做多,8041.2,97.6,1.21,1469.5,1.49,8186.3,stop,11,2.16,8251.7,trailing_stop,4,0.67,-7
2019-10-23 04:00:00+00:00,做空,8160.0,92.7,1.14,55.6,10.57,7180.8,tp,5,2.12,7963.4,trailing_stop,4,-8.45,-1
2019-10-25 16:00:00+00:00,做多,7495.8,111.3,1.48,1583.7,12.13,8845.1,tp,4,11.22,8744.4,trailing_stop,4,-0.9,0
2019-10-28 00:00:00+00:00,做多,9666.0,303.5,3.14,1205.7,-1.0,9362.5,stop,3,-1.0,9362.5,trailing_stop,3,0.0,0
2019-10-29 04:00:00+00:00,做空,9254.5,300.3,3.24,60.9,-1.0,9554.7,stop,2,-1.0,9554.7,trailing_stop,2,0.0,0
2019-11-02 20:00:00+00:00,做多,9270.0,190.3,2.05,1261.5,0.0,9270.0,stop,4,0.01,9271.5,trailing_stop,4,0.01,0
2019-11-03 16:00:00+00:00,做空,9200.0,168.5,1.83,60.6,0.0,9200.0,stop,4,0.25,9157.3,trailing_stop,4,0.25,0
2019-11-04 16:00:00+00:00,做多,9250.4,150.6,1.63,1264.4,0.13,9269.9,stop,5,1.49,9474.7,trailing_stop,4,1.36,-1
2019-11-07 16:00:00+00:00,做空,9220.0,131.6,1.43,60.7,0.0,9220.0,stop,4,0.48,9157.0,trailing_stop,4,0.48,0
2019-11-08 16:00:00+00:00,做空,9091.2,126.5,1.39,60.2,1.74,8870.8,stop,7,2.83,8733.1,trailing_stop,4,1.09,-3
2019-11-11 00:00:00+00:00,做多,8889.0,118.0,1.33,1319.8,-1.0,8771.0,stop,3,-1.0,8771.0,trailing_stop,3,0.0,0
2019-11-14 12:00:00+00:00,做空,8712.0,107.2,1.23,58.4,0.42,8666.7,stop,7,0.72,8635.0,trailing_stop,4,0.3,-3
2019-11-15 20:00:00+00:00,做空,8515.0,105.0,1.23,57.5,0.0,8515.0,stop,5,0.3,8483.4,trailing_stop,4,0.3,-1
