信号时间,方向,突破线,ATR,ATR%,初始止损,止盈价,加仓,加仓价,加仓K,出场时间,出场价,出场原因,持仓K线,持仓小时,主仓R,加仓R,总R,累计R
2019-09-10 20:00:00+00:00,做空,10183.3,276.4,2.71,10459.7,8961.3,否,,,2019-09-11 12:00:00+00:00,10079.1,trailing_stop,4,16,0.38,,0.38,0.4
2019-09-12 20:00:00+00:00,做多,10205.5,219.3,2.15,9986.2,12042.4,否,,,2019-09-13 12:00:00+00:00,10340.5,trailing_stop,4,16,0.62,,0.62,1.0
2019-09-14 00:00:00+00:00,做空,10239.4,188.7,1.84,10428.1,9010.7,否,,,2019-09-14 16:00:00+00:00,10229.1,trailing_stop,4,16,0.05,,0.05,1.0
2019-09-14 20:00:00+00:00,做多,10355.9,170.0,1.64,10185.9,12219.9,否,,,2019-09-15 08:00:00+00:00,10185.9,trailing_stop,3,12,-1.0,,-1.0,0.1
2019-09-16 20:00:00+00:00,做空,10252.3,130.5,1.27,10382.8,9022.0,否,,,2019-09-17 12:00:00+00:00,10146.0,trailing_stop,4,16,0.81,,0.81,0.9
2019-09-19 08:00:00+00:00,做空,10097.9,106.7,1.06,10204.7,8886.2,是,9856.5,2,2019-09-20 00:00:00+00:00,9834.1,trailing_stop,4,16,2.47,0.21,2.68,3.5
2019-09-20 04:00:00+00:00,做多,10211.9,132.5,1.3,10079.4,12050.0,否,,,2019-09-20 20:00:00+00:00,10213.0,trailing_stop,4,16,0.01,,0.01,3.6
2019-09-22 08:00:00+00:00,做空,9912.6,122.6,1.24,10035.3,8723.1,否,,,2019-09-22 12:00:00+00:00,10035.3,trailing_stop,1,4,-1.0,,-1.0,2.6
2019-09-23 20:00:00+00:00,做空,9878.5,117.3,1.19,9995.8,8693.1,否,,,2019-09-24 12:00:00+00:00,9662.1,trailing_stop,4,16,1.85,,1.85,4.4
2019-09-24 20:00:00+00:00,做空,9603.5,126.9,1.32,9730.4,8451.1,是,8645.6,1,2019-09-25 04:00:00+00:00,8451.1,take_profit,2,8,9.08,1.53,10.61,15.0
2019-09-26 20:00:00+00:00,做空,8223.7,200.8,2.44,8424.6,7236.9,是,8020.0,3,2019-09-27 12:00:00+00:00,7801.1,trailing_stop,4,16,2.1,1.09,3.19,18.2
2019-09-28 04:00:00+00:00,做多,8157.0,214.9,2.63,7942.1,9625.3,否,,,2019-09-28 20:00:00+00:00,8201.5,trailing_stop,4,16,0.21,,0.21,18.4
2019-09-29 20:00:00+00:00,做空,8001.1,183.4,2.29,8184.5,7041.0,是,7792.8,4,2019-09-30 16:00:00+00:00,7800.7,trailing_stop,5,20,1.09,-0.04,1.05,19.5
