序号,方向,基准线K时间,确认K时间,基准线,ATR,触发线,6K极值,状态,波段涨跌幅%_基准线,波段涨跌幅%_极值基准,峰值价,峰值K时间,未成交错过%,年份,成交时间,入场价,初始止损,保护线,止盈目标,出场时间,出场价,出场原因,平仓细节,保护性平仓第几K,持仓K数,R值,1m消歧
1,做多,2026-08-22 04:00,2026-08-22 12:00,78748.8,1158.25,79907.05,79555.5,跌破KAMA撤单,0.0,-1.014,78748.8,2026-08-22 04:00,0.0,2026,,,,,,,,,,,,,
2,做多,2026-08-21 16:00,2026-08-22 00:00,79555.5,1181.3,80736.8,79555.5,被新基准线替换,0.0,0.0,79555.5,2026-08-21 16:00,0.0,2026,,,,,,,,,,,,,
3,做多,2026-08-20 04:00,2026-08-20 12:00,70048.2,752.29,70800.49,70450.0,成交,3.482,2.892,72487.5,2026-08-20 16:00,,2026,2026-08-20 16:00,70800.49,70048.2,71176.63,85458.8,2026-08-22 16:00,77286.7,KAMA跟踪,跳空按开盘价,,12.0,8.622,是
4,做多,2026-08-19 20:00,2026-08-20 04:00,70450.0,677.0,71127.0,70450.0,被新基准线替换,0.0,0.0,70450.0,2026-08-19 20:00,0.0,2026,,,,,,,,,,,,,
5,做多,2026-08-18 20:00,2026-08-19 04:00,65057.9,425.81,65483.71,65057.9,跌破KAMA撤单,0.0,0.0,65057.9,2026-08-18 20:00,0.0,2026,,,,,,,,,,,,,
6,做多,2026-08-18 08:00,2026-08-18 16:00,64541.6,396.33,64937.93,64600.8,成交,0.8,0.708,65057.9,2026-08-18 20:00,,2026,2026-08-18 20:00,64937.93,64541.6,65136.1,78740.75,2026-08-18 20:00,64823.9,保护性平仓,第0K(成交当根),0,0.0,-0.2877,是
7,做多,2026-08-18 04:00,2026-08-18 12:00,64555.4,388.69,64944.09,64600.8,被新基准线替换,0.0,-0.07,64555.4,2026-08-18 04:00,0.0,2026,,,,,,,,,,,,,
8,做多,2026-08-18 00:00,2026-08-18 08:00,64600.8,392.09,64992.89,64600.8,被新基准线替换,0.0,0.0,64600.8,2026-08-18 00:00,0.0,2026,,,,,,,,,,,,,
9,做空,2026-08-12 00:00,2026-08-12 08:00,63211.6,457.85,62753.75,64470.0,跌破KAMA撤单,0.0,1.952,63211.6,2026-08-12 00:00,0.0,2026,,,,,,,,,,,,,
10,做空,2026-08-11 00:00,2026-08-11 08:00,63788.0,453.67,63334.33,65373.6,成交,0.904,3.307,63211.6,2026-08-12 00:00,,2026,2026-08-12 00:00,63334.33,63788.0,63107.49,56133.44,2026-08-12 00:00,63508.5,保护性平仓,第0K(成交当根),0,0.0,-0.3839,否
11,做多,2026-08-10 08:00,2026-08-10 16:00,65373.6,417.51,65791.11,65482.7,跌破KAMA撤单,0.0,-0.167,65373.6,2026-08-10 08:00,0.0,2026,,,,,,,,,,,,,
12,做多,2026-08-10 04:00,2026-08-10 12:00,65482.7,409.0,65891.7,65482.7,被新基准线替换,0.0,0.0,65482.7,2026-08-10 04:00,0.0,2026,,,,,,,,,,,,,
13,做多,2026-08-09 08:00,2026-08-09 16:00,64982.4,439.1,65421.5,65163.0,成交,0.77,0.491,65482.7,2026-08-10 04:00,,2026,2026-08-10 04:00,65421.5,64982.4,65641.05,79278.53,2026-08-10 04:00,64982.4,ATR止损,成交当根(1m消歧),,0.0,-1.0,是
14,做多,2026-08-09 04:00,2026-08-09 12:00,65059.1,447.35,65506.45,65163.0,被新基准线替换,0.0,-0.159,65059.1,2026-08-09 04:00,0.0,2026,,,,,,,,,,,,,
15,做多,2026-08-09 00:00,2026-08-09 08:00,65123.1,462.93,65586.03,65163.0,被新基准线替换,0.0,-0.061,65123.1,2026-08-09 00:00,0.0,2026,,,,,,,,,,,,,
16,做多,2026-08-08 20:00,2026-08-09 04:00,65163.0,480.09,65643.09,65163.0,被新基准线替换,0.0,0.0,65163.0,2026-08-08 20:00,0.0,2026,,,,,,,,,,,,,
17,做多,2026-08-08 08:00,2026-08-08 16:00,65046.1,531.81,65577.91,65358.0,被新基准线替换,0.18,-0.298,65163.0,2026-08-08 20:00,0.0,2026,,,,,,,,,,,,,
18,做多,2026-08-08 04:00,2026-08-08 12:00,65078.7,546.02,65624.72,65358.0,被新基准线替换,0.0,-0.427,65078.7,2026-08-08 04:00,0.0,2026,,,,,,,,,,,,,
19,做多,2026-08-07 20:00,2026-08-08 04:00,65358.0,560.95,65918.95,65358.0,被新基准线替换,0.0,0.0,65358.0,2026-08-07 20:00,0.0,2026,,,,,,,,,,,,,
20,做多,2026-08-06 04:00,2026-08-06 12:00,65022.0,585.87,65607.87,65022.0,跌破KAMA撤单,0.0,0.0,65022.0,2026-08-06 04:00,0.0,2026,,,,,,,,,,,,,
21,做空,2026-08-01 08:00,2026-08-01 16:00,62859.8,636.31,62223.49,63982.2,跌破KAMA撤单,1.004,2.74,62228.8,2026-08-02 00:00,0.0,2026,,,,,,,,,,,,,
22,做空,2026-08-01 04:00,2026-08-01 12:00,62814.1,657.97,62156.13,64476.8,被新基准线替换,0.0,2.579,62814.1,2026-08-01 04:00,0.0,2026,,,,,,,,,,,,,
23,做空,2026-08-01 00:00,2026-08-01 08:00,62680.1,680.86,61999.24,65391.3,被新基准线替换,0.0,4.146,62680.1,2026-08-01 00:00,0.0,2026,,,,,,,,,,,,,
24,做空,2026-07-31 20:00,2026-08-01 04:00,62410.5,685.35,61725.15,65391.3,被新基准线替换,0.0,4.558,62410.5,2026-07-31 20:00,0.0,2026,,,,,,,,,,,,,
25,做多,2026-07-30 20:00,2026-07-31 04:00,65157.0,659.27,65816.27,65157.0,跌破KAMA撤单,0.36,0.36,65391.3,2026-07-31 08:00,0.0,2026,,,,,,,,,,,,,
26,做空,2026-07-29 00:00,2026-07-29 08:00,63477.2,605.06,62872.14,64084.5,跌破KAMA撤单,0.0,0.948,63477.2,2026-07-29 00:00,0.0,2026,,,,,,,,,,,,,
27,做空,2026-07-28 20:00,2026-07-29 04:00,62660.1,604.94,62055.16,65030.8,被新基准线替换,0.0,3.646,62660.1,2026-07-28 20:00,0.0,2026,,,,,,,,,,,,,
28,做空,2026-07-28 08:00,2026-07-28 16:00,63021.0,585.73,62435.27,65689.6,被新基准线替换,0.573,4.612,62660.1,2026-07-28 20:00,0.0,2026,,,,,,,,,,,,,
29,做空,2026-07-26 04:00,2026-07-26 12:00,64233.0,510.08,63722.92,64553.9,跌破KAMA撤单,0.0,0.497,64233.0,2026-07-26 04:00,0.0,2026,,,,,,,,,,,,,
30,做空,2026-07-26 00:00,2026-07-26 08:00,64092.2,527.76,63564.44,64417.1,被新基准线替换,0.0,0.504,64092.2,2026-07-26 00:00,0.0,2026,,,,,,,,,,,,,
31,做空,2026-07-25 20:00,2026-07-26 04:00,64006.2,538.44,63467.76,64417.1,被新基准线替换,0.0,0.638,64006.2,2026-07-25 20:00,0.0,2026,,,,,,,,,,,,,
32,做空,2026-07-25 16:00,2026-07-26 00:00,63760.5,554.29,63206.21,64266.9,被新基准线替换,0.0,0.788,63760.5,2026-07-25 16:00,0.0,2026,,,,,,,,,,,,,
33,做空,2026-07-25 00:00,2026-07-25 08:00,63854.3,628.19,63226.11,65780.0,被新基准线替换,0.147,3.07,63760.5,2026-07-25 16:00,0.0,2026,,,,,,,,,,,,,
34,做空,2026-07-24 20:00,2026-07-25 04:00,63666.0,639.54,63026.46,65780.0,被新基准线替换,0.0,3.214,63666.0,2026-07-24 20:00,0.0,2026,,,,,,,,,,,,,
35,做多,2026-07-22 08:00,2026-07-22 16:00,66711.0,633.16,67344.16,66924.1,跌破KAMA撤单,0.0,-0.318,66711.0,2026-07-22 08:00,0.0,2026,,,,,,,,,,,,,
36,做多,2026-07-22 00:00,2026-07-22 08:00,66736.7,650.41,67387.11,66924.1,被新基准线替换,0.0,-0.28,66736.7,2026-07-22 00:00,0.0,2026,,,,,,,,,,,,,
37,做多,2026-07-21 20:00,2026-07-22 04:00,66924.1,642.65,67566.75,66924.1,被新基准线替换,0.0,0.0,66924.1,2026-07-21 20:00,0.0,2026,,,,,,,,,,,,,
38,做多,2026-07-21 00:00,2026-07-21 08:00,65788.0,672.53,66460.53,65788.0,成交,1.727,1.727,66924.1,2026-07-21 20:00,,2026,2026-07-21 20:00,66460.53,65788.0,66796.8,80261.36,2026-07-21 20:00,66648.5,保护性平仓,第0K(成交当根),0,0.0,0.2795,否
39,做多,2026-07-19 08:00,2026-07-19 16:00,64948.8,594.72,65543.52,64948.8,跌破KAMA撤单,0.0,0.0,64948.8,2026-07-19 08:00,0.0,2026,,,,,,,,,,,,,
40,做多,2026-07-15 20:00,2026-07-16 04:00,65589.7,709.13,66298.83,65589.7,跌破KAMA撤单,0.0,0.0,65589.7,2026-07-15 20:00,0.0,2026,,,,,,,,,,,,,
41,做空,2026-07-14 08:00,2026-07-14 16:00,62240.9,657.81,61583.09,63260.0,跌破KAMA撤单,0.0,1.611,62240.9,2026-07-14 08:00,0.0,2026,,,,,,,,,,,,,
