序号,方向,基准线K时间,确认K时间,基准线,ATR,触发线,6K极值,状态,波段涨跌幅%_基准线,波段涨跌幅%_极值基准,峰值价,峰值K时间,未成交错过%,年份,成交时间,入场价,初始止损,保护线,止盈目标,出场时间,出场价,出场原因,平仓细节,保护性平仓第几K,持仓K数,R值,1m消歧
1,做多,2026-08-21 16:00,2026-08-22 00:00,79555.5,1181.3,80736.8,79555.5,3ATR区间撤单,0.0,0.0,79555.5,2026-08-21 16:00,0.0,2026,,,,,,,,,,,,,
2,做多,2026-08-19 20:00,2026-08-20 04:00,70450.0,677.0,71127.0,70450.0,3ATR区间撤单,0.0,0.0,70450.0,2026-08-19 20:00,0.0,2026,,,,,,,,,,,,,
3,做多,2026-08-18 20:00,2026-08-19 04:00,65057.9,425.81,65483.71,65057.9,成交,8.288,8.288,70450.0,2026-08-19 20:00,,2026,2026-08-19 20:00,65483.71,65057.9,65696.61,79370.64,2026-08-21 16:00,79370.64,固定止盈,,,11.0,32.613,是
4,做多,2026-08-18 00:00,2026-08-18 08:00,64600.8,392.09,64992.89,64600.8,成交,0.708,0.708,65057.9,2026-08-18 20:00,,2026,2026-08-18 20:00,64992.89,64600.8,65188.93,78812.98,2026-08-18 20:00,64823.9,保护性平仓,第0K(成交当根),0,0.0,-0.431,是
5,做空,2026-08-14 20:00,2026-08-15 04:00,62484.2,462.52,62021.68,63613.6,3ATR区间撤单,0.0,1.775,62484.2,2026-08-14 20:00,0.0,2026,,,,,,,,,,,,,
6,做空,2026-08-14 00:00,2026-08-14 08:00,62800.0,476.46,62323.54,63990.7,被新基准线替换,0.503,2.354,62484.2,2026-08-14 20:00,0.0,2026,,,,,,,,,,,,,
7,做空,2026-08-12 00:00,2026-08-12 08:00,63211.6,457.85,62753.75,64470.0,3ATR区间撤单,0.651,2.59,62800.0,2026-08-14 00:00,0.0,2026,,,,,,,,,,,,,
8,做多,2026-08-11 20:00,2026-08-12 04:00,64470.0,459.53,64929.53,64470.0,3ATR区间撤单,0.0,0.0,64470.0,2026-08-11 20:00,0.0,2026,,,,,,,,,,,,,
9,做空,2026-08-11 00:00,2026-08-11 08:00,63788.0,453.67,63334.33,65373.6,成交,0.904,3.307,63211.6,2026-08-12 00:00,,2026,2026-08-12 00:00,63334.33,63788.0,63107.49,56133.44,2026-08-12 00:00,63508.5,保护性平仓,第0K(成交当根),0,0.0,-0.3839,否
10,做多,2026-08-10 04:00,2026-08-10 12:00,65482.7,409.0,65891.7,65482.7,3ATR区间撤单,0.0,0.0,65482.7,2026-08-10 04:00,0.0,2026,,,,,,,,,,,,,
11,做空,2026-08-09 08:00,2026-08-09 16:00,64700.0,439.1,64260.9,65163.0,成交,0.816,1.521,64171.8,2026-08-10 20:00,,2026,2026-08-10 20:00,64260.9,64700.0,64041.35,56936.0,2026-08-10 20:00,64268.8,保护性平仓,第0K(成交当根),0,0.0,-0.018,是
12,做多,2026-08-07 20:00,2026-08-08 04:00,65358.0,560.95,65918.95,65358.0,收盘破线3根撤单,0.191,0.191,65482.7,2026-08-10 04:00,0.0,2026,,,,,,,,,,,,,
13,做多,2026-08-06 04:00,2026-08-06 12:00,65022.0,585.87,65607.87,65022.0,被新基准线替换,0.517,0.517,65358.0,2026-08-07 20:00,0.0,2026,,,,,,,,,,,,,
14,做空,2026-08-05 20:00,2026-08-06 04:00,63847.0,593.51,63253.49,64898.0,3ATR区间撤单,0.0,1.619,63847.0,2026-08-05 20:00,0.0,2026,,,,,,,,,,,,,
15,做多,2026-08-05 04:00,2026-08-05 12:00,64512.9,599.12,65112.02,64512.9,被新基准线替换,0.789,0.789,65022.0,2026-08-06 04:00,0.0,2026,,,,,,,,,,,,,
16,做多,2026-08-04 12:00,2026-08-04 20:00,64239.8,607.65,64847.45,64239.8,被新基准线替换,0.425,0.425,64512.9,2026-08-05 04:00,0.0,2026,,,,,,,,,,,,,
17,做多,2026-08-04 00:00,2026-08-04 08:00,64058.8,593.67,64652.47,64058.8,被新基准线替换,0.283,0.283,64239.8,2026-08-04 12:00,0.0,2026,,,,,,,,,,,,,
18,做多,2026-08-03 04:00,2026-08-03 12:00,63779.0,540.78,64319.78,63779.0,3ATR区间撤单,0.439,0.439,64058.8,2026-08-04 00:00,0.0,2026,,,,,,,,,,,,,
