方向,突破K时间,突破K索引,年份,入场原因,入场价格(6K突破线),突破K开盘,突破K收盘,突破幅度%,突破幅度R,突破结构级别(根),前高压力%(60根),量比,突破K实体效率,6K区间紧致度,入场时KAMA线,入场距KAMA线%,ATR值,ATR%,日线EMA70(昨收),日线EMA70偏离度%,入场时资金费率%(已结算),入场时持仓量OI(BTC),入场时OI较7日前%,存活至第3K,前3K已走出幅度%(t=3),波峰K时间,波峰价格,到峰K数,涨跌幅%(突破线→波峰),峰值R,MAE%(最大逆向偏移),MAE R,出场原因,出场价格(终结KAMA线),KAMA终结K时间,终结K开盘,终结K收盘,终结K幅度%(负=逆向),是否跳空越线出场,终结K距波峰K数,段内再突破次数,盈亏%(突破线→KAMA线),持仓资金费合计%(多头口径),持仓期间OI变化%,R值(盈亏/ATR),回吐%(涨跌幅-盈亏),捕获率%(盈亏/涨跌幅),突破至终结K数,持仓天数,是否未终结,大波段组ID,组内角色,组类型,大波段终点价格,大波段延伸涨幅%
做多,2026-08-24 16:00,15250,2026,6K收盘突破,78057.6,77301.8,78429.4,0.476,0.336,10,1.919,1.092,0.629,1.889,77345.47,0.912,1106.64,1.418,66391.99,18.13,0.01,,,True,2.456,2026-08-25 08:00,81270.5,4,4.116,2.903,-1.607,-1.134,收盘跌破KAMA线,78451.08,2026-08-26 16:00,78887.1,78442.6,-0.563,False,8,2,0.504,0.0,,0.356,3.612,12.2,12,2.0,False,多272,终点段,延伸组,81270.5,24.11
做空,2026-08-23 12:00,15243,2026,6K收盘突破,76510.0,76941.2,76020.3,0.64,0.427,10,18.332,0.897,0.631,2.01,77419.87,1.189,1147.05,1.499,66063.67,15.07,0.01,,,True,1.205,2026-08-23 12:00,75588.0,0,1.205,0.804,-2.023,-1.349,收盘涨破KAMA线,77343.38,2026-08-24 04:00,77305.0,77719.1,-0.536,False,4,0,-1.089,0.01,,-0.726,2.294,-90.4,4,0.67,False,空278,独立段,失败组,75588.0,-20.591
做多,2026-08-19 20:00,15221,2026,6K收盘突破,65057.9,64479.1,68523.7,5.327,8.745,120,0.653,11.319,0.673,2.722,64316.36,1.14,396.31,0.609,65038.88,5.36,0.0038,110174.0,0.03,True,8.288,2026-08-21 16:00,79555.5,11,22.284,36.581,-0.95,-1.559,收盘跌破KAMA线,77682.71,2026-08-22 12:00,78395.0,77286.7,-1.414,False,5,4,19.405,0.0799,-4.17,31.855,2.879,87.1,16,2.67,False,多272,延续子集段,延伸组,81270.5,24.11
做多,2026-08-17 08:00,15206,2026,6K收盘突破,63370.0,62876.0,63409.8,0.063,0.12,10,3.334,1.934,0.69,2.085,63244.33,0.198,330.47,0.521,65064.67,-2.54,0.0038,110619.0,3.8,True,1.31,2026-08-18 20:00,65057.9,9,2.664,5.108,-1.02,-1.955,收盘跌破KAMA线,64315.38,2026-08-19 08:00,64694.1,64296.3,-0.615,False,3,3,1.492,0.0318,-4.51,2.861,1.172,56.0,12,2.0,False,多272,延续子集段,延伸组,81270.5,24.11
做空,2026-08-17 04:00,15205,2026,6K收盘突破,62928.5,63082.3,62876.0,0.083,0.162,10,0.706,1.163,0.473,1.359,63261.12,0.529,324.91,0.516,65064.67,-3.36,0.005,110968.0,3.67,False,,2026-08-17 04:00,62681.1,0,0.393,0.761,-0.905,-1.753,收盘涨破KAMA线,63244.33,2026-08-17 08:00,62876.0,63409.8,-0.849,False,1,0,-0.502,0.0038,-0.31,-0.972,0.895,-127.7,1,0.17,False,空277,终点段,失败组,62681.1,-0.663
做空,2026-08-10 20:00,15167,2026,6K收盘突破,64794.4,65097.5,64268.8,0.811,1.259,10,3.96,3.793,0.79,1.649,64730.54,-0.099,417.42,0.644,65451.14,-1.81,0.0051,105093.0,-3.24,True,1.553,2026-08-12 00:00,63211.6,7,2.443,3.792,-0.659,-1.022,收盘涨破KAMA线,64089.11,2026-08-12 16:00,63804.8,64207.3,-0.631,False,4,2,1.089,0.0311,2.63,1.69,1.354,44.6,11,1.83,False,空277,延续子集段,失败组,62681.1,-0.663
做空,2026-08-09 08:00,15158,2026,6K收盘突破,64784.3,64928.6,64759.0,0.039,0.057,6,3.945,0.411,0.601,0.847,64663.17,-0.187,447.35,0.691,65468.05,-1.08,0.0044,106936.0,-1.87,False,,2026-08-09 08:00,64700.0,0,0.13,0.188,-0.306,-0.443,收盘涨破KAMA线,64668.96,2026-08-09 12:00,64758.9,64793.6,-0.054,True,1,0,0.178,0.0,-0.37,0.258,-0.048,136.9,1,0.17,False,空277,延续子集段,失败组,62681.1,-0.663
做多,2026-08-06 00:00,15138,2026,6K收盘突破,64728.5,64353.6,64805.7,0.119,0.13,20,1.536,0.963,0.829,1.485,63772.9,1.476,593.51,0.917,65561.99,-1.15,0.0027,108556.0,5.59,True,0.453,2026-08-10 04:00,65482.7,25,1.165,1.271,-0.954,-1.04,收盘跌破KAMA线,64730.54,2026-08-10 20:00,65097.5,64268.8,-1.273,False,4,2,0.003,0.0822,-3.19,0.003,1.162,0.3,29,4.83,False,多271,终点段,延伸组,65482.7,0.14
做空,2026-08-03 12:00,15123,2026,6K收盘突破,62745.0,62839.8,62591.0,0.245,0.277,6,0.823,1.049,0.545,1.862,63209.06,0.74,555.27,0.885,65666.17,-4.68,0.0064,110489.0,5.99,False,,2026-08-03 16:00,62268.2,1,0.76,0.859,-1.936,-2.188,收盘涨破KAMA线,63194.83,2026-08-03 20:00,62534.1,63659.5,-1.8,False,1,0,-0.717,0.0025,-1.7,-0.81,1.477,-94.3,2,0.33,False,空276,独立段,失败组,62268.2,-0.063
做多,2026-08-02 08:00,15116,2026,6K收盘突破,63126.6,62792.3,63436.7,0.491,0.546,6,5.002,1.031,0.848,1.581,63165.51,-0.062,567.76,0.899,65727.51,-3.49,0.0045,108974.0,1.53,False,,2026-08-02 12:00,63620.0,1,0.782,0.869,-0.545,-0.606,收盘跌破KAMA线,63195.83,2026-08-02 16:00,63468.0,63007.3,-0.726,False,1,0,0.11,0.0089,0.04,0.122,0.672,14.1,2,0.33,False,多271,延续子集段,延伸组,65482.7,0.14
做空,2026-07-31 16:00,15106,2026,6K收盘突破,63835.6,63909.1,63779.4,0.088,0.085,6,1.841,0.833,0.32,2.355,64409.73,0.899,660.67,1.035,65898.17,-3.22,0.0094,105496.0,1.13,True,2.232,2026-08-02 00:00,62228.8,8,2.517,2.432,-0.23,-0.222,收盘涨破KAMA线,63165.51,2026-08-02 08:00,62792.3,63436.7,-1.026,False,2,2,1.05,0.021,3.3,1.015,1.467,41.7,10,1.67,False,空275,终点段,延伸组,62228.8,2.365
做多,2026-07-30 16:00,15100,2026,6K收盘突破,64715.9,63981.9,64766.8,0.079,0.078,10,3.412,0.882,0.853,2.281,64351.99,0.562,649.62,1.004,65931.45,-1.77,0.0073,106526.0,4.28,True,0.682,2026-07-31 08:00,65391.3,4,1.044,1.04,-1.183,-1.179,收盘跌破KAMA线,64412.84,2026-07-31 08:00,64750.0,64344.0,-0.627,False,0,0,-0.468,0.019,-1.11,-0.466,1.512,-44.8,4,0.67,False,多270,终点段,失败组,65391.3,-0.504
