方向,突破K时间,突破K索引,突破线(起点),突破K收盘,波峰K时间,波峰K索引,波峰价格,涨跌幅%(突破线→波峰),KAMA终结K时间,KAMA终结K索引,终结时KAMA线(出场),终结K收盘,盈亏%(突破线→KAMA线),突破至终结K数,年份,是否未终结
做多,2026-08-24 16:00,15250,78057.6,78429.4,2026-08-25 08:00,15254,81270.5,4.116,2026-08-26 16:00,15262,78451.08,78442.6,0.504,12,2026,False
做空,2026-08-23 12:00,15243,76510.0,76020.3,2026-08-23 12:00,15243,75588.0,1.205,2026-08-24 04:00,15247,77343.38,77719.1,-1.089,4,2026,False
做多,2026-08-19 20:00,15221,65057.9,68523.7,2026-08-21 16:00,15232,79555.5,22.284,2026-08-22 12:00,15237,77682.71,77286.7,19.405,16,2026,False
做多,2026-08-17 08:00,15206,63370.0,63409.8,2026-08-18 20:00,15215,65057.9,2.664,2026-08-19 08:00,15218,64315.38,64296.3,1.492,12,2026,False
做空,2026-08-17 04:00,15205,62928.5,62876.0,2026-08-17 04:00,15205,62681.1,0.393,2026-08-17 08:00,15206,63244.33,63409.8,-0.502,1,2026,False
做空,2026-08-10 20:00,15167,64794.4,64268.8,2026-08-12 00:00,15174,63211.6,2.443,2026-08-12 16:00,15178,64089.11,64207.3,1.089,11,2026,False
做空,2026-08-09 08:00,15158,64784.3,64759.0,2026-08-09 08:00,15158,64700.0,0.13,2026-08-09 12:00,15159,64668.96,64793.6,0.178,1,2026,False
做多,2026-08-06 00:00,15138,64728.5,64805.7,2026-08-10 04:00,15163,65482.7,1.165,2026-08-10 20:00,15167,64730.54,64268.8,0.003,29,2026,False
做空,2026-08-03 12:00,15123,62745.0,62591.0,2026-08-03 16:00,15124,62268.2,0.76,2026-08-03 20:00,15125,63194.83,63659.5,-0.717,2,2026,False
做多,2026-08-02 08:00,15116,63126.6,63436.7,2026-08-02 12:00,15117,63620.0,0.782,2026-08-02 16:00,15118,63195.83,63007.3,0.11,2,2026,False
做空,2026-07-31 16:00,15106,63835.6,63779.4,2026-08-02 00:00,15114,62228.8,2.517,2026-08-02 08:00,15116,63165.51,63436.7,1.05,10,2026,False
做多,2026-07-30 16:00,15100,64715.9,64766.8,2026-07-31 08:00,15104,65391.3,1.044,2026-07-31 08:00,15104,64412.84,64344.0,-0.468,4,2026,False
做多,2026-07-29 12:00,15093,64175.0,64539.0,2026-07-29 16:00,15094,64715.9,0.843,2026-07-29 20:00,15095,64393.29,63940.2,0.34,2,2026,False
做空,2026-07-28 04:00,15085,64374.4,63720.8,2026-07-28 20:00,15089,62660.1,2.663,2026-07-29 12:00,15093,64390.63,64539.0,-0.025,8,2026,False
做多,2026-07-26 20:00,15077,64566.0,64733.6,2026-07-27 12:00,15081,65722.5,1.791,2026-07-27 20:00,15083,64938.45,64517.1,0.577,6,2026,False
做多,2026-07-26 08:00,15074,64417.1,64518.8,2026-07-26 12:00,15075,64566.0,0.231,2026-07-26 12:00,15075,64572.39,64341.2,0.241,1,2026,False
做多,2026-07-26 00:00,15072,64266.9,64359.6,2026-07-26 00:00,15072,64417.1,0.234,2026-07-26 04:00,15073,64614.9,64338.1,0.541,1,2026,False
做空,2026-07-24 20:00,15065,64636.0,64065.1,2026-07-24 20:00,15065,63666.0,1.501,2026-07-26 20:00,15077,64558.3,64733.6,0.12,12,2026,False
做空,2026-07-23 12:00,15057,65505.0,65405.3,2026-07-24 00:00,15060,64636.0,1.327,2026-07-24 08:00,15062,65346.98,65425.4,0.241,5,2026,False
做多,2026-07-20 20:00,15041,65084.6,65570.1,2026-07-21 20:00,15047,66924.1,2.826,2026-07-23 08:00,15056,65644.18,65626.8,0.86,15,2026,False
做空,2026-07-20 12:00,15039,64259.5,64250.0,2026-07-20 12:00,15039,63736.1,0.815,2026-07-20 16:00,15040,64474.81,64970.8,-0.335,1,2026,False
做多,2026-07-19 00:00,15030,64356.7,64526.3,2026-07-20 08:00,15038,65084.6,1.131,2026-07-20 12:00,15039,64477.39,64250.0,0.188,9,2026,False
做空,2026-07-17 04:00,15019,63833.0,63801.0,2026-07-17 20:00,15023,62505.1,2.08,2026-07-18 00:00,15024,63824.06,64121.4,0.014,5,2026,False
做空,2026-07-16 12:00,15015,64362.2,64200.0,2026-07-16 20:00,15017,63833.0,0.822,2026-07-16 20:00,15017,64412.11,64677.7,-0.078,2,2026,False
做多,2026-07-14 20:00,15005,62970.7,64727.5,2026-07-15 20:00,15011,65589.7,4.159,2026-07-16 12:00,15015,64421.1,64200.0,2.303,10,2026,False
做空,2026-07-13 08:00,14996,63602.8,62780.2,2026-07-14 00:00,15000,61806.0,2.825,2026-07-14 20:00,15005,62900.63,64727.5,1.104,9,2026,False
做多,2026-07-09 12:00,14973,62921.8,62973.7,2026-07-10 20:00,14981,64680.0,2.794,2026-07-12 04:00,14989,63838.92,63783.0,1.458,16,2026,False
做空,2026-07-08 16:00,14968,62434.9,62270.0,2026-07-08 20:00,14969,61520.0,1.465,2026-07-09 12:00,14973,62576.99,62973.7,-0.228,5,2026,False
做多,2026-07-07 04:00,14959,63990.7,64023.6,2026-07-07 04:00,14959,64691.9,1.096,2026-07-08 08:00,14966,62901.77,62741.0,-1.702,7,2026,False
做多,2026-07-06 04:00,14953,63430.0,63617.1,2026-07-06 04:00,14953,63990.7,0.884,2026-07-06 16:00,14956,62750.88,62461.4,-1.071,3,2026,False
做多,2026-07-01 20:00,14927,59444.5,60118.5,2026-07-05 00:00,14946,63450.0,6.738,2026-07-05 16:00,14950,62647.88,62630.0,5.389,23,2026,False
做空,2026-06-29 00:00,14910,59714.8,59451.4,2026-07-01 08:00,14924,57758.6,3.276,2026-07-01 20:00,14927,59775.84,60118.5,-0.102,17,2026,False
做多,2026-06-27 20:00,14903,60580.0,60817.2,2026-06-27 20:00,14903,60924.7,0.569,2026-06-28 00:00,14904,60856.31,60149.9,0.456,1,2026,False
做空,2026-06-23 12:00,14877,63758.3,62849.2,2026-06-25 00:00,14886,59060.0,7.369,2026-06-25 12:00,14889,61592.38,61886.7,3.397,12,2026,False
做多,2026-06-22 20:00,14873,64788.0,64808.0,2026-06-22 20:00,14873,65597.2,1.249,2026-06-23 04:00,14875,64070.75,63990.2,-1.107,2,2026,False
