序号,组别,信号时间,方向,6K极值,入场基准,是否有回调突破线,回调偏移%,ATR,ATR%,突破K收盘价,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,收益率%,MFE%,出场原因,同信号对方R值,年份
1,A_原策略_6K极值,2026-08-19 20:00,做多,65057.9,65057.9,是,0.0,396.31,0.609,68523.7,65057.9,64661.59,79370.64,2026-08-21 16:00,79370.64,11,36.1148,22.0,22.284,固定止盈,,2026
2,A_原策略_6K极值,2026-08-17 20:00,做多,63753.0,63753.0,否,0.0,356.63,0.559,64169.9,63753.0,63396.37,77778.66,2026-08-19 08:00,64315.38,9,1.5769,0.882,2.047,KAMA跟踪,,2026
3,A_原策略_6K极值,2026-08-17 04:00,做空,62928.5,62928.5,是,0.0,324.91,0.516,62876.0,62928.5,63253.41,55377.08,2026-08-17 08:00,63253.41,1,-1.0,-0.516,0.325,ATR止损,,2026
4,A_原策略_6K极值,2026-08-10 20:00,做空,64794.4,64794.4,是,0.0,417.42,0.644,64268.8,64794.4,65211.82,57019.07,2026-08-12 16:00,64089.11,11,1.6896,1.089,2.443,KAMA跟踪,,2026
5,A_原策略_6K极值,2026-08-09 08:00,做空,64784.3,64784.3,是,0.0,447.35,0.691,64759.0,64784.3,65231.65,57010.18,2026-08-09 20:00,65231.65,3,-1.0,-0.691,0.057,ATR止损,,2026
6,A_原策略_6K极值,2026-08-07 16:00,做多,64971.0,64971.0,是,0.0,539.87,0.831,64996.1,64971.0,64431.13,79264.62,2026-08-08 08:00,64885.5,4,-0.1584,-0.132,0.596,保本平仓,,2026
7,A_原策略_6K极值,2026-08-06 00:00,做多,64728.5,64728.5,是,0.333,593.51,0.917,64805.7,64728.5,64134.99,78968.77,2026-08-06 16:00,64728.5,4,0.0,0.0,0.453,保本平仓,,2026
8,A_原策略_6K极值,2026-08-03 12:00,做空,62745.0,62745.0,是,0.344,555.27,0.885,62591.0,62745.0,63300.27,55215.6,2026-08-03 20:00,63300.27,2,-1.0,-0.885,0.76,ATR止损,,2026
9,A_原策略_6K极值,2026-07-31 16:00,做空,63835.6,63835.6,是,0.179,660.67,1.035,63779.4,63835.6,64496.27,56175.33,2026-08-02 08:00,63165.51,10,1.0143,1.05,2.517,KAMA跟踪,,2026
10,A_原策略_6K极值,2026-07-30 16:00,做多,64715.9,64715.9,是,0.0,649.62,1.004,64766.8,64715.9,64066.28,78953.4,2026-07-31 08:00,64715.9,4,0.0,0.0,1.044,保本平仓,,2026
