序号,组别,信号时间,方向,6K极值,回调突破线,是否有回调线,回调偏移%,ATR,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,收益率%,MFE%,出场原因,年份
1,B_原合并,2026-08-19 20:00,做多,65057.9,65057.9,是,0.0,396.31,65057.9,64661.59,79370.64,2026-08-21 16:00,79370.64,11,36.1148,22.0,22.284,固定止盈,2026
2,B_原合并,2026-08-17 20:00,做多,63753.0,63753.0,否（退回6K极值成交）,0.0,356.63,63753.0,63396.37,77778.66,2026-08-19 08:00,64315.38,9,1.5769,0.882,2.047,KAMA跟踪,2026
3,B_原合并,2026-08-17 04:00,做空,62928.5,62928.5,是,0.0,324.91,62928.5,63253.41,55377.08,2026-08-17 08:00,63253.41,1,-1.0,-0.516,0.325,ATR止损,2026
4,B_原合并,2026-08-10 20:00,做空,64794.4,64794.4,是,0.0,417.42,64794.4,65211.82,57019.07,2026-08-12 16:00,64089.11,11,1.6896,1.089,2.443,KAMA跟踪,2026
5,B_原合并,2026-08-09 08:00,做空,64784.3,64784.3,是,0.0,447.35,64784.3,65231.65,57010.18,2026-08-09 20:00,65231.65,3,-1.0,-0.691,0.057,ATR止损,2026
6,B_原合并,2026-08-07 16:00,做多,64971.0,64971.0,是,0.0,539.87,64971.0,64431.13,79264.62,2026-08-08 08:00,64885.5,4,-0.1584,-0.132,0.596,保本平仓,2026
7,B_原合并,2026-08-06 00:00,做多,64728.5,64512.9,是,0.333,593.51,64512.9,63919.39,78705.74,2026-08-06 16:00,64512.9,4,0.0,0.0,0.789,保本平仓,2026
8,B_原合并,2026-08-03 12:00,做空,62745.0,62961.1,是,0.344,555.27,62961.1,63516.37,55405.77,2026-08-03 20:00,63516.37,2,-1.0,-0.882,1.101,ATR止损,2026
9,B_原合并,2026-07-31 16:00,做空,63835.6,63950.0,是,0.179,660.67,63950.0,64610.67,56276.0,2026-08-02 08:00,63165.51,10,1.1874,1.227,2.691,KAMA跟踪,2026
10,B_原合并,2026-07-30 16:00,做多,64715.9,64715.9,是,0.0,649.62,64715.9,64066.28,78953.4,2026-07-31 08:00,64715.9,4,0.0,0.0,1.044,保本平仓,2026
11,B_原合并,2026-07-28 04:00,做空,64374.4,64606.3,是,0.36,529.13,64606.3,65135.43,56853.54,2026-07-29 12:00,64390.63,8,0.4076,0.334,3.012,KAMA跟踪,2026
12,B_原合并,2026-07-27 04:00,做多,64909.0,64909.0,否（退回6K极值成交）,0.0,462.9,64909.0,64446.1,79188.98,2026-07-27 20:00,64938.45,4,0.0636,0.045,1.253,KAMA跟踪,2026
13,B_原合并,2026-07-24 20:00,做空,64636.0,64636.0,是,0.0,597.19,64636.0,65233.19,56879.68,2026-07-26 20:00,64558.3,12,0.1301,0.12,1.355,KAMA跟踪,2026
14,B_原合并,2026-07-23 12:00,做空,65505.0,65505.0,是,0.0,622.66,65505.0,66127.66,57644.4,2026-07-24 08:00,65346.98,5,0.2538,0.241,1.327,KAMA跟踪,2026
15,B_原合并,2026-07-20 20:00,做多,65084.6,65084.6,是,0.0,615.13,65084.6,64469.47,79403.21,2026-07-22 20:00,65611.39,12,0.8564,0.809,2.826,KAMA跟踪,2026
16,B_原合并,2026-07-20 12:00,做空,64259.5,64259.5,是,0.0,557.36,64259.5,64816.86,56548.36,2026-07-20 16:00,64816.86,1,-1.0,-0.867,0.625,ATR止损,2026
17,B_原合并,2026-07-19 00:00,做多,64356.7,64356.7,是,0.0,620.3,64356.7,63736.4,78515.17,2026-07-19 20:00,64376.34,5,0.0317,0.031,0.92,KAMA跟踪,2026
18,B_原合并,2026-07-16 12:00,做空,64362.2,64450.9,是,0.138,681.15,64450.9,65132.05,56716.79,2026-07-18 00:00,63824.06,9,0.9203,0.973,3.019,KAMA跟踪,2026
19,B_原合并,2026-07-15 04:00,做多,64950.0,64950.0,否（退回6K极值成交）,0.0,709.04,64950.0,64240.96,79239.0,2026-07-15 20:00,64707.4,4,-0.3422,-0.374,0.985,保本平仓,2026
20,B_原合并,2026-07-13 08:00,做空,63602.8,63602.8,是,0.0,625.17,63602.8,64227.97,55970.46,2026-07-14 20:00,62900.63,9,1.1232,1.104,2.825,KAMA跟踪,2026
21,B_原合并,2026-07-10 08:00,做多,63484.9,63286.5,是,0.313,819.67,63286.5,62466.83,77209.53,2026-07-11 20:00,63776.54,9,0.5979,0.774,2.202,KAMA跟踪,2026
22,B_原合并,2026-07-08 16:00,做空,62434.9,62638.0,是,0.325,833.66,62638.0,63471.66,55121.44,2026-07-09 12:00,62576.99,5,0.0732,0.097,1.785,KAMA跟踪,2026
23,B_原合并,2026-07-07 04:00,做多,63990.7,63990.7,是,0.0,794.37,63990.7,63196.33,78068.65,2026-07-07 08:00,63196.33,1,-1.0,-1.241,0.48,ATR止损,2026
24,B_原合并,2026-07-06 04:00,做多,63430.0,63430.0,是,0.0,698.83,63430.0,62731.17,77384.6,2026-07-06 16:00,62731.17,3,-1.0,-1.102,0.741,ATR止损,2026
25,B_原合并,2026-07-01 20:00,做多,59444.5,59264.4,是,0.303,862.07,59264.4,58402.33,72302.57,2026-07-05 08:00,62594.59,21,3.863,5.619,7.063,KAMA跟踪,2026
26,B_原合并,2026-06-30 20:00,做空,58988.0,58988.0,是,0.0,861.88,58988.0,59849.88,51909.44,2026-07-01 12:00,59169.7,4,-0.2108,-0.308,2.084,保本平仓,2026
27,B_原合并,2026-06-29 00:00,做空,59714.8,59714.8,是,0.0,892.71,59714.8,60607.51,52549.02,2026-06-29 16:00,59998.9,4,-0.3182,-0.476,1.448,保本平仓,2026
28,B_原合并,2026-06-27 20:00,做多,60580.0,60580.0,是,0.0,1021.14,60580.0,59558.86,73907.6,2026-06-28 12:00,60169.5,4,-0.402,-0.678,0.446,KAMA跟踪,2026
29,B_原合并,2026-06-24 20:00,做空,61916.9,61916.9,是,0.0,775.53,61916.9,62692.43,54486.87,2026-06-25 12:00,61592.38,4,0.4184,0.524,4.614,KAMA跟踪,2026
30,B_原合并,2026-06-23 16:00,做空,62532.4,64014.9,是,2.371,786.12,64014.9,64801.02,56333.11,2026-06-24 16:00,63194.02,6,1.0442,1.282,3.277,KAMA跟踪,2026
31,B_原合并,2026-06-22 20:00,做多,64788.0,64337.3,是,0.696,749.87,64337.3,63587.43,78491.51,2026-06-23 12:00,64037.2,4,-0.4002,-0.466,0.775,保本平仓,2026
32,B_原合并,2026-06-22 04:00,做空,63820.0,63820.0,是,0.0,706.33,63820.0,64526.33,56161.6,2026-06-22 08:00,64526.33,1,-1.0,-1.107,0.836,ATR止损,2026
33,B_原合并,2026-06-20 20:00,做多,63894.0,63894.0,否（退回6K极值成交）,0.0,802.08,63894.0,63091.92,77950.68,2026-06-21 16:00,63979.14,5,0.1061,0.133,1.055,KAMA跟踪,2026
34,B_原合并,2026-06-18 20:00,做空,63660.1,63660.1,否（退回6K极值成交）,0.0,876.51,63660.1,64536.61,56020.89,2026-06-20 08:00,63660.1,9,0.0,0.0,2.235,保本平仓,2026
35,B_原合并,2026-06-17 16:00,做空,65200.0,65328.8,是,0.198,804.47,65328.8,66133.27,57489.34,2026-06-18 00:00,66133.27,2,-1.0,-1.231,2.011,ATR止损,2026
36,B_原合并,2026-06-15 08:00,做多,65775.0,64682.2,是,1.661,830.88,64682.2,63851.32,78912.28,2026-06-16 20:00,65625.5,9,1.1353,1.458,3.978,KAMA跟踪,2026
37,B_原合并,2026-06-15 00:00,做空,63830.0,63862.9,是,0.052,781.02,63862.9,64643.92,56199.35,2026-06-15 04:00,64643.92,1,-1.0,-1.223,0.159,ATR止损,2026
38,B_原合并,2026-06-14 04:00,做多,64323.0,64323.0,否（退回6K极值成交）,0.0,873.89,64323.0,63449.11,78474.06,2026-06-14 20:00,64323.0,4,0.0,0.0,0.558,保本平仓,2026
39,B_原合并,2026-06-11 16:00,做多,62993.4,62840.2,是,0.243,1153.42,62840.2,61686.78,76665.04,2026-06-12 12:00,62840.2,5,0.0,0.0,1.711,保本平仓,2026
40,B_原合并,2026-06-09 20:00,做空,62381.2,62658.4,是,0.444,1203.28,62658.4,63861.68,55139.39,2026-06-10 20:00,62137.32,6,0.433,0.832,3.138,KAMA跟踪,2026
41,B_原合并,2026-06-07 16:00,做多,62380.0,61475.0,是,1.451,1317.41,61475.0,60157.59,74999.5,2026-06-09 08:00,62717.65,10,0.9433,2.021,4.514,KAMA跟踪,2026
42,B_原合并,2026-06-04 04:00,做空,65199.0,65359.1,是,0.246,1069.29,65359.1,66428.39,57516.01,2026-06-07 12:00,61889.77,20,3.2445,5.308,9.607,KAMA跟踪,2026
43,B_原合并,2026-06-01 12:00,做空,73171.0,73171.0,否（退回6K极值成交）,0.0,673.03,73171.0,73844.03,64390.48,2026-06-03 12:00,67343.88,12,8.658,7.964,10.676,KAMA跟踪,2026
44,B_原合并,2026-05-27 00:00,做空,76234.7,76434.0,是,0.261,796.61,76434.0,77230.61,67261.92,2026-05-29 04:00,73833.6,13,3.2643,3.402,5.074,KAMA跟踪,2026
45,B_原合并,2026-05-24 04:00,做多,76054.1,76054.1,是,0.0,770.65,76054.1,75283.45,92786.0,2026-05-26 08:00,76624.03,13,0.7395,0.749,2.411,KAMA跟踪,2026
46,B_原合并,2026-05-23 00:00,做空,76528.0,76970.0,是,0.578,720.01,76970.0,77690.01,67733.6,2026-05-24 00:00,75808.08,6,1.6138,1.51,3.594,KAMA跟踪,2026
47,B_原合并,2026-05-21 08:00,做多,77825.8,77825.8,是,0.0,739.59,77825.8,77086.21,94947.48,2026-05-21 20:00,77086.21,3,-1.0,-0.95,0.455,ATR止损,2026
48,B_原合并,2026-05-18 04:00,做空,77675.4,77675.4,是,0.0,720.81,77675.4,78396.21,68354.35,2026-05-18 20:00,77675.4,4,0.0,0.0,2.139,保本平仓,2026
49,B_原合并,2026-05-15 20:00,做空,79196.4,79196.4,是,0.0,842.53,79196.4,80038.93,69692.83,2026-05-17 12:00,78229.76,10,1.1473,1.221,2.013,KAMA跟踪,2026
50,B_原合并,2026-05-14 20:00,做多,80558.0,80558.0,是,0.0,811.4,80558.0,79746.6,98280.76,2026-05-15 12:00,80558.0,4,0.0,0.0,1.789,保本平仓,2026
