方向,信号时间,出场时间,6K极值,回调突破线,回调偏移,R值,收益率,MFE,ATR占比,出场原因,持仓K线数,年份
做空,2019-09-10 12:00:00+00:00,2019-09-11 16:00:00+00:00,10183.31,10183.31,0.0,0.2257304186850887,0.006126305247321445,0.02936176940503628,0.027139918859886192,KAMA跟踪,7,2019
做多,2019-09-12 12:00:00+00:00,2019-09-13 16:00:00+00:00,10205.46,10205.46,0.0,0.05793985721073203,0.001244982165027866,0.023974421535139043,0.021487491080617673,KAMA跟踪,7,2019
做多,2019-09-14 12:00:00+00:00,2019-09-15 00:00:00+00:00,10355.85,10355.85,0.0,-1.000000000000003,-0.016415010653719277,0.006191669442875185,0.01641501065371923,atr止损,3,2019
做空,2019-09-16 12:00:00+00:00,2019-09-17 04:00:00+00:00,10252.28,10252.28,0.0,0.46059749239049286,0.005863787793178853,0.01673578950243262,0.012730828738875452,KAMA跟踪,4,2019
做空,2019-09-19 00:00:00+00:00,2019-09-19 16:00:00+00:00,10097.92,10097.92,0.0,0.8351899469053718,0.008828055972132794,0.03140943877551021,0.010570117617966281,KAMA跟踪,4,2019
做多,2019-09-19 20:00:00+00:00,2019-09-20 12:00:00+00:00,10211.9,10211.9,0.0,0.0,0.0,0.006600142970456001,0.012975158620265295,保本平仓,4,2019
做空,2019-09-22 00:00:00+00:00,2019-09-22 04:00:00+00:00,9912.63,9912.63,0.0,-1.0000000000000027,-0.012372348787034054,0.005612032326435991,0.012372348787034021,atr止损,1,2019
做空,2019-09-23 12:00:00+00:00,2019-09-24 16:00:00+00:00,9878.51,9932.01,0.005415796511822127,10.163018937450158,0.12000000000000008,0.1295206106316848,0.011807515142750228,固定止盈,7,2019
做空,2019-09-24 20:00:00+00:00,2019-09-25 04:00:00+00:00,8645.61,9603.5,0.11079495836615338,6.624190053883273,0.12000000000000001,0.14614463476857395,0.018115422266553608,固定止盈,2,2019
做空,2019-09-26 12:00:00+00:00,2019-09-27 20:00:00+00:00,8223.71,8223.71,0.0,0.10395982810726002,0.0025389963724871353,0.06360146454580708,0.0244228604328543,KAMA跟踪,8,2019
做空,2019-09-29 12:00:00+00:00,2019-09-30 08:00:00+00:00,8001.14,8001.14,0.0,0.0,0.0,0.03651104717577747,0.02291713831034267,保本平仓,5,2019
做多,2019-09-30 12:00:00+00:00,2019-10-02 00:00:00+00:00,8127.06,8127.06,0.0,0.49716899744773335,0.01154907129573435,0.045765627422462686,0.02322966909646953,KAMA跟踪,9,2019
做空,2019-10-03 12:00:00+00:00,2019-10-04 12:00:00+00:00,8177.29,8177.29,0.0,0.0,0.0,0.024132689436231338,0.019434687630838554,保本平仓,6,2019
做空,2019-10-05 08:00:00+00:00,2019-10-06 00:00:00+00:00,8080.81,8080.81,0.0,0.0,0.0,0.00888648538945977,0.01687794420182359,保本平仓,4,2019
做空,2019-10-06 04:00:00+00:00,2019-10-07 08:00:00+00:00,8009.0,8010.0,0.0001248595330253465,0.14871286801397302,0.0023431683071211003,0.031210986267166042,0.0157563251816308,KAMA跟踪,7,2019
做多,2019-10-09 12:00:00+00:00,2019-10-10 12:00:00+00:00,8242.52,8242.52,0.0,1.4222793088530352,0.022135408549632658,0.0512561692297986,0.015563334439199043,KAMA跟踪,6,2019
做空,2019-10-11 04:00:00+00:00,2019-10-12 12:00:00+00:00,8419.34,8419.34,0.0,0.3773355388466073,0.006026386439586679,0.024864181752964027,0.01597089544760982,KAMA跟踪,8,2019
做多,2019-10-13 12:00:00+00:00,2019-10-13 20:00:00+00:00,8397.45,8397.45,0.0,-1.0000000000000053,-0.013851517683035348,0.006972354702915679,0.013851517683035273,atr止损,2,2019
做空,2019-10-15 16:00:00+00:00,2019-10-17 08:00:00+00:00,8205.02,8205.02,0.0,1.6149563169945038,0.02119855732164408,0.037145552356971784,0.013126396731953352,KAMA跟踪,10,2019
做空,2019-10-18 04:00:00+00:00,2019-10-18 20:00:00+00:00,7930.0,7930.0,0.0,0.0,0.0,0.014880201765447668,0.01232516687943176,保本平仓,4,2019
做多,2019-10-20 16:00:00+00:00,2019-10-22 12:00:00+00:00,8041.19,7999.28,0.005211915151861833,1.9171209791253254,0.023384349488682114,0.04191502235201168,0.012197638930095627,KAMA跟踪,11,2019
做空,2019-10-22 20:00:00+00:00,2019-10-23 16:00:00+00:00,8160.0,8164.78,0.000585784313725459,10.573511635708794,0.11999999999999994,0.1214999056924987,0.011349115046578918,固定止盈,5,2019
做多,2019-10-25 08:00:00+00:00,2019-10-26 00:00:00+00:00,7495.81,7495.81,0.0,14.820174202418071,0.21999999999999986,0.3885730828289403,0.014844629826557942,固定止盈,4,2019
做多,2019-11-02 12:00:00+00:00,2019-11-03 04:00:00+00:00,9270.0,9270.0,0.0,0.0,0.0,0.010430420711974165,0.020531541105818982,保本平仓,4,2019
做空,2019-11-03 08:00:00+00:00,2019-11-04 00:00:00+00:00,9200.01,9200.01,0.0,0.0,0.0,0.013805419776717657,0.018316749698959266,保本平仓,4,2019
做多,2019-11-04 08:00:00+00:00,2019-11-05 04:00:00+00:00,9250.4,9250.4,0.0,0.12934984969582508,0.002105515787690189,0.03238778863616713,0.016277682522565368,KAMA跟踪,5,2019
做空,2019-11-07 08:00:00+00:00,2019-11-09 12:00:00+00:00,9220.0,9259.48,0.004281995661605159,2.9526952675190854,0.04197371280739199,0.06367852190403772,0.014215389332289326,KAMA跟踪,13,2019
做多,2019-11-10 16:00:00+00:00,2019-11-11 04:00:00+00:00,8889.02,8889.02,0.0,-1.0000000000000029,-0.013275828014888549,0.023734899910226273,0.01327582801488851,atr止损,3,2019
做空,2019-11-14 04:00:00+00:00,2019-11-15 08:00:00+00:00,8712.0,8712.0,0.0,0.422658896301427,0.005199322302916099,0.02261248852157943,0.012301461884308964,KAMA跟踪,7,2019
