序号,组别,信号时间,成交时间,方向,6K极值,回调突破线,回调偏移%,ATR,入场触发线,成交方式,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,收益率%,MFE%,出场原因,年份
1,参照_回调线入场_B,2026-08-19 20:00,2026-08-19 20:00,做多,65057.9,65057.9,0.0,425.81,65057.9,回调线入场,65057.9,64632.09,79370.64,2026-08-21 16:00,79370.64,11,33.613,22.0,0.0,固定止盈,2026
2,参照_回调线入场_B,2026-08-18 20:00,2026-08-18 20:00,做多,64600.8,64600.8,0.0,392.09,64600.8,回调线入场,64600.8,64208.71,78812.98,2026-08-19 12:00,64296.3,4,-0.7766,-0.471,0.0,保本平仓,2026
3,参照_回调线入场_B,2026-08-17 04:00,2026-08-17 04:00,做空,62928.5,62928.5,0.0,334.9,62928.5,回调线入场,62928.5,63263.4,55377.08,2026-08-17 08:00,63263.4,1,-1.0,-0.532,0.0,ATR止损,2026
4,参照_回调线入场_B,2026-08-10 20:00,2026-08-10 20:00,做空,64794.4,64794.4,0.0,417.51,64794.4,回调线入场,64794.4,65211.91,57019.07,2026-08-12 16:00,64089.11,11,1.6893,1.089,0.0,KAMA跟踪,2026
5,参照_回调线入场_B,2026-08-09 08:00,2026-08-09 08:00,做空,64784.3,64784.3,0.0,531.81,64784.3,回调线入场,64784.3,65316.11,57010.18,2026-08-10 00:00,65207.8,4,-0.7963,-0.654,0.0,KAMA跟踪,2026
6,参照_回调线入场_B,2026-08-07 16:00,2026-08-07 16:00,做多,64971.0,64971.0,0.0,565.4,64971.0,回调线入场,64971.0,64405.6,79264.62,2026-08-08 08:00,64885.5,4,-0.1512,-0.132,0.0,保本平仓,2026
7,参照_回调线入场_B,2026-08-06 00:00,2026-08-06 00:00,做多,64728.5,64512.9,0.333,599.12,64512.9,回调线入场,64512.9,63913.78,78705.74,2026-08-06 16:00,64512.9,4,0.0,0.0,0.0,保本平仓,2026
8,参照_回调线入场_B,2026-08-03 12:00,2026-08-03 12:00,做空,62745.0,62961.1,0.344,559.66,62961.1,回调线入场,62961.1,63520.76,55405.77,2026-08-03 20:00,63520.76,2,-1.0,-0.889,0.0,ATR止损,2026
9,参照_回调线入场_B,2026-07-31 16:00,2026-07-31 16:00,做空,63835.6,63950.0,0.179,663.14,63950.0,回调线入场,63950.0,64613.14,56276.0,2026-08-02 08:00,63165.51,10,1.183,1.227,0.0,KAMA跟踪,2026
10,参照_回调线入场_B,2026-07-30 16:00,2026-07-30 16:00,做多,64715.9,64715.9,0.0,609.32,64715.9,回调线入场,64715.9,64106.58,78953.4,2026-07-31 08:00,64715.9,4,0.0,0.0,0.0,保本平仓,2026
11,参照_回调线入场_B,2026-07-28 04:00,2026-07-28 04:00,做空,64374.4,64606.3,0.36,487.19,64606.3,回调线入场,64606.3,65093.49,56853.54,2026-07-29 12:00,64390.63,8,0.4427,0.334,0.0,KAMA跟踪,2026
12,参照_回调线入场_B,2026-07-24 20:00,2026-07-24 20:00,做空,64636.0,64636.0,0.0,600.72,64636.0,回调线入场,64636.0,65236.72,56879.68,2026-07-26 20:00,64558.3,12,0.1293,0.12,0.0,KAMA跟踪,2026
13,参照_回调线入场_B,2026-07-23 12:00,2026-07-23 12:00,做空,65505.0,65505.0,0.0,625.63,65505.0,回调线入场,65505.0,66130.63,57644.4,2026-07-24 08:00,65346.98,5,0.2526,0.241,0.0,KAMA跟踪,2026
14,参照_回调线入场_B,2026-07-20 20:00,2026-07-20 20:00,做多,65084.6,65084.6,0.0,557.36,65084.6,回调线入场,65084.6,64527.24,79403.21,2026-07-22 20:00,65611.39,12,0.9451,0.809,0.0,KAMA跟踪,2026
15,参照_回调线入场_B,2026-07-20 12:00,2026-07-20 12:00,做空,64259.5,64259.5,0.0,552.68,64259.5,回调线入场,64259.5,64812.18,56548.36,2026-07-20 16:00,64812.18,1,-1.0,-0.86,0.0,ATR止损,2026
16,参照_回调线入场_B,2026-07-19 00:00,2026-07-19 00:00,做多,64356.7,64356.7,0.0,739.52,64356.7,回调线入场,64356.7,63617.18,78515.17,2026-07-19 20:00,64376.34,5,0.0266,0.031,0.0,KAMA跟踪,2026
17,参照_回调线入场_B,2026-07-16 12:00,2026-07-16 12:00,做空,64362.2,64450.9,0.138,709.61,64450.9,回调线入场,64450.9,65160.51,56716.79,2026-07-18 00:00,63824.06,9,0.8834,0.973,0.0,KAMA跟踪,2026
18,参照_回调线入场_B,2026-07-13 08:00,2026-07-13 08:00,做空,63602.8,63602.8,0.0,678.04,63602.8,回调线入场,63602.8,64280.84,55970.46,2026-07-14 20:00,62900.63,9,1.0356,1.104,0.0,KAMA跟踪,2026
19,参照_回调线入场_B,2026-07-10 08:00,2026-07-10 08:00,做多,63484.9,63286.5,0.313,857.13,63286.5,回调线入场,63286.5,62429.37,77209.53,2026-07-11 20:00,63776.54,9,0.5717,0.774,0.0,KAMA跟踪,2026
20,参照_回调线入场_B,2026-07-08 16:00,2026-07-08 16:00,做空,62434.9,62638.0,0.325,837.24,62638.0,回调线入场,62638.0,63475.24,55121.44,2026-07-09 12:00,62576.99,5,0.0729,0.097,0.0,KAMA跟踪,2026
