序号,方向,基准线K时间,确认K时间,基准线,ATR,触发线,6K极值,状态,波段涨跌幅%_基准线,波段涨跌幅%_极值基准,峰值价,峰值K时间,未成交错过%,年份,成交时间,入场价,初始止损,保护线,止盈目标,出场时间,出场价,出场原因,平仓细节,保护性平仓第几K,持仓K数,R值,1m消歧
1,做多,2026-08-20 04:00,2026-08-20 12:00,70048.2,752.29,70800.49,70450.0,成交,3.482,2.892,72487.5,2026-08-20 16:00,,2026,2026-08-20 16:00,70800.49,70048.2,71176.63,85458.8,2026-08-22 16:00,77286.7,KAMA跟踪,跳空按开盘价,,12,8.622,是
2,做多,2026-08-18 08:00,2026-08-18 16:00,64541.6,396.33,64937.93,64600.8,成交,0.8,0.708,65057.9,2026-08-18 20:00,,2026,2026-08-18 20:00,64937.93,64541.6,65136.1,78740.75,2026-08-18 20:00,64823.9,保护性平仓,第0K(成交当根),0,0,-0.2877,是
3,做空,2026-08-11 00:00,2026-08-11 08:00,63788.0,453.67,63334.33,65373.6,成交,0.904,3.307,63211.6,2026-08-12 00:00,,2026,2026-08-12 00:00,63334.33,63788.0,63107.49,56133.44,2026-08-12 00:00,63508.5,保护性平仓,第0K(成交当根),0,0,-0.3839,否
4,做多,2026-08-09 08:00,2026-08-09 16:00,64982.4,439.1,65421.5,65163.0,成交,0.77,0.491,65482.7,2026-08-10 04:00,,2026,2026-08-10 04:00,65421.5,64982.4,65641.05,79278.53,2026-08-10 04:00,64982.4,ATR止损,成交当根(1m消歧),,0,-1.0,是
5,做多,2026-07-21 00:00,2026-07-21 08:00,65788.0,672.53,66460.53,65788.0,成交,1.727,1.727,66924.1,2026-07-21 20:00,,2026,2026-07-21 20:00,66460.53,65788.0,66796.8,80261.36,2026-07-21 20:00,66648.5,保护性平仓,第0K(成交当根),0,0,0.2795,否
6,做多,2026-07-03 00:00,2026-07-03 08:00,61900.0,981.91,62881.91,62180.0,成交,1.708,1.25,62957.2,2026-07-04 04:00,,2026,2026-07-04 04:00,62881.91,61900.0,63372.86,75518.0,2026-07-04 04:00,62565.5,保护性平仓,第0K(成交当根),0,0,-0.3222,否
7,做空,2026-06-04 20:00,2026-06-05 04:00,62344.1,1281.04,61063.06,65829.4,成交,3.751,8.847,60005.8,2026-06-05 20:00,,2026,2026-06-05 20:00,61063.06,62344.1,60422.54,54862.81,2026-06-06 04:00,61022.0,保护性平仓,第2K,2,2,0.0321,是
8,做空,2026-05-15 20:00,2026-05-16 04:00,78610.0,899.74,77710.26,81623.8,成交,1.283,4.927,77601.8,2026-05-16 16:00,,2026,2026-05-16 16:00,77710.26,78610.0,77260.39,69176.8,2026-05-16 16:00,78042.5,保护性平仓,第0K(成交当根),0,0,-0.3693,否
9,做多,2026-05-10 04:00,2026-05-10 12:00,80900.0,741.65,81641.65,81043.2,成交,1.929,1.749,82460.5,2026-05-11 04:00,,2026,2026-05-11 04:00,81641.65,80900.0,82012.48,98698.0,2026-05-11 08:00,80900.0,ATR止损,第1K,,1,-1.0,是
10,做多,2026-05-06 04:00,2026-05-06 12:00,81745.4,860.93,82606.33,81745.4,成交,1.325,1.325,82828.7,2026-05-06 16:00,,2026,2026-05-06 16:00,82606.33,81745.4,83036.8,99729.39,2026-05-06 16:00,82485.4,保护性平仓,第0K(成交当根),0,0,-0.1405,是
11,做多,2026-04-10 08:00,2026-04-10 16:00,72350.0,1013.33,73363.33,73128.0,成交,1.52,0.44,73450.0,2026-04-11 04:00,,2026,2026-04-11 04:00,73363.33,72350.0,73869.99,88267.0,2026-04-11 04:00,72917.4,保护性平仓,第0K(成交当根),0,0,-0.4401,否
12,做多,2026-04-09 04:00,2026-04-09 12:00,71726.7,1015.14,72741.84,72858.5,成交,1.954,0.37,73128.0,2026-04-10 04:00,,2026,2026-04-10 04:00,72741.84,71726.7,73249.42,87506.57,2026-04-10 04:00,71726.7,ATR止损,成交当根(1m消歧),,0,-1.0,是
13,做空,2026-03-27 00:00,2026-03-27 08:00,68115.8,1117.29,66998.51,71408.1,成交,2.849,7.328,66175.4,2026-03-27 16:00,,2026,2026-03-27 16:00,66998.51,68115.8,66439.86,59941.9,2026-03-27 16:00,66663.2,保护性平仓,第0K(成交当根),0,0,0.3001,是
14,做空,2026-02-23 12:00,2026-02-23 20:00,64628.5,978.7,63649.8,68205.1,成交,2.05,7.186,63303.9,2026-02-24 08:00,,2026,2026-02-24 08:00,63649.8,64628.5,63160.45,56873.08,2026-02-24 08:00,63570.5,保护性平仓,第0K(成交当根),0,0,0.081,是
