序号,信号时间,方向,信号收盘价,6K极值,回调基准,ATR,挂单价格,成交,成交时间,成交价格,止损价,止盈价,加仓阈值,出场时间,出场价,出场类型,持仓K数,R值,前3K
1,2019/09/10 20:00,做空,10179.1,10183.31,10183.31,276.37420712506764,9906.935792874932,是,2019/09/11 12:00,9906.935792874932,10183.31,8961.3128,9768.748689312399,2019/09/12 04:00,10116.70026537526,止损,4,-0.7589871525362842,否
2,2019/09/12 20:00,做多,10326.58,10205.46,10205.46,219.28973072360043,10424.749730723599,是,2019/09/13 04:00,10424.749730723599,10205.46,12450.661199999999,10534.3945960854,2019/09/14 00:00,10218.165615685904,止损,5,-0.9420601427892654,否
3,2019/09/14 20:00,做多,10358.0,10355.85,10355.85,169.99138807831827,10525.84138807832,是,2020/02/13 20:00,10525.84138807832,10355.85,12634.137,10610.837082117478,2020/02/13 20:00,10165.04,止损,0,-2.122468627128865,是
4,2020/02/15 20:00,做空,9982.18,10203.98,10233.0,145.71451899730548,10087.285481002695,是,2020/02/16 00:00,9983.03,10233.0,9005.04,10014.428221504042,2020/02/17 04:00,9988.03994279262,止损,7,-0.6034394251877218,否
5,2020/02/18 20:00,做多,9837.99,9821.0,9821.0,166.41254805360998,9987.41254805361,是,2020/02/19 00:00,9987.41254805361,9821.0,11981.619999999999,10070.618822080414,2020/02/20 04:00,10048.034504938698,止损,7,-0.39458285414306554,否
6,2020/02/21 08:00,做多,9709.82,9700.0,9654.64,194.67250473039536,9849.312504730395,是,2020/02/23 12:00,9849.312504730395,9654.64,11778.6608,9946.648757095592,2020/02/24 08:00,9823.658295193714,止损,5,-0.1317813708320506,否
7,2020/02/25 20:00,做空,9404.39,9487.38,9487.38,151.77071469189787,9335.6092853081,是,2020/02/26 00:00,9335.6092853081,9487.38,8348.8944,9259.723927962152,2020/02/27 20:00,8873.346079474564,止损,11,5.059191609644326,否
8,2020/02/28 16:00,做空,8593.54,8684.46,8742.2,178.67843410600616,8563.521565893994,是,2020/02/28 20:00,8563.521565893994,8742.2,7693.136,8474.182348840992,2020/02/29 04:00,8742.2,止损,2,-1.000000000000002,是
9,2020/03/01 04:00,做空,8531.98,8576.13,8576.13,173.8738467256111,8402.256153274388,是,2020/03/08 20:00,8402.256153274388,8576.13,7546.9944,8315.319229911582,2020/03/08 20:00,8749.37,止损,0,-1.9963545597135768,是
10,2020/03/09 00:00,做空,8287.88,8299.06,8299.06,140.0247721707476,8159.035227829252,是,2020/03/09 04:00,8159.035227829252,8299.06,7303.172799999999,8089.022841743878,2020/03/09 04:00,8299.06,止损,0,-2.8610992609380643,是
11,2020/03/09 12:00,做空,7901.86,7984.0,7984.0,157.48895778989476,7826.511042210105,是,2020/03/09 16:00,7826.511042210105,7984.0,7025.92,7747.766563315158,2020/03/09 16:00,7984.0,止损,0,-1.0000000000000004,是
12,2020/03/10 16:00,做多,8068.62,7996.28,7996.28,171.17399292293803,8167.453992922938,是,2020/04/29 16:00,8167.453992922938,7996.28,9755.461599999999,8253.040989384406,2020/04/29 16:00,7942.56,止损,0,-1.3138327212135772,是
13,2020/04/29 20:00,做多,8353.85,8182.49,8182.49,121.30260629006189,8303.792606290062,是,2020/04/30 00:00,8353.66,8182.49,9982.6378,8364.443909435093,2020/04/30 16:00,8955.915795638894,止损,4,6.845702797944088,否
14,2020/05/03 08:00,做多,9139.48,9020.0,9020.0,205.34672267902903,9225.346722679029,是,2020/05/06 16:00,9225.346722679029,9020.0,11004.4,9328.020084018544,2020/05/06 16:00,9019.27,止损,0,-1.0035549629936902,是
