序号,信号时间,方向,信号收盘价,6K极值,回调基准,ATR,挂单价格,成交,取消原因,成交时间,成交价格,入场价,紧止损价,确认阈值,止盈价,加仓阈值,确认,出场时间,出场价,出场类型,持仓K数,R值,前3K
1,2019/09/10 20:00,做空,10179.1,10183.31,10183.31,276.37420712506764,9906.935792874932,否,KAMA,,,,,,,,,2019/09/11 08:00,,挂单取消,0,,
2,2019/09/12 20:00,做多,10326.58,10205.46,10205.46,219.28973072360043,10424.749730723599,是,,2019/09/13 04:00,10424.749730723599,10424.749730723599,10358.962811506519,10534.3945960854,12450.661199999999,10534.3945960854,否,2019/09/13 04:00,10415.13,弱突破平仓,0,-0.04386767538934504,是
3,2019/09/14 00:00,做空,10210.25,10239.42,10239.42,188.65674761413769,10050.763252385863,否,KAMA,,,,,,,,,2019/09/14 04:00,,挂单取消,0,,
4,2019/09/14 20:00,做多,10358.0,10355.85,10355.85,169.99138807831827,10525.84138807832,否,KAMA,,,,,,,,,2019/09/15 08:00,,挂单取消,0,,
5,2019/09/16 20:00,做空,10120.07,10252.28,10252.28,130.52002086299802,10121.759979137003,是,,2019/09/17 00:00,10117.4,10117.4,10156.5560062589,10052.1399895685,9022.0064,10056.499968705504,否,2019/09/17 00:00,10124.17,弱突破平仓,0,-0.05186943700466193,是
6,2019/09/19 08:00,做空,9821.97,10097.92,10097.92,106.73620209681407,9991.183797903186,是,,2019/09/19 12:00,9820.96,9820.96,9852.980860629043,9767.591898951592,8886.1696,9937.81569685478,否,2019/09/19 12:00,9872.38,弱突破平仓,0,-0.4817484507586287,是
7,2019/09/20 04:00,做多,10245.3,10211.9,10211.9,132.50102231428716,10344.401022314287,否,3K跌破基准,,,,,,,,,2019/09/20 20:00,,挂单取消,0,,
8,2019/09/22 08:00,做空,9872.07,9912.63,9912.63,122.64251575681705,9789.987484243182,否,KAMA,,,,,,,,,2019/09/22 12:00,,挂单取消,0,,
9,2019/09/23 20:00,做空,9867.06,9878.51,9932.01,117.27235847294669,9814.737641527054,是,,2019/09/24 00:00,9814.737641527054,9814.737641527054,9849.919349068938,9756.10146229058,8740.1688,9756.10146229058,否,2019/09/24 00:00,9805.1,弱突破平仓,0,0.08218169782333348,是
10,2019/09/24 20:00,做空,9530.0,9603.5,9603.5,126.89579804636853,9476.60420195363,是,,2019/09/25 00:00,8683.2,8683.2,8721.268739413912,8619.752100976817,8451.08,9413.156302930447,否,2019/09/25 00:00,8645.61,弱突破平仓,0,0.2962273028636025,是
11,2019/09/25 04:00,做空,8495.83,8645.61,9603.5,173.97145773684758,9429.528542263153,是,,2019/09/25 08:00,8493.32,8493.32,8545.511437321054,8406.334271131576,8451.08,9342.542813394728,否,2019/09/25 08:00,8565.61,弱突破平仓,0,-0.41552793165272,是
12,2019/09/26 20:00,做空,7921.82,8223.71,8223.71,200.8465215702682,8022.863478429731,是,,2019/09/27 00:00,7924.55,7924.55,7984.803956471081,7824.126739214866,7236.864799999999,7922.4402176445965,否,2019/09/27 00:00,8131.12,弱突破平仓,0,-1.0284967764688375,是
13,2019/09/28 04:00,做多,8176.52,8157.0,8157.0,214.9328972761103,8371.93289727611,否,KAMA,,,,,,,,,2019/09/28 08:00,,挂单取消,0,,
14,2019/09/29 20:00,做空,7965.7,8001.14,8001.14,183.36323202041515,7817.776767979585,是,,2019/09/30 12:00,7817.776767979585,7817.776767979585,7872.78573758571,7726.095151969377,7041.0032,7726.095151969377,否,2019/09/30 12:00,7792.82,弱突破平仓,0,0.1361056287271751,是
15,2019/09/30 20:00,做多,8280.0,8127.06,8127.06,188.78891452715368,8315.848914527154,是,,2019/10/01 00:00,8315.848914527154,8315.848914527154,8259.212240169009,8410.243371790732,9915.0132,8410.243371790732,否,2019/10/01 00:00,8269.65,弱突破平仓,0,-0.24471200887438613,是
16,2019/10/03 20:00,做空,8104.71,8177.29,8177.29,158.9230768167798,8018.36692318322,否,KAMA,,,,,,,,,2019/10/04 04:00,,挂单取消,0,,
17,2019/10/05 16:00,做空,8077.76,8080.81,8080.81,136.3874602855381,7944.422539714462,否,KAMA,,,,,,,,,2019/10/06 04:00,,挂单取消,0,,
18,2019/10/06 12:00,做空,7958.19,8009.0,8010.0,126.2081647048627,7883.791835295137,是,,2019/10/06 16:00,7883.791835295137,7883.791835295137,7921.654284706597,7820.687752942706,7048.8,7820.687752942706,否,2019/10/06 16:00,7937.72,弱突破平仓,0,-0.42729537214152247,是
19,2019/10/09 20:00,做多,8550.09,8242.52,8242.52,128.2810953817869,8370.801095381787,是,,2019/10/10 00:00,8549.48,8549.48,8510.995671385463,8613.620547690893,10055.8744,8434.941643072681,否,2019/10/10 00:00,8576.37,弱突破平仓,0,0.20961779223954946,是
20,2019/10/11 12:00,做空,8385.26,8419.34,8419.34,134.46439887787926,8284.875601122121,是,,2019/10/11 16:00,8284.875601122121,8284.875601122121,8325.214920785485,8217.64340168318,7409.0192,8217.64340168318,否,2019/10/11 16:00,8295.88,弱突破平仓,0,-0.08183875412161835,是
21,2019/10/13 20:00,做多,8401.39,8397.45,8397.45,116.31742716740456,8513.767427167406,否,KAMA,,,,,,,,,2019/10/14 04:00,,挂单取消,0,,
22,2019/10/16 00:00,做空,8177.46,8205.02,8205.02,107.7023477136119,8097.317652286389,是,,2019/10/16 16:00,8097.317652286389,8097.317652286389,8129.628356600472,8043.466478429583,7220.417600000001,8043.466478429583,否,2019/10/16 16:00,8060.33,弱突破平仓,0,0.34342475416359103,是
23,2019/10/16 20:00,做空,7955.01,8010.64,8080.0,107.86842764728961,7972.1315723527105,是,,2019/10/17 00:00,7952.23,7952.23,7984.590528294187,7898.295786176354,7110.4,7918.197358529065,否,2019/10/17 00:00,7957.06,弱突破平仓,0,-0.0447767720856567,是
24,2019/10/18 12:00,做空,7909.6,7930.0,7930.0,97.73857335389386,7832.261426646106,是,,2019/10/18 16:00,7832.261426646106,7832.261426646106,7861.582998652274,7783.392139969159,6978.4,7783.392139969159,是,2019/10/18 16:00,7909.6,止损,0,-1.0000000000000018,是
25,2019/10/21 00:00,做多,8229.17,8041.19,7999.28,97.57232914073535,8096.8523291407355,是,,2019/10/21 04:00,8230.33,8230.33,8201.058301257779,8279.116164570367,9759.121599999999,8145.6384937111025,否,2019/10/21 04:00,8218.23,弱突破平仓,0,-0.12401056843224162,是
