序号,信号时间,方向,成交4H开盘价,成交价,ATR,ATR%,EMA70偏离度%,前3K涨幅%,EMA斜率%,突破实体/ATR,入场基准,是否确认,初始止损,止盈价,出场时间,出场价,持仓K数,R值,是否加仓,出场原因,年份
1,2026-08-19 20:00,做多,64479.1,64705.7,396.31,0.615,-1.04,-0.33,-0.04,10.21,回调极值,确认,64309.39,78940.95,2026-08-21 16:00,78940.95,11,62.507,加仓,止盈,2026
2,2026-08-18 20:00,做多,64326.1,64541.6,391.45,0.609,-1.1,-0.28,-0.33,1.27,回调极值,确认,64150.15,78740.75,2026-08-19 12:00,64541.6,4,0.0,,KAMA跟踪止损,2026
3,2026-08-18 00:00,做多,64169.8,64199.9,378.17,0.589,-1.35,1.2,-0.39,0.29,突破K极值,弱突破,,,2026-08-18 00:00,64280.4,0,0.213,,弱突破平仓,2026
4,2026-08-12 20:00,做空,64207.3,63505.3,438.84,0.683,-1.68,-1.0,-0.28,1.79,回调极值,弱突破,,,2026-08-12 20:00,63421.4,0,0.191,,弱突破平仓,2026
5,2026-08-11 20:00,做空,64358.4,63820.0,428.46,0.666,-1.53,-0.66,-0.22,1.8,突破K极值,确认,64248.46,56161.6,2026-08-12 12:00,63820.0,4,0.0,,KAMA跟踪止损,2026
6,2026-08-11 00:00,做空,64268.7,64171.8,449.02,0.699,-1.74,1.04,-0.19,0.56,突破K极值,弱突破,,,2026-08-11 00:00,64017.2,0,0.344,,弱突破平仓,2026
7,2026-08-07 16:00,做多,64288.8,64524.8,539.87,0.84,-1.82,-0.19,-0.28,1.31,突破K极值,确认,63984.93,78720.26,2026-08-10 20:00,64730.54,19,0.381,,KAMA跟踪止损,2026
8,2026-08-06 00:00,做多,64353.6,64728.5,593.51,0.922,-1.8,0.32,-0.42,0.76,突破K极值,弱突破,,,2026-08-06 00:00,64805.7,0,0.13,,弱突破平仓,2026
9,2026-07-31 08:00,做空,64750.0,64571.4,630.56,0.974,-1.74,0.03,-0.36,0.64,回调极值,弱突破,,,2026-07-31 08:00,64344.0,0,0.361,,弱突破平仓,2026
10,2026-07-27 20:00,做空,65073.1,64872.0,484.36,0.744,-1.48,0.46,-0.36,1.15,回调极值,确认,65356.36,57087.36,2026-07-29 12:00,64390.63,10,-0.389,加仓,KAMA跟踪止损,2026
11,2026-07-24 20:00,做空,65045.7,64733.2,597.19,0.918,-1.73,0.04,-0.19,1.64,回调极值,确认,65330.39,56965.22,2026-07-26 20:00,64558.3,12,0.293,,KAMA跟踪止损,2026
12,2026-07-23 20:00,做空,65525.4,65313.7,603.4,0.921,-1.09,0.84,-0.17,0.97,突破K极值,确认,65917.1,57476.06,2026-07-24 12:00,65313.7,4,0.0,,KAMA跟踪止损,2026
13,2026-07-23 12:00,做空,65626.7,65548.0,622.66,0.949,-0.94,0.59,-0.17,0.36,突破K极值,弱突破,,,2026-07-23 12:00,65405.3,0,0.229,,弱突破平仓,2026
14,2026-07-20 20:00,做多,64970.8,65084.6,615.13,0.947,-1.98,0.43,-0.41,0.97,回调极值,确认,64469.47,79403.21,2026-07-22 20:00,65611.39,12,-0.047,加仓,KAMA跟踪止损,2026
15,2026-05-28 04:00,做空,75039.8,74632.0,783.54,1.044,-1.65,1.18,-0.01,0.79,突破K极值,弱突破,,,2026-05-28 04:00,74418.1,0,0.273,,弱突破平仓,2026
16,2026-05-27 08:00,做空,75905.6,75641.2,790.74,1.042,-0.58,1.62,0.03,0.34,突破K极值,弱突破,,,2026-05-27 08:00,75635.6,0,0.007,,弱突破平仓,2026
17,2026-05-27 00:00,做空,76478.2,76234.7,796.61,1.042,0.17,0.2,0.03,0.56,突破K极值,弱突破,,,2026-05-27 00:00,76028.3,0,0.259,,弱突破平仓,2026
18,2026-05-24 04:00,做多,75949.5,76000.2,770.65,1.015,-0.48,1.85,0.1,0.99,突破K极值,确认,75229.55,92720.24,2026-05-26 08:00,76624.03,13,-0.054,加仓,KAMA跟踪止损,2026
19,2026-05-22 20:00,做空,77394.8,77138.3,704.19,0.91,1.43,0.25,0.11,0.91,突破K极值,确认,77842.49,67881.7,2026-05-24 00:00,75808.08,7,1.916,加仓,KAMA跟踪止损,2026
20,2026-05-21 16:00,做空,77846.1,77183.7,732.56,0.941,1.99,-0.28,0.19,0.94,回调极值,弱突破,,,2026-05-21 16:00,77157.4,0,0.036,,弱突破平仓,2026
21,2026-05-21 08:00,做多,77510.3,77825.8,739.59,0.954,1.6,0.21,0.21,0.71,回调极值,弱突破,,,2026-05-21 08:00,78039.1,0,0.288,,弱突破平仓,2026
22,2026-05-18 04:00,做空,78368.9,77800.0,720.81,0.92,2.82,-0.3,0.55,1.3,突破K极值,确认,78520.81,68464.0,2026-05-20 12:00,77415.81,14,-0.885,加仓,KAMA跟踪止损,2026
23,2026-05-17 16:00,做多,78137.3,78300.0,734.76,0.94,2.52,-0.11,0.55,0.32,突破K极值,弱突破,,,2026-05-17 16:00,78371.5,0,0.097,,弱突破平仓,2026
24,2026-05-15 20:00,做空,80582.0,80266.8,842.53,1.046,5.85,0.58,0.85,1.74,突破K极值,确认,81109.33,70634.78,2026-05-17 12:00,78229.76,10,2.542,加仓,KAMA跟踪止损,2026
25,2026-05-14 20:00,做多,79216.7,79962.5,811.4,1.024,4.17,-0.09,0.99,2.5,突破K极值,确认,79151.1,97554.25,2026-05-15 12:00,80448.0,4,-0.543,加仓,KAMA跟踪止损,2026
26,2026-05-13 08:00,做多,80461.0,80968.6,762.39,0.948,6.15,-0.35,1.07,0.99,回调极值,弱突破,,,2026-05-13 08:00,81217.1,0,0.326,,弱突破平仓,2026
27,2026-05-06 16:00,做多,81333.4,81745.4,857.25,1.054,8.66,-0.27,1.05,1.34,回调极值,确认,80888.15,99729.39,2026-05-07 08:00,81745.4,4,0.0,,KAMA跟踪止损,2026
28,2026-05-04 08:00,做多,78529.0,79428.9,660.24,0.841,5.65,-0.12,0.67,2.65,突破K极值,确认,78768.66,96903.26,2026-05-04 16:00,78768.66,2,-1.0,,前3K止损,2026
29,2026-05-03 04:00,做多,78444.1,78565.9,699.65,0.892,5.71,0.34,0.6,0.3,突破K极值,弱突破,,,2026-05-03 04:00,78652.9,0,0.124,,弱突破平仓,2026
30,2026-05-01 08:00,做多,76305.4,76630.3,797.56,1.045,3.17,0.36,0.6,0.97,回调极值,确认,75832.74,93488.97,2026-05-02 04:00,77743.03,5,0.577,加仓,KAMA跟踪止损,2026
31,2026-04-30 00:00,做空,75889.1,75675.2,852.92,1.124,2.71,1.39,0.67,0.43,突破K极值,弱突破,,,2026-04-30 00:00,75518.5,0,0.184,,弱突破平仓,2026
32,2026-04-29 20:00,做空,77552.5,76138.7,798.42,1.03,4.96,-1.64,0.67,2.08,回调极值,弱突破,,,2026-04-29 20:00,75889.1,0,0.313,,弱突破平仓,2026
33,2026-04-29 16:00,做多,77003.8,77432.1,790.19,1.026,4.21,0.93,0.67,0.69,突破K极值,弱突破,,,2026-04-29 16:00,77552.5,0,0.152,,弱突破平仓,2026
34,2026-04-27 20:00,做空,77804.3,77408.6,819.47,1.053,5.48,1.03,0.85,1.27,突破K极值,确认,78228.07,68119.57,2026-04-29 08:00,77058.09,9,-0.83,加仓,KAMA跟踪止损,2026
35,2026-04-26 12:00,做多,77349.3,77615.7,796.7,1.03,5.01,0.08,0.91,0.89,突破K极值,确认,76819.0,94691.15,2026-04-27 12:00,77692.14,6,-1.627,加仓,KAMA跟踪止损,2026
36,2026-04-22 08:00,做多,76288.3,76574.3,1016.41,1.332,4.51,-0.16,0.57,1.18,回调极值,确认,75557.89,93420.65,2026-04-23 16:00,76839.13,8,-1.141,加仓,KAMA跟踪止损,2026
37,2026-04-22 00:00,做空,75800.0,75355.2,973.18,1.284,3.84,-0.17,0.57,0.83,突破K极值,弱突破,,,2026-04-22 00:00,74988.6,0,0.377,,弱突破平仓,2026
38,2026-04-21 00:00,做多,75668.1,75750.0,969.82,1.282,3.8,1.44,0.54,0.6,突破K极值,确认,74780.18,92415.0,2026-04-21 20:00,75750.0,5,0.0,,KAMA跟踪止损,2026
39,2026-04-20 20:00,做多,75148.8,75539.3,962.41,1.281,3.08,1.88,0.54,0.54,突破K极值,弱突破,,,2026-04-20 20:00,75668.1,0,0.134,,弱突破平仓,2026
40,2026-04-20 04:00,做空,74918.0,74550.0,924.35,1.234,2.89,0.38,0.52,1.25,突破K极值,确认,75474.35,65604.0,2026-04-20 12:00,75474.35,2,-1.0,,前3K止损,2026
41,2026-04-19 20:00,做多,75557.5,75804.0,908.84,1.203,3.76,-0.13,0.52,0.28,回调极值,弱突破,,,2026-04-19 20:00,75807.6,0,0.004,,弱突破平仓,2026
42,2026-04-19 12:00,做空,75472.9,75314.0,918.24,1.217,3.65,0.86,0.52,0.29,突破K极值,弱突破,,,2026-04-19 12:00,75205.6,0,0.118,,弱突破平仓,2026
43,2026-04-19 00:00,做空,76124.8,75710.6,985.14,1.294,4.58,1.09,0.55,0.53,突破K极值,弱突破,,,2026-04-19 00:00,75604.2,0,0.108,,弱突破平仓,2026
44,2026-04-17 20:00,做多,75542.1,76350.0,973.28,1.288,3.9,0.58,0.51,2.25,突破K极值,确认,75376.72,93147.0,2026-04-18 16:00,76350.0,5,0.0,,KAMA跟踪止损,2026
45,2026-04-17 16:00,做多,75047.4,75500.0,950.91,1.267,3.22,-0.35,0.51,0.52,回调极值,弱突破,,,2026-04-17 16:00,75542.2,0,0.044,,弱突破平仓,2026
