序号,信号时间,方向,成交价,ATR,ATR%,EMA70偏离度%,前3K涨幅%,是否确认,出场时间,出场价,持仓K数,R值,出场原因,年份
1,2026-08-19 20:00,做多,64705.7,388.77,0.603,-1.05,-0.33,确认,2026-08-21 16:00,78940.95,11,63.743,止盈,2026
2,2026-08-18 20:00,做多,64541.5,386.62,0.601,-1.1,-0.28,确认,2026-08-19 12:00,64541.5,4,0.0,KAMA跟踪止损,2026
3,2026-08-18 00:00,做多,64199.9,373.84,0.583,-1.35,1.2,弱突破,2026-08-18 00:00,64281.87,0,0.219,弱突破平仓,2026
4,2026-08-12 20:00,做空,63518.3,432.19,0.673,-1.68,-1.0,弱突破,2026-08-12 20:00,63422.46,0,0.222,弱突破平仓,2026
5,2026-08-11 20:00,做空,63828.0,421.38,0.655,-1.53,-0.66,确认,2026-08-12 12:00,63828.0,4,0.0,KAMA跟踪止损,2026
6,2026-08-11 00:00,做空,64180.7,441.27,0.687,-1.74,1.04,弱突破,2026-08-11 00:00,64017.73,0,0.369,弱突破平仓,2026
7,2026-08-07 16:00,做多,64518.2,525.6,0.818,-1.82,-0.19,确认,2026-08-10 20:00,64733.06,19,0.409,KAMA跟踪止损,2026
8,2026-08-06 00:00,做多,64714.4,580.19,0.902,-1.81,0.32,弱突破,2026-08-06 00:00,64801.15,0,0.15,弱突破平仓,2026
9,2026-07-31 08:00,做空,64572.5,615.73,0.951,-1.74,0.02,弱突破,2026-07-31 08:00,64344.68,0,0.37,弱突破平仓,2026
10,2026-07-27 20:00,做空,64876.08,474.59,0.729,-1.48,0.46,确认,2026-07-29 12:00,64387.76,10,-0.369,KAMA跟踪止损,2026
11,2026-07-24 20:00,做空,64733.3,584.43,0.898,-1.73,0.03,确认,2026-07-26 12:00,64562.36,10,0.292,KAMA跟踪止损,2026
12,2026-07-23 20:00,做空,65314.18,587.09,0.896,-1.1,0.84,确认,2026-07-24 12:00,65314.18,4,0.0,KAMA跟踪止损,2026
13,2026-07-23 12:00,做空,65552.03,604.58,0.921,-0.94,0.59,弱突破,2026-07-23 12:00,65405.89,0,0.242,弱突破平仓,2026
14,2026-07-20 20:00,做多,65084.6,601.23,0.925,-1.97,0.44,确认,2026-07-22 20:00,65612.95,12,-0.049,KAMA跟踪止损,2026
15,2026-05-28 04:00,做空,74658.0,760.98,1.014,-1.66,1.2,弱突破,2026-05-28 04:00,74418.0,0,0.315,弱突破平仓,2026
16,2026-05-27 00:00,做空,76240.7,773.72,1.012,0.17,0.19,弱突破,2026-05-27 00:00,76024.4,0,0.28,弱突破平仓,2026
17,2026-05-24 04:00,做多,75970.33,753.85,0.993,-0.48,1.85,确认,2026-05-26 08:00,76633.36,13,0.009,KAMA跟踪止损,2026
18,2026-05-22 20:00,做空,77147.4,692.99,0.895,1.43,0.25,确认,2026-05-24 00:00,75815.0,7,1.934,KAMA跟踪止损,2026
