序号,信号时间,方向,6K极值,回调基准,是否有回调基准,回调基准偏移%,ATR,ATR%,突破K收盘价,突破K最低价,突破K最高价,是否成交,是否确认,入场价,初始止损,止盈目标,出场时间,出场价,持仓K数,R值,出场原因,是否加仓,加仓价,前3K止损,MFE%,MAE%,可能错过涨幅%,可能错过R值,年份
1,2019-09-10 20:00,做空,10183.31,10183.31,是,0.0,276.37,2.714,10179.1,10167.91,10270.58,成交,弱突破,10183.31,10266.22,8961.31,2019-09-10 20:00,10179.1,0,0.015,弱突破平仓,否,,是,0.0,0.0,,,2019
2,2019-09-11 00:00,做空,10167.91,10183.31,是,0.151,267.69,2.633,10026.56,9940.87,10237.41,成交,确认,10183.31,10263.62,8961.31,2019-09-11 08:00,10263.62,2,-0.3,前3K止损,否,,是,1.88,-1.08,,,2019
3,2019-09-12 20:00,做多,10205.46,10205.46,是,0.0,219.29,2.149,10326.58,10170.0,10365.15,成交,确认,10205.46,10139.67,12450.66,2019-09-14 00:00,10218.17,7,0.058,KAMA跟踪止损,否,,否,2.4,-0.19,,,2019
4,2019-09-14 20:00,做多,10355.85,10355.85,是,0.0,169.99,1.642,10358.0,10222.77,10396.4,成交,弱突破,10355.85,10304.85,12634.14,2019-09-14 20:00,10358.0,0,0.013,弱突破平仓,否,,是,0.0,0.0,,,2019
5,2019-09-16 20:00,做空,10252.28,10252.28,是,0.0,130.52,1.273,10120.07,10115.0,10282.03,成交,确认,10252.28,10291.44,9022.01,2019-09-17 04:00,10291.44,2,-0.3,前3K止损,否,,是,1.67,-0.75,,,2019
6,2019-09-19 08:00,做空,10097.92,10097.92,是,0.0,106.74,1.057,9821.97,9530.02,10185.55,成交,确认,10097.92,10129.94,8886.17,2019-09-20 00:00,10008.77,4,-0.443,KAMA跟踪止损,是,9872.38,否,3.14,-0.11,,,2019
7,2019-09-20 04:00,做多,10211.9,10211.9,是,0.0,132.5,1.298,10245.3,10088.91,10331.62,成交,弱突破,10211.9,10172.15,12458.52,2019-09-20 04:00,10245.3,0,0.252,弱突破平仓,否,,是,0.0,0.0,,,2019
8,2019-09-22 08:00,做空,9912.63,9912.63,是,0.0,122.64,1.237,9872.07,9862.81,10001.98,成交,弱突破,9912.63,9949.42,8723.11,2019-09-22 08:00,9872.07,0,0.331,弱突破平仓,否,,是,0.0,0.0,,,2019
9,2019-09-23 20:00,做空,9878.51,9932.01,是,0.542,117.27,1.187,9867.06,9708.91,9951.05,成交,确认,9932.01,9967.19,8740.17,2019-09-25 00:00,8740.17,7,18.364,止盈,是,9701.96,否,12.95,0.48,,,2019
10,2019-09-25 04:00,做空,8645.61,9603.5,是,11.079,173.97,2.012,8495.83,8137.09,8755.44,未成交,确认,9603.5,9655.69,8451.08,2019-09-25 12:00,8451.08,2,7.283,止盈,是,8565.61,是,14.61,9.15,14.61,7.283,2019
11,2019-09-26 20:00,做空,8223.71,8223.71,是,0.0,200.85,2.442,7921.82,7825.89,8438.88,成交,确认,8223.71,8283.96,7236.86,2019-09-28 04:00,8202.83,8,0.104,KAMA跟踪止损,否,,否,6.36,-0.44,,,2019
