序号,信号时间,成交时间,成交方式,方向,突破K开盘价,突破K最高价,突破K最低价,突破K收盘价,收盘超极值%,6K极值,回调突破线,回调线所在K时间,回调线确认完成K时间,是否有回调线,回调偏移%,ATR,ATR%,入场触发线,入场价,初始止损,保护线(线±1.5ATR),成交当K收盘价,止盈目标,出场时间,出场K开盘价,出场前KAMA,出场时止损线,出场价,出场原因,持仓K数,R值,收益率%,峰值价,峰值K时间,波段涨跌幅%,入场后涨跌幅%,MAE%,前3K止损,年份
1,2026-08-19 20:00,2026-08-19 20:00,信号K触发,做多,64479.1,70450.0,64440.0,68523.7,5.327,65057.9,65057.9,2026-08-18 20:00,2026-08-19 04:00,是,0.0,425.81,0.655,65483.71,65483.71,65057.9,65696.61,68523.7,79370.64,2026-08-21 16:00,76310.3,74315.46,74315.46,79370.64,固定止盈,11,32.613,21.207,79555.5,2026-08-21 16:00,22.284,21.489,-1.594,否,2026
2,2026-08-18 20:00,2026-08-18 20:00,信号K触发,做多,64326.1,65057.9,63979.2,64823.9,0.345,64600.8,64600.8,2026-08-18 00:00,2026-08-18 08:00,是,0.0,392.09,0.607,64992.89,64992.89,64600.8,65188.93,64823.9,78812.98,2026-08-18 20:00,64326.1,,65188.93,64823.9,保护性平仓,0,-0.431,-0.26,65057.9,2026-08-18 20:00,0.708,0.1,-1.56,否,2026
3,2026-08-17 08:00,2026-08-17 08:00,信号K触发,做多,62876.0,63498.0,62723.9,63409.8,0.063,63370.0,63132.2,2026-08-16 08:00,2026-08-16 16:00,是,0.375,358.53,0.568,63490.73,63490.73,63132.2,63670.0,63409.8,77021.28,2026-08-17 08:00,62876.0,,63670.0,63409.8,保护性平仓,0,-0.2257,-0.127,63498.0,2026-08-17 08:00,0.579,0.011,-1.208,否,2026
4,2026-08-11 20:00,2026-08-12 00:00,挂单触发,做空,64358.4,64470.0,63420.0,63585.3,0.318,63788.0,63788.0,2026-08-11 00:00,2026-08-11 08:00,是,0.0,453.67,0.711,63334.33,63334.33,63788.0,63107.49,63508.5,56133.44,2026-08-12 00:00,63585.3,,63107.49,63508.5,保护性平仓,0,-0.3839,-0.275,63211.6,2026-08-12 00:00,0.904,0.194,-0.479,否,2026
5,2026-08-11 00:00,2026-08-11 00:00,信号K触发,做空,64268.7,64330.0,63788.0,64017.2,0.241,64171.8,64794.4,2026-08-10 08:00,2026-08-10 16:00,是,0.97,417.51,0.644,64376.89,64376.89,64794.4,64168.13,64017.2,57019.07,2026-08-11 16:00,64031.7,64478.72,64376.89,64376.89,成本线止损,4,0.0,0.0,63788.0,2026-08-11 00:00,1.553,0.915,-0.005,否,2026
6,2026-08-10 20:00,2026-08-10 20:00,信号K触发,做空,65097.5,65221.2,64171.8,64268.8,0.811,64794.4,64794.4,2026-08-10 08:00,2026-08-10 16:00,是,0.0,417.51,0.644,64376.89,64376.89,64794.4,64168.13,64268.8,57019.07,2026-08-10 20:00,65097.5,,64168.13,64268.8,保护性平仓,0,0.2589,0.168,64171.8,2026-08-10 20:00,0.961,0.319,-1.312,否,2026
7,2026-08-03 12:00,2026-08-03 16:00,挂单触发,做空,62839.8,62976.8,62520.0,62591.0,0.245,62745.0,62961.1,2026-08-02 16:00,2026-08-03 00:00,是,0.344,559.66,0.889,62401.44,62401.44,62961.1,62121.61,62534.1,55405.77,2026-08-03 16:00,62591.0,,62121.61,62534.1,保护性平仓,0,-0.237,-0.213,62268.2,2026-08-03 16:00,1.101,0.214,-0.713,否,2026
8,2026-07-31 16:00,2026-07-31 20:00,挂单触发,做空,63909.1,63982.2,63577.0,63779.4,0.088,63835.6,63950.0,2026-07-30 16:00,2026-07-31 00:00,是,0.179,663.14,1.037,63286.86,63286.86,63950.0,62955.28,62695.4,56276.0,2026-08-02 08:00,62792.3,63165.51,63165.51,63165.51,KAMA跟踪,9,0.183,0.192,62228.8,2026-08-02 00:00,2.691,1.672,-0.823,否,2026
9,2026-07-30 16:00,2026-07-31 08:00,挂单触发,做多,63981.9,64870.0,63950.0,64766.8,0.079,64715.9,64715.9,2026-07-29 16:00,2026-07-30 00:00,是,0.0,609.32,0.942,65325.22,65325.22,64715.9,65629.89,64344.0,78953.4,2026-07-31 08:00,64750.0,,64715.9,64715.9,ATR止损,0,-1.0,-0.933,65391.3,2026-07-31 08:00,1.044,0.101,-1.817,是,2026
10,2026-07-28 04:00,2026-07-28 04:00,信号K触发,做空,64959.2,65030.8,63567.0,63720.8,1.015,64374.4,64606.3,2026-07-27 04:00,2026-07-27 12:00,是,0.36,487.19,0.754,64119.11,64119.11,64606.3,63875.51,63720.8,56853.54,2026-07-29 08:00,63903.6,64453.08,64119.11,64119.11,成本线止损,7,0.0,0.0,62660.1,2026-07-28 20:00,3.012,2.275,-1.422,否,2026
