序号,信号时间,成交时间,成交方式,方向,6K极值,回调突破线,回调偏移%,ATR,峰值价,峰值K时间,波段涨跌幅%_回调线基准,波段涨跌幅%_极值基准,入场后涨跌幅%,出场方式,出场时间,持仓K数,R值,年份
1,2026-08-19 20:00,2026-08-19 20:00,信号K触发,做多,65057.9,65057.9,0.0,425.81,79555.5,2026-08-21 16:00,22.284,22.284,21.489,固定止盈,2026-08-21 16:00,11,32.613,2026
2,2026-08-18 20:00,2026-08-18 20:00,信号K触发,做多,64600.8,64600.8,0.0,392.09,65057.9,2026-08-18 20:00,0.708,0.708,0.1,保护性平仓,2026-08-18 20:00,0,-0.431,2026
3,2026-08-17 08:00,2026-08-17 08:00,信号K触发,做多,63370.0,63132.2,0.375,358.53,63498.0,2026-08-17 08:00,0.579,0.202,0.011,保护性平仓,2026-08-17 08:00,0,-0.2257,2026
4,2026-08-11 20:00,2026-08-12 00:00,挂单触发,做空,63788.0,63788.0,0.0,453.67,63211.6,2026-08-12 00:00,0.904,0.904,0.194,保护性平仓,2026-08-12 00:00,0,-0.3839,2026
5,2026-08-11 00:00,2026-08-11 00:00,信号K触发,做空,64171.8,64794.4,0.97,417.51,63788.0,2026-08-11 00:00,1.553,0.598,0.915,成本线止损,2026-08-11 16:00,4,0.0,2026
6,2026-08-10 20:00,2026-08-10 20:00,信号K触发,做空,64794.4,64794.4,0.0,417.51,64171.8,2026-08-10 20:00,0.961,0.961,0.319,保护性平仓,2026-08-10 20:00,0,0.2589,2026
7,2026-08-03 12:00,2026-08-03 16:00,挂单触发,做空,62745.0,62961.1,0.344,559.66,62268.2,2026-08-03 16:00,1.101,0.76,0.214,保护性平仓,2026-08-03 16:00,0,-0.237,2026
8,2026-07-31 16:00,2026-07-31 20:00,挂单触发,做空,63835.6,63950.0,0.179,663.14,62228.8,2026-08-02 00:00,2.691,2.517,1.672,KAMA跟踪(跌破KAMA),2026-08-02 08:00,9,0.183,2026
9,2026-07-30 16:00,2026-07-31 08:00,挂单触发,做多,64715.9,64715.9,0.0,609.32,65391.3,2026-07-31 08:00,1.044,1.044,0.101,ATR止损,2026-07-31 08:00,0,-1.0,2026
10,2026-07-28 04:00,2026-07-28 04:00,信号K触发,做空,64374.4,64606.3,0.36,487.19,62660.1,2026-07-28 20:00,3.012,2.663,2.275,成本线止损,2026-07-29 08:00,7,0.0,2026
