序号,信号时间,方向,6K极值,回调线,触发线,信号收盘价,窗口内最低(未及回调线),窗口内顺向行情%,年份
1,2026-08-21 04:00,做多,72945.3,70048.2,70800.49,72998.7,72992.4,8.98,2026
2,2026-08-20 16:00,做多,70450.0,70450.0,71127.0,71896.2,71100.0,10.65,2026
3,2026-08-19 20:00,做多,65057.9,65057.9,65483.71,68523.7,67803.6,6.31,2026
4,2026-08-17 08:00,做多,63370.0,63132.2,63490.73,63409.8,63255.0,1.88,2026
5,2026-08-11 00:00,做空,64171.8,64794.4,64376.89,64017.2,64470.0,1.26,2026
6,2026-08-10 20:00,做空,64794.4,64794.4,64376.89,64268.8,64470.0,1.32,2026
7,2026-07-31 20:00,做空,63577.0,64571.4,63912.13,62695.4,63275.7,0.02,2026
8,2026-07-31 16:00,做空,63835.6,63950.0,63286.86,63779.4,63807.5,2.15,2026
9,2026-07-28 08:00,做空,63567.0,64872.0,64382.83,63310.1,64175.0,1.03,2026
10,2026-07-28 04:00,做空,64374.4,64606.3,64119.11,63720.8,64084.5,1.66,2026
11,2026-07-24 20:00,做空,64636.0,64636.0,64035.28,64065.1,64266.9,0.48,2026
12,2026-07-19 04:00,做多,64666.0,64188.2,64907.16,64806.7,64259.5,0.22,2026
13,2026-07-14 20:00,做多,62970.7,62970.7,63645.61,64727.5,64200.0,1.33,2026
14,2026-07-13 08:00,做空,63602.8,63602.8,62924.76,62780.2,63260.0,1.55,2026
15,2026-07-10 08:00,做多,63484.9,63286.5,64143.63,63917.2,63619.9,1.19,2026
16,2026-07-01 20:00,做多,59444.5,59264.4,60138.4,60118.5,59555.0,3.43,2026
17,2026-06-25 00:00,做空,60238.0,62075.6,61273.84,59923.8,61931.1,3.16,2026
18,2026-06-23 16:00,做空,62532.4,64014.9,63265.03,62478.5,63209.6,0.9,2026
19,2026-06-23 12:00,做空,63758.3,63833.4,63082.75,62849.2,63090.9,1.56,2026
20,2026-06-15 16:00,做多,65996.8,64640.6,65425.82,66192.0,65607.1,1.61,2026
21,2026-06-15 08:00,做多,65775.0,64682.2,65514.1,65894.7,65469.0,2.06,2026
22,2026-06-15 04:00,做多,64738.0,64738.0,65595.62,65702.1,65314.3,2.36,2026
23,2026-06-05 20:00,做空,61067.6,62344.1,61063.06,60400.8,61985.1,2.19,2026
24,2026-06-04 04:00,做空,65199.0,65359.1,64322.04,64117.7,64739.8,4.32,2026
25,2026-05-27 08:00,做空,75641.2,76434.0,75696.57,75635.6,76155.5,3.44,2026
26,2026-05-27 00:00,做空,76234.7,76434.0,75696.57,76028.3,76157.8,1.84,2026
27,2026-05-24 04:00,做多,76054.1,76054.1,76809.39,76715.2,76056.0,1.15,2026
28,2026-05-23 00:00,做空,76528.0,76970.0,76206.58,75827.1,76054.1,2.14,2026
29,2026-05-16 12:00,做空,78610.0,78610.0,77710.26,78334.3,78527.8,0.94,2026
30,2026-05-01 20:00,做多,77588.4,76630.3,77471.33,78395.4,77717.7,0.31,2026
31,2026-05-01 16:00,做多,77421.2,76630.3,77471.33,77429.5,77368.2,1.87,2026
32,2026-05-01 08:00,做多,76630.3,76445.0,77316.21,77082.6,76833.7,2.33,2026
33,2026-04-27 20:00,做空,77408.6,77715.0,76959.18,76760.0,77450.0,1.46,2026
34,2026-04-22 12:00,做多,77699.0,76999.0,77959.24,77979.8,77410.7,1.88,2026
35,2026-04-22 08:00,做多,76999.0,76999.0,77959.24,77488.3,77321.7,2.52,2026
36,2026-04-17 20:00,做多,76350.0,75500.0,76489.44,77736.2,75710.6,0.73,2026
37,2026-04-14 04:00,做多,73441.7,71423.9,72291.31,74385.0,73766.8,2.18,2026
38,2026-04-14 00:00,做多,72431.0,71423.9,72291.31,73272.2,72953.3,3.74,2026
39,2026-04-13 20:00,做多,71478.0,71478.0,72363.4,71823.6,71629.5,5.83,2026
40,2026-04-12 20:00,做空,71259.0,72451.9,71564.42,70856.2,72431.0,0.56,2026
41,2026-04-12 08:00,做空,72451.9,72451.9,71564.42,71563.6,71750.0,1.54,2026
42,2026-04-08 04:00,做多,69940.0,69940.0,70787.13,71890.2,70671.6,1.35,2026
43,2026-04-06 04:00,做多,67828.6,67452.7,68202.32,68997.9,68227.5,1.93,2026
44,2026-04-02 08:00,做空,67534.9,67534.9,66493.37,66538.4,67400.0,1.3,2026
45,2026-03-27 20:00,做空,66175.4,68115.8,66998.51,66092.0,67284.0,0.89,2026
46,2026-03-27 16:00,做空,68115.8,68115.8,66998.51,66663.2,66742.2,1.74,2026
47,2026-03-26 20:00,做空,69127.2,70531.4,69389.73,69054.8,69466.6,4.88,2026
48,2026-03-26 16:00,做空,69722.6,70531.4,69389.73,69239.3,69872.2,4.43,2026
49,2026-03-26 12:00,做空,70531.4,70531.4,69389.73,70053.8,70131.5,2.77,2026
50,2026-03-23 16:00,做多,69000.0,69000.0,69998.13,70097.3,69644.0,2.41,2026
51,2026-03-22 04:00,做空,69701.3,69701.3,68579.86,68881.5,69555.8,2.3,2026
52,2026-03-18 20:00,做空,72731.6,73330.3,72215.31,71436.4,71980.5,3.76,2026
53,2026-03-18 16:00,做空,73330.3,73330.3,72215.31,72906.4,72947.4,4.78,2026
54,2026-03-09 20:00,做多,68441.5,67623.0,68779.17,68832.3,68200.1,4.24,2026
55,2026-03-05 00:00,做多,73436.4,68972.9,70437.52,73580.2,70612.8,0.13,2026
56,2026-03-04 20:00,做多,71887.9,68972.9,70437.52,73339.7,71136.2,0.96,2026
57,2026-03-04 16:00,做多,69676.4,68972.9,70437.52,71082.4,70559.7,4.17,2026
58,2026-03-04 12:00,做多,68972.9,68561.9,69968.56,69464.5,69100.2,6.6,2026
59,2026-02-27 16:00,做空,66462.0,66462.0,65219.57,66094.1,66320.0,4.71,2026
60,2026-02-26 00:00,做多,67548.0,66283.1,67390.42,69005.2,66462.0,1.44,2026
61,2026-02-25 20:00,做多,66283.1,66283.1,67390.42,67362.3,66730.7,3.91,2026
62,2026-02-23 08:00,做空,67150.0,67763.7,66844.29,64894.0,66574.5,2.45,2026
63,2026-02-22 20:00,做空,67763.7,67763.7,66844.29,67659.9,67728.0,5.07,2026
64,2026-02-13 20:00,做多,68385.0,68385.0,70020.49,68652.0,68500.0,2.78,2026
65,2026-02-05 08:00,做空,71838.0,75420.0,73638.12,71198.9,71944.4,16.01,2026
66,2026-02-04 00:00,做空,77000.5,77566.5,75923.43,74893.8,76952.5,3.73,2026
67,2026-02-01 00:00,做空,80754.3,81832.0,80439.74,77707.9,79396.8,1.23,2026
68,2026-01-30 08:00,做空,83338.3,87650.1,86590.98,82640.9,84599.0,0.98,2026
69,2026-01-30 00:00,做空,84335.4,87650.1,86590.98,83979.4,84699.9,3.55,2026
70,2026-01-29 20:00,做空,87650.1,87650.1,86590.98,84898.0,85596.1,4.59,2026
71,2026-01-29 08:00,做空,88786.0,88786.0,87839.98,88003.2,88461.2,7.96,2026
72,2026-01-25 08:00,做空,89116.9,89383.5,88316.45,88920.0,89057.8,3.26,2026
73,2026-01-20 12:00,做空,92116.0,92344.5,91486.84,91136.1,91415.1,3.67,2026
74,2026-01-19 08:00,做空,93550.3,94819.5,93958.37,92656.6,93379.0,0.58,2026
75,2026-01-19 04:00,做空,94819.5,94819.5,93958.37,93614.0,93614.1,1.94,2026
76,2026-01-14 00:00,做多,93408.0,92299.0,93205.93,94179.5,94011.7,3.77,2026
77,2026-01-13 20:00,做多,92676.6,92299.0,93205.93,93407.9,93009.8,3.95,2026
78,2026-01-05 08:00,做多,91779.7,91779.7,92578.85,92835.2,92102.0,2.07,2026
79,2026-01-04 08:00,做多,90716.9,90456.0,91308.76,91192.7,90790.1,2.4,2026
80,2026-01-04 04:00,做多,90456.0,90456.0,91308.76,90595.8,90595.7,1.31,2026
81,2026-01-02 08:00,做多,88881.4,88065.0,88897.0,88899.3,88401.2,2.3,2026
82,2026-01-02 04:00,做多,88475.8,88065.0,88897.0,88800.0,88324.4,2.42,2026
83,2026-01-02 00:00,做多,88079.3,88065.0,88897.0,88354.8,88193.2,2.93,2026
84,2025-12-23 12:00,做空,87738.3,88665.3,87580.1,87531.3,88349.2,1.14,2025
85,2025-12-10 00:00,做多,92867.0,91338.2,92656.13,93761.9,91520.0,0.06,2025
86,2025-12-06 00:00,做空,89863.0,90822.5,89354.04,89590.5,90257.3,0.82,2025
87,2025-12-05 20:00,做空,90822.5,90822.5,89354.04,90414.0,90460.0,2.7,2025
